
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 2004 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	210	379	9	32	125	233	3	9	465	807											
NEW ENGLAND	6	5	-	-	4	6	-	-	63	120											
Maine	-	-	-	-	-	-	-	-	3	49											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	60	51											
Mass.	3	3	-	-	3	-	-	-	-	20											
R.I.	-	-	-	-	-	1	-	-	-	-											
Conn.	3	2	-	-	1	5	-	-	-	-											
MID. ATLANTIC	19	42	2	6	-	60	-	2	3	-											
Upstate N.Y.	1	-	2	1	-	-	-	-	-	-											
N.Y. City	13	20	-	1	-	48	-	1	-	-											
N.J.	4	16	-	4	-	6	-	1	-	-											
Pa.	1	6	-	-	-	6	-	-	3	-											
E.N. CENTRAL	24	46	4	5	61	11	1	1	268	484											
Ohio	7	9	-	1	1	3	1	-	45	90											
Ind.	6	1	-	1	11	5	-	-	-	-											
Ill.	2	23	-	3	49	3	-	-	-	-											
Mich.	7	12	4	-	-	-	-	1	223	345											
Wis.	2	1	-	-	-	-	-	-	-	49											
W.N. CENTRAL	2	17	-	-	1	9	-	-	7	1											
Minn.	-	4	-	-	1	1	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	N	N											
Mo.	2	8	-	-	-	1	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	6	1											
S. Dak.	-	-	-	-	-	1	-	-	1	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	5	-	-	-	6	-	-	-	-											
S. ATLANTIC	69	93	-	7	1	19	-	1	87	114											
Del.	1	-	-	-	-	-	-	-	-	-											
Md.	15	13	-	2	-	-	-	1	-	-											
D.C.	8	3	-	-	-	-	-	-	-	-											
Va.	1	4	-	-	-	-	-	-	-	1											
W. Va.	-	-	-	-	1	-	-	-	87	111											
N.C.	5	12	-	-	-	2	-	-	-	-											
S.C.	2	8	-	2	-	-	-	-	-	2											
Ga.	-	9	-	2	-	17	-	-	-	-											
Fla.	37	44	-	1	-	-	-	-	-	-											
E.S. CENTRAL	13	21	1	-	5	5	-	-	-	-											
Ky.	4	7	-	-	-	-	-	-	-	-											
Tenn.	7	7	1	-	-	1	-	-	-	-											
Ala.	1	7	-	-	5	4	-	-	-	-											
Miss.	1	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	55	37	2	4	4	79	-	-	-	85											
Ark.	3	7	-	-	2	1	-	-	-	-											
La.	11	-	-	-	-	-	-	-	-	2											
Okla.	1	2	-	-	2	1	-	-	-	-											
Tex.	40	28	2	4	-	77	-	-	-	83											
MOUNTAIN	7	20	-	4	1	2	1	-	37	3											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	3	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	1	-	-	8	-											
Colo.	-	4	-	1	-	1	-	-	-	-											
N. Mex.	-	6	-	3	-	-	-	-	2	-											
Ariz.	4	8	-	-	-	-	-	-	-	-											
Utah	-	1	-	-	1	-	1	-	27	3											
Nev.	-	1	-	-	-	-	-	-	-	-											
PACIFIC	15	98	-	6	48	42	1	5	-	-											
Wash.	-	2	-	-	10	7	-	-	-	-											
Oreg.	-	2	-	-	2	2	-	-	-	-											
Calif.	15	93	-	6	32	26	1	5	-	-											
Alaska	-	-	-	-	-	1	-	-	-	-											
Hawaii	-	1	-	-	4	6	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	2	3	-	-	-	-	-	-	-	3											
V.I.	-	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


