
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 27, 1998 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,472	1,977	3	229	339	78	2,050	2,537	5	253	64										
NEW ENGLAND	68	116	-	-	7	15	358	534	-	33	-										
Maine	4	11	-	-	-	-	5	6	-	-	-										
N.H.	4	12	-	-	-	6	34	61	-	-	-										
Vt.	1	2	-	-	-	3	34	166	-	-	-										
Mass.	33	62	-	-	2	6	269	279	-	6	-										
R.I.	3	8	-	-	4	-	3	12	-	-	-										
Conn.	23	21	-	-	1	-	13	10	-	27	-										
MID. ATLANTIC	139	214	-	15	37	10	259	203	1	112	19										
Upstate N.Y.	36	57	-	3	8	10	130	76	1	105	4										
N.Y. City	15	34	-	4	1	-	4	46	-	2	15										
N.J.	37	41	U	1	6	U	5	11	U	4	-										
Pa.	51	82	U	7	22	U	120	70	U	1	-										
E.N. CENTRAL	221	288	-	40	37	4	187	248	-	-	3										
Ohio	83	104	-	19	14	-	71	72	-	-	-										
Ind.	41	33	-	4	4	4	53	29	-	-	-										
Ill.	47	85	-	1	8	-	14	34	-	-	-										
Mich.	26	38	-	16	10	-	32	31	-	-	-										
Wis.	24	28	-	-	1	-	17	82	-	-	3										
W.N. CENTRAL	118	145	-	20	11	14	168	139	-	13	-										
Minn.	19	24	-	10	4	14	100	87	-	-	-										
Iowa	18	31	-	6	6	-	39	8	-	-	-										
Mo.	48	66	-	3	-	-	12	22	-	2	-										
N. Dak.	-	1	-	1	-	-	-	1	-	-	-										
S. Dak.	6	4	-	-	-	-	4	3	-	-	-										
Nebr.	4	5	-	-	1	-	5	3	-	-	-										
Kans.	23	14	U	-	-	U	8	15	U	11	-										
S. ATLANTIC	254	328	1	33	41	5	126	207	3	9	17										
Del.	1	4	-	-	-	-	1	-	-	-	-										
Md.	22	34	-	-	1	-	25	77	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	23	34	-	4	6	-	6	25	-	-	1										
W. Va.	7	13	-	-	-	-	1	4	-	-	-										
N.C.	36	59	1	8	7	2	44	46	2	5	10										
S.C.	37	38	-	4	10	1	14	11	-	-	6										
Ga.	58	61	-	1	5	1	6	6	1	1	-										
Fla.	70	80	-	16	12	1	28	36	-	3	-										
E.S. CENTRAL	103	143	-	1	19	-	48	48	-	-	1										
Ky.	16	38	-	-	3	-	18	12	-	-	-										
Tenn.	40	44	-	1	3	-	17	18	-	-	-										
Ala.	47	44	-	-	6	-	13	12	-	-	1										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	179	192	-	31	41	6	135	72	1	68	3										
Ark.	22	25	-	-	-	1	18	2	-	-	-										
La.	35	38	-	2	11	-	1	11	-	-	-										
Okla.	26	23	-	-	-	-	13	9	-	-	-										
Tex.	96	106	-	29	30	5	103	50	1	68	3										
MOUNTAIN	85	118	-	21	46	19	456	678	-	5	4										
Mont.	3	7	-	-	-	-	1	7	-	-	-										
Idaho	4	8	-	3	2	11	188	432	-	-	1										
Wyo.	3	1	-	1	1	-	7	4	-	-	-										
Colo.	19	33	-	4	3	7	93	174	-	-	-										
N. Mex.	15	19	N	N	N	-	64	32	-	1	-										
Ariz.	29	27	-	4	29	-	68	15	-	1	3										
Utah	9	11	-	3	6	1	23	4	-	2	-										
Nev.	3	12	U	6	5	U	12	10	U	1	-										
PACIFIC	305	433	2	68	100	5	313	408	-	13	17										
Wash.	41	51	-	5	12	3	139	179	-	9	3										
Oreg.	56	89	N	N	N	2	19	23	-	-	-										
Calif.	203	290	2	48	71	-	149	193	-	2	7										
Alaska	1	1	-	2	5	-	2	2	-	-	-										
Hawaii	4	2	U	13	12	U	4	11	U	2	7										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	4	8	-	1	4	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


