
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 26, 2008 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	41	89	259	3,456	3,616	9	36	166	971	1,107											
NEW ENGLAND	1	6	33	265	289	-	2	14	48	87											
Conn.	-	0	28	78	90	-	0	11	-	11											
Maine	-	0	3	20	21	-	0	1	1	1											
Mass.	-	3	8	125	140	-	1	5	37	57											
N.H.	1	0	2	18	21	-	0	1	7	8											
R.I.	-	0	8	14	2	-	0	1	2	8											
Vt.	-	0	2	10	15	-	0	1	1	2											
MID. ATLANTIC	8	16	43	715	698	-	4	19	119	201											
N.J.	-	3	9	108	129	-	1	6	21	40											
N.Y. (Upstate)	5	6	17	246	213	-	2	14	65	71											
N.Y. City	-	3	10	126	172	-	1	12	33	90											
Pa.	3	5	16	235	184	N	0	0	N	N											
E.N. CENTRAL	1	18	63	760	719	1	6	23	211	199											
Ill.	-	5	16	191	216	-	1	6	46	47											
Ind.	-	2	11	95	83	-	0	14	23	12											
Mich.	-	3	10	117	149	-	1	5	50	56											
Ohio	-	5	14	201	171	-	1	5	36	42											
Wis.	1	2	42	156	100	1	1	9	56	42											
W.N. CENTRAL	-	4	39	271	241	-	2	16	81	57											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	37	26	-	0	3	12	-											
Minn.	-	0	35	121	116	-	0	13	30	35											
Mo.	-	2	10	63	63	-	1	2	24	15											
Nebr.	-	0	3	26	18	-	0	3	6	6											
N. Dak.	-	0	5	10	11	-	0	2	4	1											
S. Dak.	-	0	2	14	7	-	0	1	5	-											
S. ATLANTIC	19	19	34	586	841	5	5	13	121	189											
Del.	-	0	2	6	7	-	0	0	-	-											
D.C.	-	0	2	14	16	-	0	1	1	2											
Fla.	5	6	11	168	191	-	1	4	37	38											
Ga.	12	5	10	154	160	4	1	5	20	42											
Md.	-	0	6	4	146	1	0	4	2	47											
N.C.	1	2	10	93	118	N	0	0	N	N											
S.C.	-	1	5	38	76	-	1	4	32	24											
Va.	1	3	12	87	107	-	0	6	24	31											
W. Va.	-	0	3	22	20	-	0	1	5	5											
E.S. CENTRAL	2	4	9	112	147	-	2	11	65	62											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	3	22	31	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	2	3	7	90	116	-	2	9	49	57											
W.S. CENTRAL	3	8	85	288	207	3	5	66	156	149											
Ark.	-	0	2	4	16	-	0	2	4	9											
La.	-	0	1	3	14	-	0	2	2	26											
Okla.	-	2	19	74	50	-	1	7	47	34											
Tex.	3	6	65	207	127	3	3	58	103	80											
MOUNTAIN	4	10	22	370	387	-	5	12	160	152											
Ariz.	1	4	9	141	143	-	2	8	81	72											
Colo.	3	2	8	102	99	-	1	4	44	31											
Idaho	-	0	2	11	8	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	3	1											
Nev.	-	0	2	6	2	N	0	0	N	N											
N. Mex.	-	2	7	66	68	-	0	3	13	27											
Utah	-	1	5	39	62	-	0	3	15	19											
Wyo.	-	0	2	5	5	-	0	1	1	-											
PACIFIC	3	3	10	89	87	-	0	2	10	11											
Alaska	3	0	3	24	16	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	65	71	-	0	2	10	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	7	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


