
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 1, 2003 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	1,671	2,359	1,249	1,254	274	363	206	150	31	11											
NEW ENGLAND	74	104	19	21	7	18	2	-	-	1											
Maine	2	12	-	-	-	3	-	-	-	-											
N.H.	4	3	-	-	1	2	-	-	N	N											
Vt.	1	5	-	-	2	1	2	-	-	1											
Mass.	48	60	12	20	4	12	N	N	N	N											
R.I.	4	4	2	-	-	-	-	-	-	-											
Conn.	15	20	5	1	-	-	-	-	-	-											
MID. ATLANTIC	154	266	75	62	39	65	5	5	5	1											
Upstate N.Y.	24	19	12	5	23	18	5	5	5	1											
N.Y. City	114	98	49	35	11	25	U	U	U	U											
N.J.	6	80	5	6	1	19	N	N	N	N											
Pa.	10	69	9	16	4	3	-	-	-	-											
E.N. CENTRAL	208	402	62	174	66	91	41	8	23	8											
Ohio	132	60	30	71	30	16	41	-	22	-											
Ind.	13	16	5	4	1	3	-	7	1	2											
Ill.	7	215	3	72	-	29	-	1	-	-											
Mich.	46	65	22	19	34	25	-	-	N	N											
Wis.	10	46	2	8	1	18	N	N	-	6											
W.N. CENTRAL	92	136	54	157	15	19	26	28	1	-											
Minn.	28	23	2	19	-	-	-	-	1	-											
Iowa	21	18	1	10	-	-	N	N	N	N											
Mo.	22	58	18	19	3	9	-	1	-	-											
N. Dak.	2	-	-	-	-	-	-	-	-	-											
S. Dak.	5	9	4	72	3	-	-	-	-	-											
Nebr.	6	9	22	23	6	6	2	9	N	N											
Kans.	8	19	7	14	3	4	24	18	N	N											
S. ATLANTIC	676	664	786	427	58	77	111	86	-	1											
Del.	2	3	46	2	1	-	-	2	N	N											
Md.	58	56	92	36	18	-	-	-	-	-											
D.C.	-	6	-	3	-	2	-	3	-	1											
Va.	26	46	19	92	-	5	N	N	N	N											
W. Va.	-	2	-	1	-	-	3	1	-	-											
N.C.	137	86	92	24	8	14	N	N	U	U											
S.C.	38	15	11	5	1	2	9	14	N	N											
Ga.	190	131	259	158	8	32	30	42	N	N											
Fla.	225	319	267	106	22	11	69	24	N	N											
E.S. CENTRAL	143	132	67	85	5	7	8	15	-	-											
Ky.	19	14	3	21	1	2	-	-	N	N											
Tenn.	43	26	18	5	4	5	8	15	N	N											
Ala.	62	56	39	27	-	-	-	-	N	N											
Miss.	19	36	7	32	-	-	-	-	-	-											
W.S. CENTRAL	29	144	48	97	6	30	10	3	2	-											
Ark.	16	22	1	14	1	-	-	2	-	-											
La.	6	7	7	8	-	-	10	1	-	-											
Okla.	7	17	40	23	5	4	N	N	2	-											
Tex.	-	98	-	52	-	26	N	N	-	-											
MOUNTAIN	98	98	57	28	60	24	3	5	-	-											
Mont.	2	3	-	-	-	-	-	-	-	-											
Idaho	9	6	1	1	4	-	N	N	N	N											
Wyo.	1	4	1	-	-	1	1	2	-	-											
Colo.	33	41	14	9	16	9	-	-	-	-											
N. Mex.	9	10	12	3	7	12	2	3	-	-											
Ariz.	25	4	25	4	31	-	-	-	N	N											
Utah	11	11	2	5	2	2	-	-	-	-											
Nev.	8	19	2	6	-	-	-	-	-	-											
PACIFIC	197	413	81	203	18	32	-	-	-	-											
Wash.	15	5	-	-	-	-	-	-	N	N											
Oreg.	16	29	6	14	N	N	N	N	N	N											
Calif.	142	357	69	183	8	23	N	N	N	N											
Alaska	10	9	2	1	-	-	-	-	N	N											
Hawaii	14	13	4	5	10	9	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	5	-	1	N	N	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


