
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 22, 1998 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	696	729	13,914	17,537	5,197	5,918	1	28	-	18	46	105									
NEW ENGLAND	38	40	159	448	107	109	-	1	-	2	3	19									
Maine	2	3	15	46	2	6	-	-	-	-	-	1									
N.H.	7	6	8	21	11	7	-	-	-	-	-	1									
Vt.	4	3	13	8	3	5	-	-	-	1	1	-									
Mass.	22	24	46	190	22	48	U	1	U	1	2	16									
R.I.	2	2	11	101	51	11	-	-	-	-	-	-									
Conn.	1	2	66	82	18	32	-	-	-	-	-	1									
MID. ATLANTIC	96	109	937	1,379	729	859	-	9	-	4	13	23									
Upstate N.Y.	38	30	224	203	192	177	-	2	-	-	2	5									
N.Y. City	19	30	231	618	191	325	U	-	U	-	-	7									
N.J.	34	34	218	200	135	159	-	7	-	1	8	3									
Pa.	5	15	264	358	211	198	-	-	-	3	3	8									
E.N. CENTRAL	116	120	1,943	1,798	529	966	-	11	-	3	14	9									
Ohio	42	68	221	221	52	57	-	-	-	1	1	-									
Ind.	27	11	110	191	67	72	-	2	-	1	3	-									
Ill.	40	27	314	485	102	183	-	-	-	-	-	7									
Mich.	3	14	1,178	769	285	283	-	9	-	1	10	2									
Wis.	4	-	120	132	23	371	-	-	-	-	-	-									
W.N. CENTRAL	64	37	980	1,330	255	316	-	-	-	-	-	12									
Minn.	49	27	89	111	27	23	-	-	-	-	-	3									
Iowa	2	4	375	253	45	24	-	-	-	-	-	-									
Mo.	8	3	391	689	151	232	U	-	U	-	-	1									
N. Dak.	-	-	3	10	4	4	-	-	-	-	-	-									
S. Dak.	-	2	21	17	1	1	-	-	-	-	-	8									
Nebr.	-	1	24	55	9	9	-	-	-	-	-	-									
Kans.	5	-	77	195	18	23	-	-	-	-	-	-									
S. ATLANTIC	146	115	1,193	1,059	774	764	1	3	-	5	8	10									
Del.	-	-	3	23	-	4	-	-	-	1	1	-									
Md.	41	44	198	133	100	109	-	-	-	1	1	2									
D.C.	-	-	36	17	8	25	U	-	U	-	-	1									
Va.	13	10	150	139	69	79	-	-	-	2	2	1									
W. Va.	4	3	1	8	4	9	-	-	-	-	-	-									
N.C.	21	17	72	123	150	162	-	-	-	-	-	1									
S.C.	3	3	21	72	23	62	-	-	-	-	-	1									
Ga.	32	22	360	234	124	87	-	1	-	1	2	1									
Fla.	32	16	352	310	296	227	1	2	-	-	2	3									
E.S. CENTRAL	40	40	263	418	252	446	-	-	-	1	1	1									
Ky.	6	6	15	51	28	27	-	-	-	-	-	-									
Tenn.	22	24	153	260	175	287	-	-	-	-	-	-									
Ala.	10	8	52	58	49	43	-	-	-	1	1	1									
Miss.	U	2	U	49	U	89	U	U	U	U	U	-									
W.S. CENTRAL	42	33	2,708	3,612	882	747	-	-	-	-	-	7									
Ark.	-	2	68	148	56	56	-	-	-	-	-	-									
La.	19	7	51	139	64	93	-	-	-	-	-	-									
Okla.	20	22	381	1,017	58	26	-	-	-	-	-	-									
Tex.	3	2	2,208	2,308	704	572	-	-	-	-	-	7									
MOUNTAIN	73	68	2,134	2,730	548	557	-	-	-	-	-	7									
Mont.	-	-	69	57	5	6	-	-	-	-	-	-									
Idaho	-	1	180	96	22	18	-	-	-	-	-	-									
Wyo.	1	2	26	24	2	17	-	-	-	-	-	-									
Colo.	15	12	180	285	71	102	-	-	-	-	-	-									
N. Mex.	5	7	104	216	228	179	-	-	-	-	-	-									
Ariz.	41	28	1,352	1,352	138	128	-	-	-	-	-	5									
Utah	4	3	138	414	51	65	-	-	-	-	-	-									
Nev.	7	15	85	286	31	42	U	-	U	-	-	2									
PACIFIC	81	167	3,597	4,763	1,121	1,154	-	4	-	3	7	17									
Wash.	7	3	698	335	71	51	-	-	-	1	1	1									
Oreg.	34	26	247	244	72	70	-	-	-	-	-	-									
Calif.	32	129	2,606	4,064	964	1,014	-	4	-	2	6	12									
Alaska	1	2	15	25	9	11	-	-	-	-	-	-									
Hawaii	7	7	31	95	5	8	-	-	-	-	-	4									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	39	206	271	481	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	1	1	28	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


