
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending December 24, 2005 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	4,175	4,234	2,290	2,214	908	815	7,882	7,614	272	380											
NEW ENGLAND	169	276	113	172	71	112	210	186	1	4											
Maine	14	14	N	N	1	7	1	2	-	-											
N.H.	15	21	-	-	7	N	14	5	-	3											
Vt.	11	10	13	11	6	3	1	1	-	-											
Mass.	120	121	84	55	53	63	128	114	-	-											
R.I.	9	21	16	20	4	9	20	26	-	1											
Conn.	U	89	U	86	U	30	46	38	1	-											
MID. ATLANTIC	843	708	188	155	147	125	971	960	35	34											
Upstate N.Y.	255	227	76	62	66	84	84	93	9	4											
N.Y. City	153	119	U	U	20	U	591	601	5	15											
N.J.	166	143	N	N	29	12	129	148	21	14											
Pa.	269	219	112	93	32	29	167	118	-	1											
E.N. CENTRAL	836	940	588	495	278	195	829	873	35	61											
Ohio	187	219	348	343	81	80	210	235	1	2											
Ind.	99	94	179	152	50	46	57	58	1	3											
Ill.	172	250	17	-	64	17	440	376	14	23											
Mich.	313	288	44	N	59	N	86	175	15	32											
Wis.	65	89	N	N	24	52	36	29	4	1											
W.N. CENTRAL	269	295	43	23	97	107	234	149	5	5											
Minn.	110	138	-	-	61	71	61	26	1	1											
Iowa	N	N	N	N	-	N	4	5	-	-											
Mo.	68	61	35	18	10	14	143	89	4	2											
N. Dak.	12	14	3	-	4	4	1	-	-	-											
S. Dak.	22	21	3	5	-	-	1	-	-	-											
Nebr.	21	21	2	-	7	9	5	6	-	-											
Kans.	36	40	N	N	15	9	19	23	-	2											
S. ATLANTIC	920	846	1,019	1,087	84	65	2,018	1,941	42	60											
Del.	6	3	2	4	-	N	10	9	-	1											
Md.	199	150	-	-	57	47	307	372	14	10											
D.C.	11	10	19	11	3	4	92	69	-	1											
Va.	97	70	N	N	-	N	135	105	4	3											
W. Va.	27	27	119	112	24	14	4	3	-	-											
N.C.	124	125	N	N	U	U	257	192	11	12											
S.C.	31	54	-	83	-	N	81	115	4	12											
Ga.	175	194	297	312	-	N	405	365	1	5											
Fla.	250	213	582	565	-	N	727	711	8	16											
E.S. CENTRAL	166	211	170	160	14	19	464	395	27	25											
Ky.	34	61	31	31	N	N	52	47	-	1											
Tenn.	132	150	139	127	-	N	215	130	20	10											
Ala.	-	-	-	-	-	N	153	164	6	11											
Miss.	-	-	-	2	14	19	44	54	1	3											
W.S. CENTRAL	262	332	107	86	158	152	1,243	1,217	71	77											
Ark.	22	17	15	10	19	8	50	47	1	4											
La.	8	3	92	76	24	32	243	329	12	9											
Okla.	112	67	N	N	36	47	40	25	1	2											
Tex.	120	245	N	N	79	65	910	816	57	62											
MOUNTAIN	590	494	62	35	50	37	373	378	30	48											
Mont.	-	-	1	-	-	-	5	4	-	-											
Idaho	3	9	N	N	-	N	20	23	1	2											
Wyo.	5	10	23	12	-	-	-	3	-	-											
Colo.	200	114	N	N	49	37	44	62	1	2											
N. Mex.	43	90	-	N	-	-	47	80	2	2											
Ariz.	254	225	N	N	-	N	170	155	25	41											
Utah	84	41	36	21	1	-	6	11	-	1											
Nev.	1	5	2	2	-	-	81	40	1	-											
PACIFIC	120	132	-	1	9	3	1,540	1,515	26	66											
Wash.	N	N	N	N	N	N	152	144	-	-											
Oreg.	N	N	N	N	6	N	38	27	-	-											
Calif.	-	-	N	N	N	N	1,332	1,329	26	66											
Alaska	-	-	-	-	-	N	6	7	-	-											
Hawaii	120	132	-	1	3	3	12	8	-	-											
Guam	-	-	-	-	-	-	-	2	-	-											
P.R.	N	N	N	N	-	N	215	170	12	6											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


