
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 31, 2001 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	340	356	2,038	3,200	1,373	1,451	-	14	2	15	29	9									
NEW ENGLAND	14	31	93	90	13	25	-	3	-	1	4	-									
Maine	1	1	1	4	1	1	-	-	-	-	-	-									
N.H.	-	5	3	8	4	6	-	-	-	-	-	-									
Vt.	-	3	2	3	1	3	-	1	-	-	1	-									
Mass.	13	18	33	39	1	1	-	2	-	1	3	-									
R.I.	-	-	4	5	6	2	-	-	-	-	-	-									
Conn.	-	4	50	31	-	12	-	-	-	-	-	-									
MID. ATLANTIC	35	52	144	203	135	245	-	1	2	4	5	-									
Upstate N.Y.	14	20	51	57	31	26	-	-	2	4	4	-									
N.Y. City	13	19	79	115	92	136	-	-	-	-	-	-									
N.J.	7	10	-	-	-	11	-	-	-	-	-	-									
Pa.	1	3	14	31	12	72	-	1	-	-	1	-									
E.N. CENTRAL	35	56	227	448	169	132	-	-	-	7	7	3									
Ohio	24	16	71	100	32	28	-	-	-	2	2	2									
Ind.	6	4	18	10	4	5	-	-	-	2	2	-									
Ill.	-	23	47	191	13	2	-	-	-	3	3	-									
Mich.	2	3	91	134	120	96	-	-	-	-	-	1									
Wis.	3	10	-	13	-	1	-	-	-	-	-	-									
W.N. CENTRAL	10	12	124	256	52	78	-	4	-	-	4	-									
Minn.	4	7	7	28	4	4	-	1	-	-	1	-									
Iowa	1	-	10	30	5	11	-	-	-	-	-	-									
Mo.	4	4	40	154	34	50	-	3	-	-	3	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	1	-	17	8	5	9	-	-	-	-	-	-									
Kans.	-	-	49	36	3	4	-	-	-	-	-	-									
S. ATLANTIC	127	89	429	333	288	258	-	2	-	1	3	-									
Del.	-	-	-	5	-	4	-	-	-	-	-	-									
Md.	35	27	62	42	37	41	-	2	-	1	3	-									
D.C.	-	-	12	-	3	-	-	-	-	-	-	-									
Va.	10	15	35	45	29	35	-	-	-	-	-	-									
W. Va.	4	3	1	29	3	-	-	-	-	-	-	-									
N.C.	18	8	30	60	51	81	-	-	-	-	-	-									
S.C.	2	4	13	7	1	2	-	-	-	-	-	-									
Ga.	23	22	132	47	85	39	-	-	-	-	-	-									
Fla.	35	10	144	98	79	56	-	-	-	-	-	-									
E.S. CENTRAL	23	17	70	134	92	106	-	-	-	-	-	-									
Ky.	1	9	9	10	8	16	-	-	-	-	-	-									
Tenn.	12	5	34	46	36	49	-	-	-	-	-	-									
Ala.	9	3	23	20	27	8	-	-	-	-	-	-									
Miss.	1	-	4	58	21	33	-	-	-	-	-	-									
W.S. CENTRAL	8	22	236	612	196	159	-	1	-	-	1	-									
Ark.	-	-	16	46	24	19	-	-	-	-	-	-									
La.	2	7	14	27	12	40	-	-	-	-	-	-									
Okla.	6	15	47	100	23	18	-	-	-	-	-	-									
Tex.	-	-	159	439	137	82	-	1	-	-	1	-									
MOUNTAIN	67	40	223	221	128	111	-	-	-	1	1	-									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	24	11	4	4	-	-	-	1	1	-									
Wyo.	-	-	1	3	-	-	U	-	U	-	-	-									
Colo.	11	11	27	49	28	26	-	-	-	-	-	-									
N. Mex.	10	11	7	23	36	36	-	-	-	-	-	-									
Ariz.	37	11	112	102	43	33	-	-	-	-	-	-									
Utah	1	3	18	15	4	3	-	-	-	-	-	-									
Nev.	7	2	30	17	12	6	-	-	-	-	-	-									
PACIFIC	21	37	492	903	300	337	-	3	-	1	4	6									
Wash.	1	2	20	57	22	15	-	-	-	-	-	3									
Oreg.	15	10	28	76	43	31	-	2	-	-	2	-									
Calif.	4	14	436	761	231	284	-	1	-	1	2	3									
Alaska	1	1	8	3	4	2	-	-	-	-	-	-									
Hawaii	-	10	-	6	-	5	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	2	28	93	13	68	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


