
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 4, 2002 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	4	3	4,343	100,505	120,137	568	606	4	9												
NEW ENGLAND	-	-	462	2,586	2,128	46	19	-	1												
Maine	-	-	57	22	45	1	1	-	-												
N.H.	-	-	17	42	45	4	-	-	-												
Vt.	-	-	36	34	30	3	-	-	-												
Mass.	-	-	205	1,166	975	20	16	-	1												
R.I.	-	-	36	327	255	8	-	-	-												
Conn.	-	-	111	995	778	10	2	-	-												
MID. ATLANTIC	-	-	914	10,304	12,313	99	88	1	-												
Upstate N.Y.	-	-	349	2,758	2,618	51	22	1	-												
N.Y. City	-	-	400	4,131	4,226	27	25	-	-												
N.J.	-	-	-	651	1,451	10	35	-	-												
Pa.	-	-	165	2,764	4,018	11	6	-	-												
E.N. CENTRAL	2	2	809	16,705	24,875	72	101	1	1												
Ohio	2	2	285	3,103	6,918	42	28	-	1												
Ind.	-	-	-	2,200	2,275	16	17	-	-												
Ill.	-	-	132	5,083	7,743	-	42	-	-												
Mich.	-	-	279	4,784	5,956	8	4	1	-												
Wis.	-	-	113	1,535	1,983	6	10	-	-												
W.N. CENTRAL	-	-	534	4,544	5,504	19	22	-	1												
Minn.	-	-	192	930	890	14	10	-	-												
Iowa	-	-	79	170	401	1	-	-	-												
Mo.	-	-	154	2,302	2,739	2	10	-	-												
N. Dak.	-	-	6	13	12	-	-	-	-												
S. Dak.	-	-	20	91	80	-	-	-	-												
Nebr.	-	-	40	135	444	-	1	-	1												
Kans.	-	-	43	903	938	2	1	-	-												
S. ATLANTIC	-	-	784	28,230	31,090	154	177	-	1												
Del.	-	-	14	574	548	-	-	-	-												
Md.	-	-	33	2,681	2,931	38	42	-	-												
D.C.	-	-	16	994	1,083	-	-	-	-												
Va.	-	-	54	3,646	2,985	8	10	-	-												
W. Va.	-	-	9	325	183	2	4	-	1												
N.C.	-	-	-	5,543	6,482	14	22	-	-												
S.C.	-	-	13	2,712	4,462	3	3	-	-												
Ga.	-	-	289	5,239	5,784	54	50	-	-												
Fla.	-	-	356	6,516	6,632	35	46	-	-												
E.S. CENTRAL	-	1	108	10,141	10,960	20	33	1	-												
Ky.	-	1	-	1,180	1,183	2	1	-	-												
Tenn.	-	-	49	3,038	3,303	11	12	-	-												
Ala.	-	-	59	3,639	3,780	5	18	1	-												
Miss.	-	-	-	2,284	2,694	2	2	-	-												
W.S. CENTRAL	-	-	14	15,856	17,664	24	20	-	1												
Ark.	-	-	14	873	1,744	1	-	-	-												
La.	-	-	-	3,920	4,121	1	2	-	-												
Okla.	-	-	-	1,612	1,587	22	17	-	-												
Tex.	-	-	-	9,451	10,212	-	1	-	1												
MOUNTAIN	2	-	405	3,266	3,466	77	77	1	2												
Mont.	-	-	25	38	41	-	-	-	-												
Idaho	-	-	19	31	31	1	1	-	-												
Wyo.	-	-	6	21	19	1	-	-	-												
Colo.	2	-	134	1,228	1,092	16	18	-	-												
N. Mex.	-	-	49	381	343	14	12	-	-												
Ariz.	-	-	57	940	1,259	35	37	1	1												
Utah	-	-	69	137	26	8	2	-	-												
Nev.	-	-	46	490	655	2	7	-	1												
PACIFIC	-	-	313	8,873	12,137	57	69	-	2												
Wash.	-	-	127	1,712	1,054	1	1	-	-												
Oreg.	-	-	126	301	414	30	18	-	-												
Calif.	-	-	-	6,509	10,321	9	32	-	2												
Alaska	-	-	24	193	120	1	2	-	-												
Hawaii	-	-	36	158	228	16	16	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	224	236	-	-	-	-												
V.I.	-	-	-	17	8	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	5	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


