
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2004 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	3,016	16,669	23,949	48	84	57	41	-	-											
NEW ENGLAND	-	64	739	944	-	-	2	5	-	-											
Maine	-	-	-	52	N	N	-	-	-	-											
N.H.	-	1	-	50	-	-	-	-	-	-											
Vt.	-	-	28	18	-	-	2	1	-	-											
Mass.	-	1	505	292	-	-	-	4	-	-											
R.I.	-	5	206	105	-	-	-	-	-	-											
Conn.	-	57	-	427	N	N	-	-	-	-											
MID. ATLANTIC	-	905	2,589	2,943	-	-	7	8	-	-											
Upstate N.Y.	-	51	254	122	N	N	5	-	-	-											
N.Y. City	-	430	1,010	906	-	-	1	6	-	-											
N.J.	-	72	585	606	-	-	-	-	-	-											
Pa.	-	352	740	1,309	N	N	1	2	-	-											
E.N. CENTRAL	-	278	2,477	5,229	-	1	4	10	-	-											
Ohio	-	61	161	1,527	-	-	2	-	-	-											
Ind.	-	42	505	635	N	N	-	-	-	-											
Ill.	-	81	623	1,844	-	-	-	1	-	-											
Mich.	-	89	1,149	599	-	1	2	2	-	-											
Wis.	-	5	39	624	-	-	-	7	-	-											
W.N. CENTRAL	-	36	562	1,530	-	-	6	4	-	-											
Minn.	-	-	-	390	N	N	-	1	-	-											
Iowa	-	13	-	64	N	N	1	1	-	-											
Mo.	-	22	171	523	-	-	-	1	-	-											
N. Dak.	-	-	7	9	N	N	-	-	-	-											
S. Dak.	-	1	24	67	-	-	2	1	-	-											
Nebr.	-	-	-	118	-	-	-	-	-	-											
Kans.	-	-	360	359	N	N	3	-	-	-											
S. ATLANTIC	-	643	3,530	3,734	-	-	22	9	-	-											
Del.	-	-	104	111	N	N	-	-	-	-											
Md.	-	12	663	461	-	-	1	1	-	-											
D.C.	-	157	99	141	-	-	-	-	-	-											
Va.	-	137	992	434	-	-	-	-	-	-											
W. Va.	-	-	97	87	N	N	-	-	-	-											
N.C.	-	3	529	808	N	N	7	-	-	-											
S.C.	-	35	357	387	-	-	-	-	-	-											
Ga.	-	155	10	355	-	-	6	7	-	-											
Fla.	-	144	679	950	N	N	8	1	-	-											
E.S. CENTRAL	-	17	1,317	1,680	N	N	2	2	-	-											
Ky.	-	5	267	234	N	N	-	-	-	-											
Tenn.	-	-	396	423	N	N	2	2	-	-											
Ala.	-	12	460	416	-	-	-	-	-	-											
Miss.	-	-	194	607	N	N	-	-	-	-											
W.S. CENTRAL	-	572	2,566	3,135	-	-	1	-	-	-											
Ark.	-	-	267	185	-	-	1	-	-	-											
La.	-	-	931	147	N	N	-	-	-	-											
Okla.	-	1	232	300	N	N	-	-	-	-											
Tex.	-	571	1,136	2,503	-	-	-	-	-	-											
MOUNTAIN	-	120	512	1,673	-	83	1	3	-	-											
Mont.	-	6	-	76	N	N	-	-	-	-											
Idaho	-	-	97	102	N	N	-	2	-	-											
Wyo.	-	1	35	31	-	-	1	-	-	-											
Colo.	-	22	35	433	N	N	-	1	-	-											
N. Mex.	-	-	20	203	-	-	-	-	-	-											
Ariz.	-	78	312	590	-	82	-	-	-	-											
Utah	-	6	13	37	-	-	-	-	-	-											
Nev.	-	7	-	201	-	1	-	-	-	-											
PACIFIC	-	381	2,377	3,081	48	-	12	-	-	-											
Wash.	-	31	469	391	N	N	-	-	-	-											
Oreg.	-	35	-	210	-	-	1	-	-	-											
Calif.	-	312	1,806	2,235	48	-	11	-	-	-											
Alaska	-	3	91	49	-	-	-	-	-	-											
Hawaii	-	-	11	196	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	50	19	N	N	N	N	-	-											
V.I.	-	-	-	13	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


