
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 27, 2002 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	3,811	4,146	1,466	1,600	976	1,228	68	54													
NEW ENGLAND	78	69	63	56	1	6	1	1													
Maine	2	1	13	7	-	-	-	-													
N.H.	3	1	18	6	-	-	-	-													
Vt.	-	2	5	7	1	6	1	-													
Mass.	53	48	21	33	-	-	-	-													
R.I.	4	4	6	3	-	-	-	1													
Conn.	16	13	-	-	-	-	-	-													
MID. ATLANTIC	191	498	234	269	44	68	27	46													
Upstate N.Y.	45	128	133	104	41	66	27	46													
N.Y. City	99	130	60	79	U	U	-	-													
N.J.	19	151	24	69	-	-	-	-													
Pa.	28	89	17	17	3	2	-	-													
E.N. CENTRAL	459	576	224	362	74	83	19	5													
Ohio	270	150	91	94	-	-	1	-													
Ind.	23	83	11	16	72	83	15	5													
Ill.	87	158	2	133	2	-	-	-													
Mich.	49	113	120	95	-	-	3	-													
Wis.	30	72	-	24	-	-	-	-													
W.N. CENTRAL	300	428	103	159	241	24	17	1													
Minn.	46	181	59	65	178	-	17	-													
Iowa	31	74	-	-	-	-	-	-													
Mo.	42	83	24	39	5	7	-	-													
N. Dak.	7	9	-	4	-	2	-	1													
S. Dak.	126	26	5	5	1	2	-	-													
Nebr.	-	23	-	12	-	3	-	-													
Kans.	48	32	15	34	57	10	-	-													
S. ATLANTIC	1,633	611	294	290	520	846	4	1													
Del.	5	4	1	2	3	1	-	-													
Md.	207	37	43	22	-	-	-	-													
D.C.	18	19	3	2	26	3	1	-													
Va.	324	39	33	46	-	-	-	-													
W. Va.	2	4	7	8	25	26	-	1													
N.C.	101	131	60	52	-	-	-	-													
S.C.	18	33	20	3	81	146	3	-													
Ga.	622	135	76	97	152	302	-	-													
Fla.	336	209	51	58	233	368	-	-													
E.S. CENTRAL	311	337	45	36	65	130	-	-													
Ky.	52	117	5	16	8	16	-	-													
Tenn.	19	32	40	20	57	113	-	-													
Ala.	133	83	-	-	-	1	-	-													
Miss.	107	105	-	-	-	-	-	-													
W.S. CENTRAL	138	786	15	157	11	49	-	-													
Ark.	24	180	-	-	2	12	-	-													
La.	22	77	-	-	9	37	-	-													
Okla.	91	6	14	24	-	-	-	-													
Tex.	1	523	1	133	-	-	-	-													
MOUNTAIN	161	216	267	181	20	21	-	-													
Mont.	1	-	-	-	-	-	-	-													
Idaho	2	7	4	3	-	-	-	-													
Wyo.	1	-	3	4	7	2	-	-													
Colo.	37	46	108	70	-	-	-	-													
N. Mex.	41	43	45	36	13	19	-	-													
Ariz.	56	91	107	65	-	-	-	-													
Utah	14	12	-	3	-	-	-	-													
Nev.	9	17	-	-	-	-	-	-													
PACIFIC	540	625	221	90	-	1	-	-													
Wash.	21	56	26	-	-	-	-	-													
Oreg.	31	34	-	-	-	-	-	-													
Calif.	469	522	178	69	-	-	-	-													
Alaska	2	2	-	-	-	-	-	-													
Hawaii	17	11	17	21	-	1	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	6	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	3	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


