
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 11, 2004 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	2,342	2,481	263	233	175	146	17,383	18,062	291,633	310,299											
NEW ENGLAND	159	148	42	44	17	13	1,606	1,549	6,375	6,865											
Maine	11	10	1	3	-	-	123	179	207	208											
N.H.	23	18	5	3	-	-	45	39	125	115											
Vt.	12	18	-	-	-	-	159	116	83	87											
Mass.	68	65	10	9	17	13	716	808	2,957	2,745											
R.I.	11	1	1	-	-	-	117	106	781	899											
Conn.	34	36	25	29	-	-	446	301	2,222	2,811											
MID. ATLANTIC	281	238	58	23	29	33	3,604	3,615	32,756	38,711											
Upstate N.Y.	120	89	43	12	14	17	1,312	1,017	6,822	7,413											
N.Y. City	36	7	-	-	-	-	912	1,147	10,170	12,820											
N.J.	52	31	4	2	5	-	403	485	5,558	7,480											
Pa.	73	111	11	9	10	16	977	966	10,206	10,998											
E.N. CENTRAL	426	556	40	32	28	20	2,628	3,078	60,021	65,806											
Ohio	98	129	9	16	20	20	766	858	16,969	21,036											
Ind.	56	83	-	-	-	-	-	-	6,430	6,270											
Ill.	69	120	2	2	2	-	504	882	17,714	20,337											
Mich.	80	90	11	-	6	-	666	745	14,705	12,869											
Wis.	123	134	18	14	-	-	692	593	4,203	5,294											
W.N. CENTRAL	482	437	43	52	18	20	2,062	1,986	16,068	16,594											
Minn.	112	128	20	21	1	1	791	756	2,810	2,919											
Iowa	122	102	-	-	-	-	279	259	1,042	1,228											
Mo.	91	83	17	18	8	1	541	490	8,452	8,200											
N. Dak.	15	13	-	4	7	8	23	45	91	94											
S. Dak.	33	28	2	4	-	-	73	81	276	213											
Nebr.	69	48	4	5	-	-	147	138	971	1,489											
Kans.	40	35	-	-	2	10	208	217	2,426	2,451											
S. ATLANTIC	163	142	38	45	65	43	2,570	2,600	71,816	75,888											
Del.	2	11	N	N	N	N	39	47	836	1,064											
Md.	20	17	5	3	4	1	128	113	7,676	7,488											
D.C.	1	1	-	-	-	-	63	53	2,388	2,371											
Va.	35	37	17	13	-	-	509	342	7,960	8,266											
W. Va.	3	5	-	-	-	-	45	49	859	797											
N.C.	-	-	-	-	48	34	N	N	14,064	14,014											
S.C.	7	2	-	-	-	-	57	134	8,867	7,927											
Ga.	25	26	8	7	-	-	671	814	12,013	16,587											
Fla.	70	43	8	22	13	8	1,058	1,048	17,153	17,374											
E.S. CENTRAL	96	81	3	2	9	6	345	376	23,170	26,028											
Ky.	29	27	1	2	6	6	N	N	2,664	3,333											
Tenn.	31	34	2	-	3	-	157	175	7,857	7,989											
Ala.	26	16	-	-	-	-	188	201	6,277	8,757											
Miss.	10	4	-	-	-	-	-	-	6,372	5,949											
W.S. CENTRAL	73	94	3	4	9	4	313	283	38,890	41,435											
Ark.	15	12	1	-	-	-	120	142	3,412	3,923											
La.	4	3	-	-	-	-	49	13	9,967	10,926											
Okla.	19	28	-	-	4	-	144	128	4,050	4,283											
Tex.	35	51	2	4	5	4	N	N	21,461	22,303											
MOUNTAIN	238	310	35	27	-	7	1,455	1,534	10,246	9,798											
Mont.	16	17	-	-	-	-	80	109	68	111											
Idaho	50	80	16	16	-	-	181	195	88	68											
Wyo.	9	4	7	1	-	-	25	22	58	42											
Colo.	50	66	2	4	-	7	490	436	2,515	2,677											
N. Mex.	9	13	6	5	-	-	68	51	751	1,099											
Ariz.	27	38	N	N	N	N	166	240	3,815	3,415											
Utah	50	69	3	-	-	-	326	346	538	374											
Nev.	27	23	1	1	-	-	119	135	2,413	2,012											
PACIFIC	424	475	1	4	-	-	2,800	3,041	32,291	29,174											
Wash.	142	115	-	1	-	-	378	353	2,524	2,566											
Oreg.	67	100	1	3	-	-	417	392	1,188	939											
Calif.	204	246	-	-	-	-	1,844	2,125	27,013	23,974											
Alaska	1	5	-	-	-	-	88	85	473	526											
Hawaii	10	9	-	-	-	-	73	86	1,093	1,169											
Guam	N	N	-	-	-	-	-	2	92	63											
P.R.	1	3	-	-	-	-	125	327	252	256											
V.I.	-	-	-	-	-	-	-	-	80	86											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


