
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 4, 2006 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	40	105	160	174	571	6	34	98	151	51	393	834	1,448	1,866	2,122						
NEW ENGLAND	-	13	33	25	56	-	0	1	-	-	4	40	76	58	89						
Conn.	-	3	13	5	10	-	0	0	-	-	-	9	25	10	18						
Maine	-	1	4	3	4	N	0	0	N	N	-	3	8	1	7						
Mass.	-	5	22	13	34	-	0	1	-	-	-	20	38	38	53						
N.H.	-	0	3	1	2	-	0	1	-	-	-	2	12	3	4						
R.I.	-	0	4	1	-	-	0	1	-	-	4	0	15	4	-						
Vt.	-	1	7	2	6	-	0	0	-	-	-	1	10	2	7						
MID. ATLANTIC	9	18	40	51	49	-	2	8	-	3	22	94	185	171	243						
N.J.	N	0	0	N	N	-	0	6	-	1	-	16	45	-	53						
N.Y. (Upstate)	5	12	24	30	18	-	0	2	-	-	12	22	102	35	29						
N.Y. City	-	0	3	-	3	-	0	2	-	1	2	24	43	55	82						
Pa.	4	7	22	21	28	-	1	6	-	1	8	30	61	81	79						
E.N. CENTRAL	-	2	19	2	4	-	0	3	-	1	32	93	243	169	266						
Ill.	-	1	4	-	1	-	0	1	-	-	-	29	160	7	70						
Ind.	-	0	3	-	1	-	0	1	-	-	19	9	71	22	9						
Mich.	-	0	4	1	1	-	0	1	-	-	3	17	35	35	62						
Ohio	-	0	13	1	1	-	0	3	-	1	10	22	52	80	67						
Wis.	-	0	3	-	-	-	0	1	-	-	-	15	45	25	58						
W.N. CENTRAL	2	7	23	5	20	-	1	16	-	2	11	42	91	126	126						
Iowa	-	1	10	2	4	-	0	2	-	-	-	7	18	13	31						
Kans.	-	1	5	1	4	-	0	2	-	-	3	7	17	17	11						
Minn.	-	1	5	-	8	-	0	1	-	-	4	10	31	27	26						
Mo.	-	1	7	-	3	-	1	14	-	2	-	14	40	57	38						
Nebr.	-	0	0	-	-	-	0	2	-	-	4	2	8	8	14						
N. Dak.	2	0	4	2	-	-	0	0	-	-	-	0	5	-	2						
S. Dak.	-	1	6	-	1	-	0	2	-	-	-	2	11	4	4						
