
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 31, 2001 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	69,088	87,016	379	822	143	162	78	510	1,012												
NEW ENGLAND	1,448	1,644	5	5	5	15	10	137	150												
Maine	36	20	-	-	-	2	-	-	-												
N.H.	31	24	-	-	-	2	-	42	17												
Vt.	21	14	3	2	2	-	-	1	-												
Mass.	669	644	2	3	2	8	6	15	49												
R.I.	180	146	-	-	-	-	-	-	-												
Conn.	511	796	-	-	1	3	4	79	84												
MID. ATLANTIC	6,876	8,778	19	159	13	33	7	245	690												
Upstate N.Y.	1,677	1,407	12	12	9	12	3	189	250												
N.Y. City	3,000	2,790	-	-	3	5	1	-	24												
N.J.	748	1,908	-	139	-	1	-	-	93												
Pa.	1,451	2,673	7	8	1	15	3	56	323												
E.N. CENTRAL	9,539	17,652	49	67	44	50	9	10	25												
Ohio	236	4,413	4	-	22	23	2	10	2												
Ind.	1,453	1,457	-	-	5	7	1	-	-												
Ill.	2,877	5,693	2	8	-	5	-	-	1												
Mich.	4,273	4,278	43	59	13	8	5	-	-												
Wis.	700	1,811	-	-	4	7	1	U	22												
W.N. CENTRAL	3,224	4,012	65	113	11	6	2	14	15												
Minn.	439	780	-	-	1	1	-	10	6												
Iowa	210	238	-	-	2	2	-	-	-												
Mo.	1,619	1,963	62	107	5	3	1	4	4												
N. Dak.	9	12	-	-	-	-	-	-	-												
S. Dak.	51	64	-	-	-	-	-	-	-												
Nebr.	225	300	2	2	2	-	-	-	1												
Kans.	671	655	1	4	1	-	1	-	4												
S. ATLANTIC	19,596	24,321	22	18	23	30	14	83	109												
Del.	410	404	-	1	-	2	-	-	14												
Md.	2,051	2,061	6	3	6	9	2	73	81												
D.C.	741	552	-	-	1	-	-	5	-												
Va.	2,396	2,437	-	-	3	3	2	2	5												
W. Va.	121	142	-	1	N	N	1	1	4												
N.C.	4,066	4,570	6	7	2	3	-	2	4												
S.C.	2,353	4,779	2	-	-	2	-	-	-												
Ga.	3,239	3,803	-	-	2	2	3	-	-												
Fla.	4,219	5,573	8	6	9	9	6	-	1												
E.S. CENTRAL	7,912	8,973	59	129	15	5	5	2	1												
Ky.	851	805	1	13	5	3	1	2	-												
Tenn.	2,481	2,688	14	26	6	1	3	-	1												
Ala.	2,734	3,236	1	3	2	1	1	-	-												
Miss.	1,846	2,244	43	87	2	-	-	-	-												
W.S. CENTRAL	11,751	13,129	103	259	1	4	2	-	4												
Ark.	1,299	575	2	3	-	-	1	-	-												
La.	2,852	3,398	52	153	1	2	-	-	2												
Okla.	1,202	974	1	-	-	-	-	-	-												
Tex.	6,398	8,182	48	103	-	2	1	-	2												
MOUNTAIN	2,399	2,673	22	27	8	8	6	1	-												
Mont.	19	4	-	-	-	-	-	-	-												
Idaho	24	25	1	-	-	1	-	-	-												
Wyo.	15	17	3	-	-	-	-	-	-												
Colo.	837	856	8	11	3	4	1	-	-												
N. Mex.	190	249	6	4	1	-	2	-	-												
Ariz.	908	1,102	1	9	3	-	1	-	-												
Utah	26	87	-	-	-	3	-	-	-												
Nev.	380	333	3	3	1	-	2	1	-												
PACIFIC	6,343	5,834	35	45	23	11	23	18	18												
Wash.	771	586	9	6	5	5	1	1	-												
Oreg.	278	138	5	9	N	N	3	2	1												
Calif.	5,079	4,942	21	30	18	6	19	15	17												
Alaska	71	68	-	-	-	-	-	-	-												
Hawaii	144	100	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	327	114	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


