
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2005 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	89	138	-	1	3	3	7	19													
NEW ENGLAND	5	12	-	-	-	-	2	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	1	-	-	-	-	-	-													
Vt.	4	1	-	-	-	-	2	-													
Mass.	1	6	-	-	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	4	-	-	-	-	-	-													
MID. ATLANTIC	24	32	-	-	-	-	2	3													
Upstate N.Y.	6	5	-	-	-	-	-	-													
N.Y. City	3	6	-	-	-	-	-	1													
N.J.	4	8	-	-	-	-	-	1													
Pa.	11	13	-	-	-	-	2	1													
E.N. CENTRAL	17	30	-	-	-	1	1	10													
Ohio	14	9	-	-	-	-	1	3													
Ind.	1	1	-	-	-	-	-	1													
Ill.	-	11	-	-	-	-	-	4													
Mich.	2	4	-	-	-	1	-	1													
Wis.	-	5	-	-	-	-	-	1													
W.N. CENTRAL	4	6	-	-	-	-	-	1													
Minn.	-	-	-	-	-	-	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	4	2	-	-	-	-	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	4	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	25	29	-	-	1	-	1	2													
Del.	-	-	-	-	-	-	-	-													
Md.	6	11	-	-	1	-	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	3	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	2	1	-	-	-	-	-	-													
S.C.	1	-	-	-	-	-	-	-													
Ga.	8	8	-	-	-	-	-	2													
Fla.	8	6	-	-	-	-	-	-													
E.S. CENTRAL	3	7	-	-	-	-	-	1													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	3	2	-	-	-	-	-	-													
Ala.	-	5	-	-	-	-	-	1													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	2	4	-	-	-	-	1	-													
Ark.	-	-	-	-	-	-	-	-													
La.	1	3	-	-	-	-	1	-													
Okla.	1	1	-	-	-	-	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	7	16	-	1	2	2	-	1													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	-	-	-	-	-	-	-													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	-	7	-	-	-	-	-	-													
N. Mex.	-	5	-	-	-	1	-	1													
Ariz.	2	-	-	-	1	-	-	-													
Utah	1	1	-	1	-	-	-	-													
Nev.	2	3	-	-	1	1	-	-													
PACIFIC	2	2	-	-	-	-	-	1													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	1	1	-	-	-	-	-	-													
Calif.	-	-	-	-	-	-	-	-													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


