
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 14, 2002 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	11,356	13,088	3,115	2,774	1,641	2,033	170	311													
NEW ENGLAND	228	232	151	176	14	95	2	34													
Maine	4	6	20	10	-	-	-	-													
N.H.	8	4	30	N	-	-	N	N													
Vt.	1	7	9	10	4	7	1	-													
Mass.	143	162	78	57	N	N	N	N													
R.I.	9	16	14	8	10	3	1	3													
Conn.	63	37	-	91	-	85	-	31													
MID. ATLANTIC	818	1,112	514	508	85	131	50	78													
Upstate N.Y.	200	390	240	213	75	125	50	78													
N.Y. City	278	306	127	141	U	U	U	U													
N.J.	198	220	103	101	N	N	N	N													
Pa.	142	196	44	53	10	6	-	-													
E.N. CENTRAL	1,195	3,215	557	654	167	137	71	85													
Ohio	460	2,152	175	164	33	-	3	-													
Ind.	69	162	42	53	129	137	43	41													
Ill.	426	428	105	213	2	-	-	44													
Mich.	124	232	235	173	3	-	N	N													
Wis.	116	241	-	51	N	N	25	-													
W.N. CENTRAL	782	1,206	191	286	159	111	37	48													
Minn.	164	327	99	130	48	50	37	40													
Iowa	100	322	-	-	N	N	N	N													
Mo.	124	235	38	58	6	9	-	-													
N. Dak.	15	20	-	11	1	5	-	8													
S. Dak.	150	183	11	9	1	3	-	-													
Nebr.	161	58	16	32	26	14	N	N													
Kans.	68	61	27	46	77	30	N	N													
S. ATLANTIC	4,288	1,746	633	470	1,037	1,098	4	5													
Del.	95	9	2	2	3	4	N	N													
Md.	821	113	100	N	N	N	N	N													
D.C.	40	44	6	15	48	5	1	3													
Va.	676	217	61	62	N	N	N	N													
W. Va.	8	8	16	18	36	37	3	2													
N.C.	249	264	105	123	N	N	U	U													
S.C.	71	205	29	9	142	223	N	N													
Ga.	1,101	233	137	148	258	316	N	N													
Fla.	1,227	653	177	93	550	513	N	N													
E.S. CENTRAL	925	1,133	76	85	107	199	-	-													
Ky.	97	468	15	31	12	23	N	N													
Tenn.	53	73	61	54	95	175	N	N													
Ala.	497	179	-	-	-	1	N	N													
Miss.	278	413	-	-	-	-	-	-													
W.S. CENTRAL	859	2,064	104	250	37	227	3	61													
Ark.	150	443	5	-	6	14	-	-													
La.	108	178	-	1	31	213	1	61													
Okla.	336	40	36	36	N	N	2	-													
Tex.	265	1,403	63	213	N	N	-	-													
MOUNTAIN	544	680	443	288	35	32	3	-													
Mont.	3	3	-	-	-	-	-	-													
Idaho	7	26	6	7	N	N	N	N													
Wyo.	6	5	7	8	9	5	-	-													
Colo.	120	174	110	123	-	-	-	-													
N. Mex.	105	86	78	61	25	25	-	-													
Ariz.	240	278	213	86	-	-	N	N													
Utah	26	46	29	3	1	-	3	-													
Nev.	37	62	-	-	-	2	-	-													
PACIFIC	1,717	1,700	446	57	-	3	-	-													
Wash.	109	146	65	-	-	-	N	N													
Oreg.	78	82	N	N	N	N	N	N													
Calif.	1,487	1,419	326	-	N	N	N	N													
Alaska	3	5	-	-	-	-	N	N													
Hawaii	40	48	55	57	-	3	-	-													
Guam	-	37	-	1	-	-	-	-													
P.R.	5	15	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


