
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2000 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	-	-	2,477	11,412	1	16	3	19	1	17											
NEW ENGLAND	-	-	212	325	-	-	-	3	1	3											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	11	19	-	-	-	-	1	-											
Vt.	-	-	8	6	-	-	-	-	-	-											
Mass.	-	-	193	187	-	-	-	3	-	2											
R.I.	-	-	-	35	-	-	-	-	-	-											
Conn.	-	-	-	78	-	-	-	-	-	1											
MID. ATLANTIC	-	-	16	1,415	-	5	-	1	-	-											
Upstate N.Y.	-	-	N	N	-	-	-	1	-	-											
N.Y. City	-	-	-	838	-	4	-	-	-	-											
N.J.	-	-	16	156	-	-	-	-	-	-											
Pa.	-	-	-	421	-	1	N	N	-	-											
E.N. CENTRAL	-	-	825	1,859	-	4	2	9	-	4											
Ohio	-	-	90	767	-	2	1	9	-	2											
Ind.	-	-	100	162	-	-	-	-	-	-											
Ill.	-	-	351	501	-	1	-	-	-	1											
Mich.	-	-	-	175	-	-	1	-	-	-											
Wis.	-	-	284	254	-	1	N	N	-	1											
W.N. CENTRAL	-	-	92	435	1	1	1	-	-	2											
Minn.	-	-	-	161	-	-	-	-	-	2											
Iowa	-	-	1	3	-	-	-	-	-	-											
Mo.	-	-	67	201	1	1	1	-	-	-											
N. Dak.	-	-	-	10	-	-	-	-	-	-											
S. Dak.	-	-	24	23	-	-	-	-	-	-											
Nebr.	-	-	-	16	-	-	-	-	-	-											
Kans.	-	-	-	21	-	-	-	-	-	-											
S. ATLANTIC	-	-	583	2,938	-	-	-	3	-	1											
Del.	-	-	52	55	-	-	-	-	-	-											
Md.	-	-	33	251	-	-	-	1	-	-											
D.C.	-	-	-	N	-	-	-	-	U	U											
Va.	-	-	176	128	-	-	-	-	-	-											
W. Va.	-	-	-	37	-	-	-	-	-	-											
N.C.	-	-	322	364	-	-	-	2	-	1											
S.C.	-	-	-	958	-	-	-	-	-	-											
Ga.	-	-	-	618	-	-	U	U	U	U											
Fla.	-	-	-	527	-	-	-	-	-	-											
E.S. CENTRAL	-	-	235	556	-	-	-	-	-	-											
Ky.	-	-	98	28	-	-	-	-	U	U											
Tenn.	-	-	-	92	-	-	-	-	-	-											
Ala.	-	-	137	256	-	-	-	-	-	-											
Miss.	-	-	-	180	-	-	-	-	-	-											
W.S. CENTRAL	-	-	156	1,544	-	-	-	-	-	1											
Ark.	-	-	-	54	-	-	-	-	-	1											
La.	-	-	-	381	-	-	-	-	-	-											
Okla.	-	-	156	140	-	-	-	-	-	-											
Tex.	-	-	-	969	-	-	-	-	-	-											
MOUNTAIN	-	-	152	584	-	-	-	2	-	3											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	23	-	-	-	-	-	-											
Wyo.	-	-	12	2	-	-	-	-	-	-											
Colo.	-	-	68	84	-	-	-	1	-	1											
N. Mex.	-	-	-	39	-	-	-	-	-	-											
Ariz.	-	-	-	298	-	-	-	-	-	-											
Utah	-	-	72	63	N	N	-	1	-	2											
Nev.	-	-	-	75	-	-	-	-	-	-											
PACIFIC	-	-	206	1,756	-	6	-	1	-	3											
Wash.	-	-	188	254	N	N	-	-	-	2											
Oreg.	-	-	-	72	-	1	-	1	-	1											
Calif.	-	-	-	1,354	-	5	-	-	-	-											
Alaska	-	-	18	25	-	-	-	-	-	-											
Hawaii	-	-	-	51	-	-	-	-	-	-											
Guam	-	-	-	14	-	-	N	N	U	U											
P.R.	-	-	-	U	-	-	-	-	U	U											
V.I.	-	-	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


