
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2001 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	386	430	3	16	73	77	656	760	-	2	7										
NEW ENGLAND	36	23	-	-	-	7	148	207	-	-	4										
Maine	-	2	-	-	-	-	-	7	-	-	-										
N.H.	4	2	-	-	-	5	11	29	-	-	1										
Vt.	2	1	-	-	-	-	16	41	-	-	-										
Mass.	20	13	-	-	-	-	117	127	-	-	3										
R.I.	-	1	-	-	-	-	-	2	-	-	-										
Conn.	10	4	-	-	-	2	4	1	-	-	-										
MID. ATLANTIC	34	33	-	-	4	9	21	54	-	-	2										
Upstate N.Y.	11	7	-	-	1	9	21	25	-	-	-										
N.Y. City	8	10	-	-	1	-	-	19	-	-	2										
N.J.	14	8	-	-	-	-	-	-	-	-	-										
Pa.	1	8	-	-	2	-	-	10	-	-	-										
E.N. CENTRAL	26	72	1	2	8	15	85	146	-	2	-										
Ohio	16	11	-	1	4	12	70	102	-	-	-										
Ind.	-	7	-	-	-	-	1	3	-	-	-										
Ill.	-	24	1	1	1	3	3	7	-	1	-										
Mich.	10	20	-	-	3	-	10	5	-	1	-										
Wis.	-	10	-	-	-	-	1	29	-	-	-										
W.N. CENTRAL	30	31	1	3	5	1	26	19	-	-	-										
Minn.	-	1	-	-	-	-	-	6	-	-	-										
Iowa	11	7	-	-	3	-	2	6	-	-	-										
Mo.	10	18	-	-	1	-	13	2	-	-	-										
N. Dak.	-	1	-	-	-	-	-	-	-	-	-										
S. Dak.	1	2	-	-	-	-	2	1	-	-	-										
Nebr.	3	1	-	-	1	-	-	-	-	-	-										
Kans.	5	1	1	3	-	1	9	4	-	-	-										
S. ATLANTIC	80	62	-	1	8	1	25	41	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	15	4	-	1	1	1	11	14	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	10	11	-	-	1	-	-	1	-	-	-										
W. Va.	-	1	-	-	-	-	-	-	-	-	-										
N.C.	20	11	-	-	2	-	10	15	-	-	-										
S.C.	5	6	-	-	3	-	4	9	-	-	-										
Ga.	9	11	-	-	-	-	-	-	-	-	-										
Fla.	21	18	-	-	1	-	-	2	-	-	-										
E.S. CENTRAL	31	21	-	-	1	6	22	25	-	-	-										
Ky.	4	4	-	-	-	3	4	18	-	-	-										
Tenn.	11	9	-	-	-	3	16	2	-	-	-										
Ala.	13	7	-	-	1	-	2	4	-	-	-										
Miss.	3	1	U	-	-	U	-	1	U	-	-										
W.S. CENTRAL	39	58	-	-	10	-	3	6	-	-	1										
Ark.	6	1	-	-	-	-	2	3	-	-	-										
La.	14	17	-	-	2	-	-	1	-	-	-										
Okla.	6	6	-	-	-	-	1	-	-	-	-										
Tex.	13	34	-	-	8	-	-	2	-	-	1										
MOUNTAIN	25	20	1	3	3	37	315	150	-	-	-										
Mont.	-	-	-	-	-	-	-	1	-	-	-										
Idaho	3	2	-	-	-	4	49	23	-	-	-										
Wyo.	-	-	-	1	-	-	-	-	-	-	-										
Colo.	11	5	-	-	-	5	91	91	-	-	-										
N. Mex.	4	3	1	2	N	2	10	20	-	-	-										
Ariz.	3	6	-	-	-	26	161	9	-	-	-										
Utah	2	3	-	-	-	-	4	4	-	-	-										
Nev.	2	1	-	-	2	-	-	2	-	-	-										
PACIFIC	85	110	-	7	34	1	11	112	-	-	-										
Wash.	13	5	-	-	-	1	8	13	-	-	-										
Oreg.	14	13	N	N	N	-	3	13	-	-	-										
Calif.	58	88	-	7	32	-	-	79	-	-	-										
Alaska	-	1	-	-	-	-	-	2	-	-	-										
Hawaii	-	3	-	-	2	-	-	5	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	2	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


