
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 18, 2012 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	141	246	355	1,137	1,058	-	3	15	11	8	1	29	138	51	35						
NEW ENGLAND	-	4	21	12	23	-	0	1	-	-	-	0	1	-	-						
Conn.	-	1	4	4	4	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	-	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	20	8	17	-	0	0	-	-	-	0	1	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	5	19	54	173	56	-	0	2	3	-	-	1	7	7	2						
N.J.	-	0	24	49	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	1	6	40	47	16	-	0	1	-	-	-	0	2	-	-						
N.Y. City	3	8	28	65	29	-	0	0	-	-	-	0	3	2	2						
Pa.	1	2	13	12	11	-	0	2	3	-	-	0	3	5	-						
E.N. CENTRAL	14	14	40	152	97	-	0	2	1	-	-	2	10	3	3						
Ill.	-	4	16	10	35	-	0	1	-	-	-	1	4	1	2						
Ind.	-	1	6	-	9	-	0	1	1	-	-	1	5	1	-						
Mich.	1	3	11	25	20	-	0	1	-	-	-	0	1	-	-						
Ohio	13	6	27	117	33	-	0	2	-	-	-	0	2	1	1						
Wis.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	5	5	18	46	64	-	0	4	-	-	-	4	24	3	5						
Iowa	-	0	3	2	4	-	0	0	-	-	-	0	2	-	1						
Kans.	2	1	6	26	13	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	2	3	14	15	45	-	0	2	-	-	-	4	22	3	4						
Nebr.	1	0	2	3	1	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	1	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	43	75	134	268	358	-	1	9	6	4	-	7	58	22	15						
Del.	-	0	2	-	-	-	0	1	-	-	-	0	4	2	-						
D.C.	-	0	5	1	5	-	0	1	-	-	-	0	1	-	-						
Fla.	27	50	98	153	210	-	0	1	-	1	-	0	2	4	-						
Ga.	8	13	26	69	68	-	1	8	6	1	-	0	0	-	-						
Md.	3	2	10	20	15	-	0	1	-	1	-	0	3	2	1						
N.C.	4	3	19	14	41	-	0	4	-	1	-	0	49	5	9						
S.C.	-	1	54	2	8	-	0	2	-	-	-	0	2	-	1						
Va.	1	2	7	9	11	-	0	1	-	-	-	3	14	9	4						
W. Va.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	26	19	51	185	64	-	0	2	-	-	1	4	25	7	5						
Ala.	1	6	21	47	29	-	0	1	-	-	-	1	8	2	3						
Ky.	21	5	22	93	5	-	0	1	-	-	-	0	2	-	-						
Miss.	-	4	24	27	11	-	0	0	-	-	-	0	2	-	1						
Tenn.	4	4	11	18	19	-	0	2	-	-	1	4	20	5	1						
W.S. CENTRAL	31	54	131	184	140	-	0	3	-	-	-	2	52	4	1						
Ark.	-	2	7	10	4	-	0	3	-	-	-	1	52	3	-						
La.	-	4	21	12	21	-	0	0	-	-	-	0	2	1	-						
Okla.	6	4	28	38	9	-	0	1	-	-	-	0	25	-	-						
Tex.	25	43	101	124	106	-	0	1	-	-	-	0	4	-	1						
MOUNTAIN	1	13	41	36	100	-	0	3	-	4	-	1	7	4	4						
Ariz.	1	6	27	25	39	-	0	3	-	4	-	0	6	1	4						
Colo.	-	1	8	2	15	-	0	0	-	-	-	0	1	-	-						
Idaho	-	0	3	1	4	-	0	0	-	-	-	0	2	2	-						
Mont.	-	1	15	3	7	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	4	1	6	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	2	6	3	23	-	0	0	-	-	-	0	0	-	-						
Utah	-	1	4	1	6	-	0	0	-	-	-	0	1	1	-						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	16	19	44	81	156	-	0	2	1	-	-	0	1	1	-						
Alaska	-	0	2	2	1	N	0	0	N	N	N	0	0	N	N						
Calif.	15	14	41	68	132	-	0	2	1	-	-	0	1	1	-						
Hawaii	-	1	3	1	12	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	7	7	-	0	0	-	-	-	0	0	-	-						
Wash.	1	1	9	3	4	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


