
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending July 7, 2007 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	32	46	254	1,398	1,506	3	8	35	245	236	88	196	310	4,898	4,639						
NEW ENGLAND	-	1	12	31	87	-	0	3	5	2	3	4	13	111	106						
Conn.	-	0	5	-	67	-	0	0	-	-	2	0	10	15	22						
Maine	-	0	2	7	5	-	0	2	1	1	-	0	1	2	7						
Mass.	-	0	0	-	-	-	0	0	-	-	-	2	8	69	62						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	2	12	6						
R.I.	-	0	4	13	6	-	0	1	2	-	-	0	5	12	7						
Vt.	-	0	2	11	9	-	0	1	2	1	-	0	1	1	2						
MID. ATLANTIC	-	3	9	84	92	-	0	5	21	12	19	26	44	815	584						
N.J.	-	0	0	-	-	-	0	0	-	-	-	3	8	84	86						
N.Y. (Upstate)	-	1	5	28	30	-	0	4	7	6	4	3	14	70	78						
N.Y. City	-	0	0	-	-	-	0	0	-	-	11	16	35	528	282						
Pa.	-	2	6	56	62	-	0	2	14	6	4	5	12	133	138						
E.N. CENTRAL	13	9	40	360	343	1	1	7	45	52	3	15	27	375	467						
Ill.	-	0	3	10	18	-	0	1	2	5	-	7	13	166	246						
