
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2009 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2009
Chlamydia† cummulative for 2008
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2009
Coccidioidomycosis cummulative for 2008
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2009
Cryptosporidiosis cummulative for 2008

tab delimited data:
test
UNITED STATES	8,115	21,476	25,221	8,115	13,869	103	122	322	103	308	20	100	431	20	85						
NEW ENGLAND	369	707	1,048	369	441	-	0	1	-	-	-	5	20	-	40						
Conn.	-	210	473	-	78	N	0	0	N	N	-	0	0	-	38						
Maine	56	51	72	56	43	N	0	0	N	N	-	0	6	-	-						
Mass.	225	329	623	225	244	N	0	0	N	N	-	1	9	-	1						
N.H.	32	42	64	32	17	-	0	1	-	-	-	1	4	-	1						
R.I.	29	55	208	29	53	-	0	0	-	-	-	0	3	-	-						
Vt.	27	15	52	27	6	N	0	0	N	N	-	1	7	-	-						
MID. ATLANTIC	315	2,763	5,097	315	1,593	-	0	0	-	-	1	12	34	1	7						
N.J.	-	442	576	-	298	N	0	0	N	N	-	0	2	-	1						
N.Y. (Upstate)	145	532	1,355	145	5	N	0	0	N	N	1	4	17	1	-						
N.Y. City	-	1,011	3,412	-	578	N	0	0	N	N	-	2	6	-	2						
Pa.	170	814	1,088	170	712	N	0	0	N	N	-	5	15	-	4						
E.N. CENTRAL	975	3,528	4,285	975	3,008	-	1	3	-	1	4	25	126	4	18						
Ill.	37	1,084	1,394	37	749	N	0	0	N	N	-	2	13	-	2						
Ind.	313	377	713	313	463	N	0	0	N	N	-	3	12	-	-						
Mich.	585	841	1,226	585	494	-	0	3	-	-	-	5	13	-	6						
Ohio	-	805	1,261	-	930	-	0	2	-	1	4	6	59	4	7						
Wis.	40	320	615	40	372	N	0	0	N	N	-	9	46	-	3						
W.N. CENTRAL	165	1,268	1,696	165	806	-	0	2	-	-	3	16	68	3	3						
Iowa	-	174	240	-	71	N	0	0	N	N	-	4	30	-	3						
Kans.	107	179	529	107	110	N	0	0	N	N	-	1	8	-	-						
Minn.	-	266	373	-	195	-	0	0	-	-	-	4	15	-	-						
Mo.	-	490	566	-	272	-	0	2	-	-	2	3	13	2	-						
Nebr.	-	80	244	-	70	N	0	0	N	N	1	2	8	1	-						
N. Dak.	3	34	58	3	52	N	0	0	N	N	-	0	2	-	-						
S. Dak.	55	55	85	55	36	N	0	0	N	N	-	1	9	-	-						
S. ATLANTIC	2,919	3,645	6,324	2,919	1,889	-	0	1	-	-	11	17	46	11	9						
Del.	48	69	150	48	36	-	0	1	-	-	-	0	2	-	-						
D.C.	99	127	207	99	81	-	0	0	-	-	-	0	2	-	-						
Fla.	1,135	1,368	1,571	1,135	824	N	0	0	N	N	7	7	35	7	5						
Ga.	4	458	1,307	4	159	N	0	0	N	N	4	4	13	4	1						
Md.	367	439	692	367	179	-	0	1	-	-	-	1	4	-	-						
N.C.	-	0	1,208	-	-	N	0	0	N	N	-	0	16	-	-						
S.C.	840	478	3,043	840	260	N	0	0	N	N	-	1	4	-	1						
Va.	420	621	1,059	420	314	N	0	0	N	N	-	1	4	-	-						
W. Va.	6	60	102	6	36	N	0	0	N	N	-	0	3	-	2						
E.S. CENTRAL	954	1,567	2,302	954	1,026	-	0	0	-	-	-	3	9	-	1						
Ala.	-	456	561	-	363	N	0	0	N	N	-	1	6	-	1						
Ky.	374	240	373	374	155	N	0	0	N	N	-	0	4	-	-						
Miss.	-	390	1,048	-	187	N	0	0	N	N	-	0	2	-	-						
Tenn.	580	534	792	580	321	N	0	0	N	N	-	1	6	-	-						
