
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2001 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	124	210	2	7	22	72	171	339	-	-	-										
NEW ENGLAND	15	8	-	-	-	1	50	88	-	-	-										
Maine	-	1	-	-	-	-	-	-	-	-	-										
N.H.	2	-	-	-	-	-	-	8	-	-	-										
Vt.	-	1	-	-	-	-	11	22	-	-	-										
Mass.	8	4	-	-	-	1	39	58	-	-	-										
R.I.	-	1	-	-	-	-	-	-	-	-	-										
Conn.	5	1	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	6	13	-	-	1	7	9	19	-	-	-										
Upstate N.Y.	3	2	-	-	-	7	9	10	-	-	-										
N.Y. City	3	5	-	-	1	-	-	9	-	-	-										
N.J.	-	2	-	-	-	-	-	-	-	-	-										
Pa.	-	4	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	10	42	-	-	5	6	27	87	-	-	-										
Ohio	8	6	-	-	3	5	24	72	-	-	-										
Ind.	-	4	-	-	-	-	-	-	-	-	-										
Ill.	-	14	-	-	-	-	-	2	-	-	-										
Mich.	2	10	-	-	2	1	2	4	-	-	-										
Wis.	-	8	-	-	-	-	1	9	-	-	-										
W.N. CENTRAL	8	15	-	-	2	1	11	7	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	3	3	-	-	1	-	2	3	-	-	-										
Mo.	4	10	-	-	-	-	5	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	1	-	-	-	1	1	1	-	-	-										
Nebr.	1	-	-	-	1	-	-	-	-	-	-										
Kans.	-	1	-	-	-	-	3	2	-	-	-										
S. ATLANTIC	30	23	1	1	2	-	8	18	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	5	3	1	1	1	-	5	5	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	3	5	-	-	-	-	-	1	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	10	7	-	-	-	-	1	4	-	-	-										
S.C.	2	4	-	-	1	-	2	8	-	-	-										
Ga.	2	-	-	-	-	-	-	-	-	-	-										
Fla.	8	4	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	5	7	-	-	-	2	5	17	-	-	-										
Ky.	-	2	-	-	-	-	-	13	-	-	-										
Tenn.	-	2	-	-	-	2	4	1	-	-	-										
Ala.	5	2	-	-	-	-	1	2	-	-	-										
Miss.	-	1	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	8	25	-	-	4	1	1	1	-	-	-										
Ark.	1	1	-	-	-	1	1	1	-	-	-										
La.	2	13	-	-	-	-	-	-	-	-	-										
Okla.	5	-	-	-	-	-	-	-	-	-	-										
Tex.	-	11	-	-	4	-	-	-	-	-	-										
MOUNTAIN	8	8	1	1	-	51	56	60	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	3	1	-	-	-	-	4	1	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	1	-	-	-	-	-	45	-	-	-										
N. Mex.	3	1	1	1	N	1	1	10	-	-	-										
Ariz.	1	4	-	-	-	50	51	1	-	-	-										
Utah	1	1	-	-	-	-	-	2	-	-	-										
Nev.	-	-	-	-	-	-	-	1	-	-	-										
PACIFIC	34	69	-	5	8	3	4	42	-	-	-										
Wash.	1	4	-	-	-	1	1	1	-	-	-										
Oreg.	8	12	N	N	N	2	3	4	-	-	-										
Calif.	25	51	-	5	8	-	-	33	-	-	-										
Alaska	-	-	-	-	-	-	-	2	-	-	-										
Hawaii	-	2	-	-	-	-	-	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	2	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


