
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 8, 2008 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	44	96	259	4,525	4,534	32	35	166	1,353	1,516											
NEW ENGLAND	-	6	31	315	346	1	1	14	60	112											
Conn.	-	0	26	95	107	-	0	11	-	13											
Maine	-	0	3	26	24	1	0	1	2	2											
Mass.	-	3	8	138	165	-	0	5	39	76											
N.H.	-	0	2	26	26	-	0	1	11	11											
R.I.	-	0	9	18	8	-	0	2	7	8											
Vt.	-	0	2	12	16	-	0	1	1	2											
MID. ATLANTIC	6	18	43	885	836	2	3	19	158	270											
N.J.	-	3	11	133	154	-	1	6	30	52											
N.Y. (Upstate)	1	6	17	290	256	2	2	14	87	89											
N.Y. City	-	4	10	163	200	-	1	8	41	129											
Pa.	5	6	16	299	226	N	0	0	N	N											
E.N. CENTRAL	2	19	42	832	856	4	6	23	231	260											
Ill.	-	5	16	219	258	-	1	6	48	68											
Ind.	1	2	11	119	103	-	0	14	34	17											
Mich.	-	3	10	155	181	1	1	5	62	64											
Ohio	1	5	14	237	200	3	1	5	54	55											
Wis.	-	2	10	102	114	-	1	3	33	56											
W.N. CENTRAL	-	5	39	339	297	1	2	16	122	86											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	34	29	-	0	3	16	1											
Minn.	-	0	35	154	144	-	0	13	53	47											
Mo.	-	2	10	80	75	-	1	2	30	24											
Nebr.	-	1	3	39	23	1	0	3	8	13											
N. Dak.	-	0	5	12	15	-	0	2	8	1											
S. Dak.	-	0	2	20	11	-	0	1	7	-											
S. ATLANTIC	9	22	37	972	1,104	5	7	16	258	273											
Del.	-	0	2	7	10	-	0	0	-	-											
D.C.	-	0	4	26	17	-	0	1	2	2											
Fla.	6	5	11	232	276	3	1	4	57	58											
Ga.	-	4	14	211	216	-	1	5	61	65											
Md.	1	4	8	161	185	-	1	5	48	57											
N.C.	-	3	10	125	149	N	0	0	N	N											
S.C.	-	1	5	61	90	2	1	4	45	47											
Va.	2	3	12	117	137	-	1	6	38	37											
W. Va.	-	0	3	32	24	-	0	1	7	7											
E.S. CENTRAL	4	4	9	154	193	4	2	11	84	85											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	36	37	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	18	5											
Tenn.	3	3	6	118	156	4	1	9	66	80											
W.S. CENTRAL	17	9	85	410	272	13	5	66	235	212											
Ark.	-	0	2	5	17	-	0	2	6	13											
La.	-	0	2	15	15	-	0	2	10	33											
Okla.	2	2	19	100	62	-	1	7	58	47											
Tex.	15	6	65	290	178	13	3	58	161	119											
MOUNTAIN	4	10	22	475	501	2	4	12	191	205											
Ariz.	2	4	9	182	191	2	2	8	97	99											
Colo.	-	2	8	126	124	-	1	4	53	40											
Idaho	2	0	2	15	16	-	0	1	5	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	1	10	2	N	0	0	N	N											
N. Mex.	-	2	8	88	88	-	0	3	16	36											
Utah	-	1	5	48	75	-	0	3	15	27											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	2	3	10	143	129	-	0	2	14	13											
Alaska	2	1	4	37	24	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	106	105	-	0	2	14	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


