
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 15, 2000 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	733	837	9	111	116	60	1,105	1,697	4	16	20										
NEW ENGLAND	43	45	-	2	3	5	296	153	-	5	4										
Maine	3	3	-	-	-	-	9	-	-	-	-										
N.H.	3	5	-	-	1	1	49	19	-	1	-										
Vt.	2	3	-	-	-	2	63	9	-	-	-										
Mass.	27	27	-	-	2	1	156	118	-	3	4										
R.I.	1	2	-	1	-	-	7	2	-	-	-										
Conn.	7	5	-	1	-	1	12	5	-	1	-										
MID. ATLANTIC	66	84	-	7	15	2	103	367	-	2	1										
Upstate N.Y.	14	20	-	5	2	2	66	316	-	2	1										
N.Y. City	16	28	-	-	3	-	-	10	-	-	-										
N.J.	16	14	-	-	-	-	-	8	-	-	-										
Pa.	20	22	-	2	10	-	37	33	-	-	-										
E.N. CENTRAL	124	141	2	14	16	23	172	157	-	-	-										
Ohio	25	51	2	6	6	23	131	89	-	-	-										
Ind.	19	13	-	-	-	-	9	8	-	-	-										
Ill.	34	46	-	3	4	-	13	25	-	-	-										
Mich.	34	16	-	5	6	-	9	17	-	-	-										
Wis.	12	15	-	-	-	-	10	18	-	-	-										
W.N. CENTRAL	56	113	1	9	3	2	40	49	-	2	5										
Minn.	3	25	-	-	-	-	16	-	-	-	-										
Iowa	12	20	-	3	2	-	9	11	-	-	-										
Mo.	34	39	-	1	1	2	6	10	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	7	U	2	-	U	2	1	U	-	5										
Kans.	1	17	1	3	-	-	5	25	-	2	-										
S. ATLANTIC	117	116	1	14	17	9	87	79	3	6	2										
Del.	-	2	-	-	-	-	1	-	-	-	-										
Md.	11	22	-	4	4	4	25	31	-	-	1										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	19	16	1	3	2	5	10	7	-	-	-										
W. Va.	3	1	-	-	-	-	-	1	-	-	-										
N.C.	23	16	-	2	4	-	28	22	-	-	1										
S.C.	6	18	-	5	2	-	14	6	3	6	-										
Ga.	22	21	-	-	-	-	9	6	-	-	-										
Fla.	33	19	-	-	4	-	-	6	-	-	-										
E.S. CENTRAL	53	68	-	1	3	1	26	41	1	1	-										
Ky.	12	12	-	-	-	-	15	12	1	1	-										
Tenn.	23	23	-	-	-	1	2	21	-	-	-										
Ala.	15	21	-	1	1	-	8	6	-	-	-										
Miss.	3	12	-	-	2	-	1	2	-	-	-										
W.S. CENTRAL	49	64	-	1	15	-	5	42	-	-	5										
Ark.	5	14	-	1	-	-	5	4	-	-	-										
La.	13	33	-	-	2	-	-	2	-	-	-										
Okla.	16	14	-	-	1	-	-	3	-	-	-										
Tex.	15	3	-	-	12	-	-	33	-	-	5										
MOUNTAIN	48	64	-	7	7	15	235	225	-	-	2										
Mont.	1	-	-	1	-	-	1	1	-	-	-										
Idaho	6	8	-	-	-	3	35	84	-	-	-										
Wyo.	-	2	-	-	-	-	-	2	-	-	-										
Colo.	10	18	-	1	2	10	128	56	-	-	-										
N. Mex.	7	7	-	1	N	2	47	13	-	-	-										
Ariz.	16	20	-	-	-	-	17	42	-	-	1										
Utah	6	4	-	2	4	-	4	25	-	-	1										
Nev.	2	5	-	2	1	-	3	2	-	-	-										
PACIFIC	177	142	5	56	37	3	141	584	-	-	1										
Wash.	14	19	-	2	-	2	46	269	-	-	-										
Oreg.	22	30	N	N	N	1	24	8	-	-	-										
Calif.	138	85	3	51	31	-	62	289	-	-	1										
Alaska	1	4	2	2	1	-	5	2	-	-	-										
Hawaii	2	4	-	1	5	-	4	16	-	-	-										
Guam	-	-	U	-	1	U	-	1	U	-	-										
P.R.	1	7	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


