
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 9, 2002 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	2	2,074	53,401	65,033	304	309	1	4												
NEW ENGLAND	-	-	198	1,229	1,146	26	9	-	1												
Maine	-	-	30	13	28	1	-	-	-												
N.H.	-	-	11	20	23	4	-	-	-												
Vt.	-	-	18	21	18	2	-	-	-												
Mass.	-	-	67	692	471	13	9	-	1												
R.I.	-	-	18	174	149	-	-	-	-												
Conn.	-	-	54	309	457	6	-	-	-												
MID. ATLANTIC	-	-	424	4,722	6,564	50	49	-	-												
Upstate N.Y.	-	-	147	1,047	1,274	27	8	-	-												
N.Y. City	-	-	186	2,151	2,241	16	15	-	-												
N.J.	-	-	-	382	919	4	20	-	-												
Pa.	-	-	91	1,142	2,130	3	6	-	-												
E.N. CENTRAL	1	1	441	9,422	13,679	35	49	-	-												
Ohio	1	1	167	1,730	3,952	24	18	-	-												
Ind.	-	-	-	1,214	1,257	6	5	-	-												
Ill.	-	-	72	2,994	4,203	-	17	-	-												
Mich.	-	-	145	2,998	3,083	2	3	-	-												
Wis.	-	-	57	486	1,184	3	6	-	-												
W.N. CENTRAL	-	-	208	2,422	3,152	9	4	-	-												
Minn.	-	-	68	466	545	6	-	-	-												
Iowa	-	-	45	134	185	1	-	-	-												
Mo.	-	-	62	1,336	1,533	2	4	-	-												
N. Dak.	-	-	-	-	8	-	-	-	-												
S. Dak.	-	-	10	50	40	-	-	-	-												
Nebr.	-	-	-	-	270	-	-	-	-												
Kans.	-	-	23	436	571	-	-	-	-												
S. ATLANTIC	-	-	354	14,248	17,196	83	103	-	1												
Del.	-	-	10	298	314	-	-	-	-												
Md.	-	-	19	1,465	1,651	16	27	-	-												
D.C.	-	-	11	524	582	-	-	-	-												
Va.	-	-	16	1,735	1,844	4	8	-	-												
W. Va.	-	-	3	179	87	1	3	-	1												
N.C.	-	-	-	2,768	3,180	10	16	-	-												
S.C.	-	-	3	1,508	3,114	2	1	-	-												
Ga.	-	-	115	2,616	3,167	29	25	-	-												
Fla.	-	-	177	3,155	3,257	21	23	-	-												
E.S. CENTRAL	-	1	49	5,524	6,173	12	15	1	-												
Ky.	-	1	-	611	679	1	-	-	-												
Tenn.	-	-	19	1,776	2,041	6	8	-	-												
Ala.	-	-	30	2,060	2,005	5	6	1	-												
Miss.	-	-	-	1,077	1,448	-	1	-	-												
W.S. CENTRAL	-	-	12	9,139	10,268	15	7	-	-												
Ark.	-	-	12	771	1,095	1	-	-	-												
La.	-	-	-	2,294	2,353	-	1	-	-												
Okla.	-	-	-	718	936	14	6	-	-												
Tex.	-	-	-	5,356	5,884	-	-	-	-												
MOUNTAIN	-	-	214	1,960	1,922	43	52	-	1												
Mont.	-	-	9	26	15	-	-	-	-												
Idaho	-	-	5	18	18	1	1	-	-												
Wyo.	-	-	1	14	13	1	-	-	-												
Colo.	-	-	73	669	688	10	9	-	-												
N. Mex.	-	-	23	210	209	9	9	-	-												
Ariz.	-	-	42	612	610	17	32	-	1												
Utah	-	-	33	86	18	3	-	-	-												
Nev.	-	-	28	325	351	2	1	-	-												
PACIFIC	-	-	174	4,735	4,933	31	21	-	1												
Wash.	-	-	38	592	548	-	-	-	-												
Oreg.	-	-	93	178	201	22	-	-	-												
Calif.	-	-	-	3,755	4,000	-	15	-	1												
Alaska	-	-	17	120	52	1	1	-	-												
Hawaii	-	-	26	90	132	8	5	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	225	-	-	-	-												
V.I.	-	-	-	-	5	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	3	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


