
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2007 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	104	792	2,813	23,581	30,417	-	0	178	3	122	-	1	417	3	158						
NEW ENGLAND	9	21	124	435	3,048	-	0	3	-	-	-	0	2	-	1						
Conn.	-	1	76	1	1,067	-	0	3	-	-	-	0	1	-	1						
Maine	-	0	7	-	167	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	16	-	1,105	-	0	1	-	-	-	0	1	-	-						
N.H.	-	7	17	169	230	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	9	9	66	265	479	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	31	109	195	2,944	3,179	-	0	11	-	2	-	0	4	-	1						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	31	109	195	2,944	3,179	-	0	2	-	2	-	0	0	-	1						
E.N. CENTRAL	11	227	568	6,723	10,129	-	0	42	-	4	-	0	33	-	4						
Ill.	-	2	11	87	82	-	0	24	-	2	-	0	22	-	-						
Ind.	-	0	0	-	-	-	0	5	-	1	-	0	12	-	1						
Mich.	-	93	258	2,719	3,001	-	0	10	-	-	-	0	4	-	1						
Ohio	11	107	449	3,242	6,309	-	0	11	-	-	-	0	3	-	-						
Wis.	-	17	72	675	737	-	0	2	-	1	-	0	2	-	2						
W.N. CENTRAL	6	32	136	1,189	1,218	-	0	37	-	23	-	0	78	2	35						
Iowa	N	0	0	N	N	-	0	3	-	2	-	0	4	1	4						
Kans.	2	9	52	426	234	-	0	3	-	4	-	0	3	-	1						
Minn.	-	0	0	-	-	-	0	7	-	5	-	0	7	-	6						
Mo.	4	16	78	619	927	-	0	14	-	4	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	4	-	0	38	-	12						
N. Dak.	-	0	60	84	25	-	0	5	-	-	-	0	28	-	7						
S. Dak.	-	2	15	60	32	-	0	7	-	4	-	0	22	1	5						
S. ATLANTIC	21	96	239	3,152	2,886	-	0	2	-	1	-	0	7	-	-						
Del.	-	1	6	22	44	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	8	14	21	-	0	0	-	-	-	0	1	-	-						
Fla.	15	16	85	783	N	-	0	1	-	1	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	1	18	72	668	784	-	0	1	-	-	-	0	0	-	-						
Va.	1	28	190	961	1,037	-	0	0	-	-	-	0	2	-	-						
W. Va.	4	23	50	704	1,000	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	3	2	571	322	25	-	0	15	3	16	-	0	17	1	5						
Ala.	3	2	571	320	25	-	0	2	-	2	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Miss.	-	0	2	2	-	-	0	10	3	14	-	0	16	1	5						
Tenn.	N	0	0	N	N	-	0	5	-	-	-	0	2	-	-						
W.S. CENTRAL	19	190	1,640	7,009	8,116	-	0	59	-	53	-	0	27	-	24						
Ark.	15	10	105	304	578	-	0	5	-	4	-	0	2	-	1						
La.	-	1	11	68	177	-	0	13	-	9	-	0	10	-	9						
Okla.	-	0	0	-	-	-	0	6	-	1	-	0	4	-	2						
Tex.	4	168	1,534	6,637	7,361	-	0	39	-	39	-	0	16	-	12						
MOUNTAIN	3	56	133	1,782	1,816	-	0	63	-	17	-	0	245	-	64						
Ariz.	-	0	0	-	-	-	0	10	-	1	-	0	14	-	3						
Colo.	3	22	62	688	945	-	0	11	-	2	-	0	51	-	11						
Idaho	N	0	0	N	N	-	0	32	-	10	-	0	174	-	37						
Mont.	-	4	40	271	N	-	0	3	-	-	-	0	8	-	-						
Nev.	-	0	1	1	9	-	0	9	-	3	-	0	17	-	11						
N. Mex.	-	5	39	272	297	-	0	1	-	-	-	0	1	-	-						
Utah	-	15	73	532	534	-	0	8	-	1	-	0	17	-	1						
Wyo.	-	0	11	18	31	-	0	7	-	-	-	0	10	-	1						
PACIFIC	1	0	9	25	-	-	0	15	-	6	-	0	51	-	24						
Alaska	1	0	9	25	N	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	N	-	0	15	-	6	-	0	37	-	21						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	2	-	-	-	0	14	-	3						
Wash.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	5	14	-	151	-	0	0	-	-	-	0	0	-	-						
P.R.	4	12	27	374	327	-	0	0	-	-	-	0	0	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


