
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 15, 2008 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	37	165	588	1,011	2,001	34	103	198	524	884	2	34	147	39	95						
NEW ENGLAND	-	21	45	25	342	7	10	22	50	93	-	0	1	-	1						
Conn.	-	0	5	-	17	5	4	10	30	38	-	0	0	-	-						
Maine	-	1	5	14	25	-	1	5	3	20	-	0	1	-	-						
Mass.	-	17	33	-	268	-	0	0	-	N	-	0	1	-	1						
N.H.	-	1	5	2	15	-	1	4	6	8	-	0	1	-	-						
R.I.	-	0	8	5	2	-	1	4	5	6	-	0	0	-	-						
Vt.	-	0	6	4	15	2	2	13	6	21	-	0	0	-	-						
MID. ATLANTIC	4	22	36	155	357	9	25	56	65	214	1	1	7	3	10						
N.J.	-	3	7	1	55	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	1	8	24	50	181	9	9	20	60	67	-	0	1	-	-						
N.Y. City	-	2	7	15	37	-	1	5	5	16	-	0	3	1	4						
Pa.	3	7	22	89	84	-	13	44	-	131	1	0	3	2	5						
E.N. CENTRAL	1	24	184	383	384	-	4	49	1	4	-	1	4	1	3						
Ill.	-	2	8	10	57	-	1	15	-	1	-	0	3	-	1						
Ind.	-	0	9	3	2	-	0	1	-	-	-	0	2	-	-						
Mich.	1	4	16	28	85	-	1	28	-	2	-	0	1	-	1						
Ohio	-	12	176	342	180	-	1	11	1	1	-	0	2	1	1						
Wis.	-	0	24	-	60	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	-	12	108	89	124	-	4	13	14	25	-	5	37	9	11						
Iowa	-	2	8	12	43	-	0	3	1	2	-	0	4	-	1						
Kans.	-	2	5	2	46	-	1	7	-	16	-	0	2	-	3						
Minn.	-	0	106	-	-	-	0	6	9	3	-	0	4	-	-						
Mo.	-	2	16	61	14	-	0	3	-	1	-	5	29	9	7						
Nebr.	-	1	12	12	5	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	3	-	0	0	-	-						
S. Dak.	-	0	7	2	15	-	0	2	2	-	-	0	1	-	-						
S. ATLANTIC	8	15	48	102	224	12	40	63	335	466	1	14	111	21	47						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	2	-	4						
D.C.	-	0	0	-	2	-	0	0	-	-	-	0	1	-	-						
Fla.	3	3	9	28	71	-	0	6	25	124	-	0	3	1	3						
Ga.	-	0	3	1	13	-	5	31	70	40	-	0	6	3	3						
Md.	3	2	6	15	36	-	9	18	58	69	-	1	5	4	9						
N.C.	-	4	34	35	54	12	9	19	78	78	-	5	96	11	18						
S.C.	2	1	22	12	16	-	0	11	-	26	-	0	7	-	4						
Va.	-	2	11	10	28	-	12	31	91	113	1	2	11	2	6						
W. Va.	-	0	12	-	3	-	0	11	13	16	-	0	3	-	-						
E.S. CENTRAL	-	6	35	39	64	-	3	7	13	26	-	5	16	3	19						
Ala.	-	1	6	10	19	-	0	0	-	-	-	1	10	2	9						
Ky.	-	0	4	6	3	-	0	3	2	6	-	0	2	-	-						
Miss.	-	3	32	16	11	-	0	1	-	-	-	0	3	-	1						
Tenn.	-	1	5	7	31	-	2	6	11	20	-	2	10	1	9						
W.S. CENTRAL	-	20	112	40	79	2	1	23	9	14	-	1	30	1	2						
Ark.	-	2	17	7	6	2	1	3	9	5	-	0	15	-	-						
La.	-	0	2	-	4	-	0	0	-	-	-	0	1	-	1						
Okla.	-	0	26	1	-	-	0	22	-	9	-	0	20	-	-						
Tex.	-	16	102	32	69	-	0	0	-	-	-	1	6	1	1						
MOUNTAIN	3	19	40	103	295	-	4	19	21	11	-	0	4	1	1						
Ariz.	-	2	10	10	88	-	2	13	14	10	-	0	1	-	-						
Colo.	2	5	14	19	81	-	0	0	-	-	-	0	2	-	-						
Idaho	1	0	4	4	9	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	11	26	9	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	7	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	1	12	-	0	2	6	-	-	0	1	1	-						
Utah	-	6	27	41	78	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	-	11	-	0	4	1	-	-	0	2	-	-						
PACIFIC	21	16	230	75	132	4	4	10	16	31	-	0	2	-	1						
Alaska	-	1	6	17	9	1	0	3	5	19	N	0	0	N	N						
Calif.	-	7	29	-	74	3	3	8	11	12	-	0	2	-	1						
Hawaii	-	0	2	1	8	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	14	9	14	-	0	3	-	-	-	0	1	-	-						
Wash.	21	3	207	48	27	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	0	5	4	15	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


