
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending December 1, 2007 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	97	170	1,479	8,051	13,158	37	100	187	5,071	5,227	21	32	211	1,920	2,013						
NEW ENGLAND	2	27	77	1,187	1,735	5	11	22	536	458	-	0	10	5	12						
Conn.	-	1	5	59	118	2	4	10	210	198	-	0	0	-	-						
Maine	-	1	13	74	143	1	2	5	80	121	-	0	1	1	N						
Mass.	-	22	39	928	1,099	-	0	0	-	N	-	0	1	4	10						
N.H.	-	1	6	52	213	1	1	4	52	45	-	0	0	-	1						
R.I.	1	0	31	25	58	-	0	4	37	30	-	0	9	-	1						
Vt.	1	0	9	49	104	1	3	13	157	64	-	0	0	-	-						
MID. ATLANTIC	19	23	155	1,101	1,737	6	25	56	1,333	507	-	1	6	63	85						
N.J.	-	3	11	139	284	N	0	0	N	N	-	0	2	9	38						
N.Y. (Upstate)	3	10	146	512	790	6	10	20	494	N	-	0	1	3	-						
N.Y. City	-	2	6	112	104	-	1	5	42	38	-	0	3	26	23						
Pa.	16	7	15	338	559	-	15	44	797	469	-	0	3	25	24						
E.N. CENTRAL	4	28	79	1,245	2,128	1	3	48	381	161	-	1	4	42	64						
Ill.	-	3	19	134	547	-	1	15	113	46	-	0	3	25	26						
Ind.	-	0	45	52	215	-	0	1	12	11	-	0	2	4	6						
Mich.	1	5	17	263	588	-	1	27	179	46	-	0	1	3	5						
Ohio	3	12	54	597	566	1	0	11	77	58	-	0	2	10	26						
