
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 4, 2012 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	16	11	66	562	539	18	25	85	431	1,740	2	2	8	72	98						
NEW ENGLAND	-	0	2	14	3	4	6	19	172	313	-	0	1	1	1						
Conn.	-	0	0	-	-	-	2	7	52	110	-	0	0	-	-						
Maine	-	0	1	2	1	4	1	4	35	11	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	7	-	141	-	0	0	-	-						
N.H.	-	0	0	-	1	-	1	5	30	11	-	0	0	-	1						
R.I.	-	0	2	12	1	-	0	15	47	37	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	8	3	-	0	0	-	-						
MID. ATLANTIC	2	1	6	24	69	11	8	44	182	192	-	0	2	5	14						
N.J.	-	0	2	-	42	-	0	8	-	63	-	0	1	-	6						
N.Y. (Upstate)	2	0	4	16	24	11	6	41	166	103	-	0	2	5	3						
N.Y. City	-	0	3	8	3	-	0	4	16	23	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	3	-	0	1	-	5						
E.N. CENTRAL	-	0	4	18	34	-	1	22	7	536	2	1	5	35	41						
Ill.	-	0	4	15	20	-	0	1	6	7	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	5	32	14						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	3	5	-	0	1	1	3	1	0	0	1	1						
Wis.	-	0	1	-	5	-	0	21	-	526	-	0	2	-	25						
W.N. CENTRAL	6	2	32	209	142	1	2	35	20	648	-	0	4	15	22						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	3	17	13	-	0	1	2	3	-	0	0	-	1						
Minn.	-	0	1	-	6	-	0	35	-	626	-	0	1	-	9						
Mo.	6	2	32	192	122	-	0	4	16	15	-	0	4	14	12						
Nebr.	-	0	1	-	-	1	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	6	4	28	177	165	2	1	7	32	34	-	0	2	7	7						
Del.	-	0	2	12	14	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	14	13	-	0	2	2	4	-	0	0	-	-						
Ga.	-	0	2	7	17	-	0	1	2	8	-	0	1	1	3						
