
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2000 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2000
Malaria cummulative for 1999
Rabies, Animal cummulative for 2000
Rabies, Animal cummulative for 1999
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, NETSS cummulative for 1999
Salmonellosis, PHLIS cummulative for 2000
Salmonellosis, PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	3	19	30	60	91	301	5	558													
NEW ENGLAND	-	1	1	15	-	27	-	33													
Maine	-	-	-	1	-	4	-	2													
N.H.	-	-	-	-	-	-	-	1													
Vt.	-	-	1	2	-	2	-	2													
Mass.	-	1	-	5	-	20	-	15													
R.I.	-	-	-	4	-	-	-	4													
Conn.	-	-	-	3	-	1	-	9													
MID. ATLANTIC	-	4	11	8	-	37	-	69													
Upstate N.Y.	-	1	10	-	-	1	-	25													
N.Y. City	-	2	U	U	-	19	-	30													
N.J.	-	1	1	6	-	7	-	14													
Pa.	-	-	-	2	-	10	-	-													
E.N. CENTRAL	1	1	-	-	27	75	3	77													
Ohio	1	-	-	-	20	15	-	16													
Ind.	-	-	-	-	-	-	-	3													
Ill.	-	1	-	-	-	31	-	27													
Mich.	-	-	-	-	7	19	3	22													
Wis.	-	-	-	-	-	10	-	9													
W.N. CENTRAL	-	-	2	11	7	9	1	31													
Minn.	-	-	2	1	-	2	-	11													
Iowa	-	-	-	-	-	-	-	2													
Mo.	-	-	-	-	6	3	1	10													
N. Dak.	-	-	-	-	-	-	-	1													
S. Dak.	-	-	-	8	-	1	-	2													
Nebr.	-	-	-	-	1	3	-	2													
Kans.	-	-	-	2	-	-	-	3													
S. ATLANTIC	2	4	14	17	25	34	1	106													
Del.	-	-	-	1	1	3	-	2													
Md.	2	2	4	6	7	11	-	10													
D.C.	-	2	-	-	-	1	U	U													
Va.	-	-	4	1	-	-	-	17													
W. Va.	-	-	-	-	-	-	1	-													
N.C.	-	-	6	5	17	16	-	28													
S.C.	-	-	-	-	-	-	-	11													
Ga.	-	-	-	-	-	1	-	29													
Fla.	-	-	-	4	-	2	-	9													
E.S. CENTRAL	-	-	-	-	14	11	-	22													
Ky.	-	-	-	-	4	6	U	U													
Tenn.	-	-	-	-	-	1	-	17													
Ala.	-	-	-	-	6	4	-	5													
Miss.	-	-	-	-	4	-	-	-													
W.S. CENTRAL	-	-	-	-	-	5	-	54													
Ark.	-	-	-	-	-	1	-	5													
La.	-	-	-	-	-	-	-	12													
Okla.	-	-	-	-	-	-	-	1													
Tex.	-	-	-	-	-	4	-	36													
MOUNTAIN	-	1	2	3	18	17	-	42													
Mont.	-	-	1	-	-	1	-	-													
Idaho	-	-	-	-	1	-	-	2													
Wyo.	-	-	1	1	1	-	-	1													
Colo.	-	-	-	-	-	7	-	7													
N. Mex.	-	-	-	-	2	1	-	7													
Ariz.	-	1	-	2	-	-	-	19													
Utah	-	-	-	-	14	2	-	3													
Nev.	-	-	-	-	-	6	-	3													
PACIFIC	-	8	-	6	-	86	-	124													
Wash.	-	-	-	-	-	-	-	9													
Oreg.	-	-	-	-	-	4	-	11													
Calif.	-	8	-	6	-	69	-	90													
Alaska	-	-	-	-	-	1	-	2													
Hawaii	-	-	-	-	-	12	-	12													
Guam	-	-	-	-	-	2	U	U													
P.R.	-	-	-	1	-	2	U	U													
V.I.	-	U	-	U	-	U	U	U													
Amer. Samoa	-	U	-	U	-	U	U	U													
C.N.M.I.	-	U	-	U	-	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


