
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 16, 2002 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	56	17	-	3	-	-	4,372	5,052													
NEW ENGLAND	-	-	-	-	-	-	249	317													
Maine	-	-	-	-	-	-	41	13													
N.H.	-	-	-	-	-	-	9	21													
Vt.	-	-	-	-	-	-	11	16													
Mass.	-	-	-	-	-	-	134	210													
R.I.	-	-	-	-	-	-	5	11													
Conn.	-	-	-	-	-	-	49	46													
MID. ATLANTIC	4	1	-	2	-	-	367	793													
Upstate N.Y.	-	-	-	1	-	-	33	124													
N.Y. City	-	-	-	1	-	-	176	186													
N.J.	-	-	-	-	-	-	49	289													
Pa.	4	1	-	-	-	-	109	194													
E.N. CENTRAL	3	2	-	1	-	-	757	661													
Ohio	3	-	-	-	-	-	273	186													
Ind.	-	1	-	-	-	-	48	42													
Ill.	-	1	-	1	-	-	237	207													
Mich.	-	-	-	-	-	-	135	120													
Wis.	-	-	-	-	-	-	64	106													
W.N. CENTRAL	5	3	-	-	-	-	371	281													
Minn.	-	-	-	-	-	-	77	92													
Iowa	-	-	-	-	-	-	58	39													
Mo.	5	3	-	-	-	-	178	71													
N. Dak.	-	-	-	-	-	-	-	1													
S. Dak.	-	-	-	-	-	-	18	21													
Nebr.	-	-	-	-	-	-	-	17													
Kans.	-	-	-	-	-	-	40	40													
S. ATLANTIC	41	7	-	-	-	-	1,211	1,168													
Del.	-	-	-	-	-	-	9	13													
Md.	4	2	-	-	-	-	81	119													
D.C.	-	-	-	-	-	-	15	15													
Va.	1	-	-	-	-	-	91	105													
W. Va.	-	-	-	-	-	-	5	3													
N.C.	27	4	-	-	-	-	197	205													
S.C.	4	1	-	-	-	-	66	121													
Ga.	4	-	-	-	-	-	368	339													
Fla.	1	-	-	-	-	-	379	248													
E.S. CENTRAL	3	3	-	-	-	-	264	276													
Ky.	-	-	-	-	-	-	34	48													
Tenn.	3	2	-	-	-	-	83	69													
Ala.	-	1	-	-	-	-	93	105													
Miss.	-	-	-	-	-	-	54	54													
W.S. CENTRAL	-	-	-	-	-	-	102	540													
Ark.	-	-	-	-	-	-	49	37													
La.	-	-	-	-	-	-	1	118													
Okla.	-	-	-	-	-	-	50	21													
Tex.	-	-	-	-	-	-	2	364													
MOUNTAIN	-	1	-	-	-	-	334	293													
Mont.	-	-	-	-	-	-	5	9													
Idaho	-	1	-	-	-	-	18	12													
Wyo.	-	-	-	-	-	-	11	11													
Colo.	-	-	-	-	-	-	97	79													
N. Mex.	-	-	-	-	-	-	50	33													
Ariz.	-	-	-	-	-	-	83	103													
Utah	-	-	-	-	-	-	30	31													
Nev.	-	-	-	-	-	-	40	15													
PACIFIC	-	-	-	-	-	-	717	723													
Wash.	-	-	-	-	-	-	29	52													
Oreg.	-	-	-	-	-	-	55	11													
Calif.	-	-	-	-	-	-	576	581													
Alaska	-	-	-	-	-	-	14	9													
Hawaii	-	-	-	-	-	-	43	70													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	22	157													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	2	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


