
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 5, 2004 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	457	470	63	85	53	36	5,875	6,409	116,845	134,639											
NEW ENGLAND	35	29	18	13	9	2	512	469	2,849	2,875											
Maine	1	3	-	-	-	-	57	51	106	90											
N.H.	5	7	3	1	-	-	15	20	55	49											
Vt.	-	1	-	-	-	-	42	35	34	34											
Mass.	13	8	2	5	9	2	270	225	1,338	1,068											
R.I.	3	1	-	-	-	-	47	44	379	405											
Conn.	13	9	13	7	-	-	81	94	937	1,229											
MID. ATLANTIC	41	52	3	6	12	11	1,350	1,349	14,407	17,032											
Upstate N.Y.	15	17	1	3	4	5	437	329	3,052	2,993											
N.Y. City	5	3	-	-	-	-	420	499	4,103	5,535											
N.J.	6	5	1	-	4	-	123	188	2,105	3,785											
Pa.	15	27	1	3	4	6	370	333	5,147	4,719											
E.N. CENTRAL	77	123	12	16	7	6	697	1,163	21,698	28,659											
Ohio	19	26	1	9	7	6	285	337	5,762	9,226											
Ind.	8	16	-	-	-	-	-	-	2,411	2,702											
Ill.	15	22	-	1	-	-	84	344	5,882	8,763											
Mich.	17	22	2	-	-	-	217	272	6,139	5,500											
Wis.	18	37	9	6	-	-	111	210	1,504	2,468											
W.N. CENTRAL	81	61	9	9	10	8	712	627	6,525	6,958											
Minn.	26	22	3	6	2	-	249	217	1,406	1,112											
Iowa	17	8	-	-	-	-	100	83	160	499											
Mo.	12	18	6	1	3	1	188	189	3,336	3,551											
N. Dak.	2	1	-	1	3	1	11	16	50	25											
S. Dak.	3	2	-	-	-	-	28	19	113	74											
Nebr.	11	5	-	1	-	-	55	51	424	620											
Kans.	10	5	-	-	2	6	81	52	1,036	1,077											
S. ATLANTIC	44	41	13	29	7	1	928	945	28,309	33,014											
Del.	-	-	N	N	N	N	20	15	405	1,002											
Md.	6	1	-	-	1	1	36	46	3,174	3,166											
D.C.	1	1	-	-	-	-	25	14	1,003	1,033											
Va.	2	17	6	3	-	-	152	113	3,708	3,622											
W. Va.	1	1	-	-	-	-	12	10	361	343											
N.C.	-	-	4	11	-	-	N	N	6,036	6,103											
S.C.	3	-	-	-	-	-	24	53	3,125	3,169											
Ga.	15	7	1	2	-	-	231	307	3,426	6,875											
Fla.	16	14	2	13	6	-	428	387	7,071	7,701											
E.S. CENTRAL	26	23	1	-	7	4	138	134	9,405	11,299											
Ky.	10	8	1	-	4	4	N	N	980	1,460											
Tenn.	4	10	-	-	3	-	69	58	3,346	3,311											
Ala.	6	3	-	-	-	-	69	76	2,633	3,766											
Miss.	6	2	-	-	-	-	-	-	2,446	2,762											
W.S. CENTRAL	25	20	1	2	1	1	106	103	16,669	18,063											
Ark.	7	2	-	-	-	-	48	56	1,569	1,648											
La.	1	1	-	-	-	-	14	6	4,771	4,669											
Okla.	4	3	-	-	-	-	44	41	1,939	1,751											
Tex.	13	14	1	2	1	1	-	-	8,390	9,995											
MOUNTAIN	49	52	5	8	-	3	490	501	4,033	4,520											
Mont.	2	1	-	-	-	-	15	25	34	55											
Idaho	14	13	3	4	-	-	69	59	35	34											
Wyo.	-	1	-	-	-	-	7	7	23	20											
Colo.	8	15	1	1	-	3	155	152	1,023	1,238											
N. Mex.	4	1	-	3	-	-	23	21	267	524											
Ariz.	7	11	N	N	N	N	79	83	1,666	1,683											
Utah	8	7	-	-	-	-	106	106	200	147											
Nev.	6	3	1	-	-	-	36	48	785	819											
PACIFIC	79	69	1	2	-	-	942	1,118	12,950	12,219											
Wash.	27	21	-	1	-	-	114	106	1,143	1,214											
Oreg.	11	8	1	1	-	-	160	137	265	406											
Calif.	34	39	-	-	-	-	608	800	11,117	9,934											
Alaska	1	1	-	-	-	-	25	35	255	224											
Hawaii	6	-	-	-	-	-	35	40	170	441											
Guam	N	N	-	-	-	-	-	-	-	32											
P.R.	-	1	-	-	-	-	10	60	91	92											
V.I.	-	-	-	-	-	-	-	-	49	37											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


