
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 21, 1999 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	26,427	28,464	370,512	366,857	969	1,648	1,509	1,594	957	1,353											
NEW ENGLAND	1,298	1,023	12,209	12,839	59	104	172	212	127	189											
Maine	43	21	193	621	17	24	18	22	-	-											
N.H.	31	25	596	607	8	12	22	31	23	35											
Vt.	6	17	301	263	15	16	19	10	11	7											
Mass.	842	506	5,872	5,262	19	47	95	108	52	108											
R.I.	70	92	1,467	1,480	-	5	18	8	6	1											
Conn.	306	362	3,780	4,606	-	-	U	33	35	38											
MID. ATLANTIC	6,746	7,663	44,532	38,226	204	357	94	172	37	61											
Upstate N.Y.	846	985	N	N	78	206	83	117	-	-											
N.Y. City	3,592	4,055	21,963	16,755	107	137	5	9	13	11											
N.J.	1,278	1,556	6,456	7,392	9	14	6	46	23	38											
Pa.	1,030	1,067	16,113	14,079	10	-	N	N	1	12											
E.N. CENTRAL	1,719	2,161	53,400	62,521	93	446	308	269	208	230											
Ohio	262	459	15,462	16,916	29	49	120	70	88	43											
Ind.	224	376	6,667	6,730	18	39	42	63	25	35											
Ill.	783	818	17,685	16,813	16	49	86	74	33	52											
Mich.	360	389	13,586	13,448	30	24	60	62	33	44											
Wis.	90	119	U	8,614	-	285	N	N	29	56											
W.N. CENTRAL	611	531	19,536	21,475	82	179	328	237	184	224											
Minn.	105	102	3,264	4,401	14	58	131	89	103	107											
Iowa	55	50	1,448	2,419	24	42	60	60	37	39											
Mo.	295	243	8,428	7,835	17	16	27	27	34	42											
N. Dak.	4	4	325	625	12	22	8	6	1	13											
S. Dak.	13	11	832	1,002	5	19	32	15	4	16											
Nebr.	45	48	2,060	1,801	9	18	56	23	-	-											
Kans.	94	73	3,179	3,392	1	4	14	17	5	7											
S. ATLANTIC	7,281	7,257	87,262	70,097	204	155	180	118	102	111											
Del.	95	90	1,667	1,569	-	2	3	-	3	1											
Md.	793	898	6,803	4,969	11	12	11	19	-	11											
D.C.	274	568	N	N	7	4	-	1	-	-											
Va.	372	526	9,081	7,879	11	4	44	-	37	41											
W. Va.	40	59	1,148	1,513	-	1	7	-	2	4											
N.C.	482	459	14,444	13,931	5	-	36	34	27	34											
S.C.	683	449	15,603	11,736	-	-	17	5	13	3											
Ga.	1,091	727	19,477	14,327	95	57	18	46	-	-											
Fla.	3,451	3,481	19,039	14,173	75	75	44	13	20	17											
E.S. CENTRAL	1,145	1,152	26,558	25,395	17	19	78	79	42	46											
Ky.	176	155	4,631	3,981	5	8	20	25	-	-											
Tenn.	442	397	8,873	8,258	6	6	38	32	26	28											
Ala.	287	329	7,843	6,491	4	-	16	19	13	17											
Miss.	240	271	5,211	6,665	2	5	4	3	3	1											
W.S. CENTRAL	2,858	3,755	51,697	55,442	38	61	45	60	56	70											
Ark.	107	136	3,597	2,350	-	6	9	7	5	8											
La.	541	621	7,726	8,968	21	11	3	3	11	3											
Okla.	74	224	5,276	6,310	4	-	15	11	9	5											
Tex.	2,136	2,774	35,098	37,814	13	44	18	39	31	54											
MOUNTAIN	1,021	1,015	20,731	20,484	53	73	136	218	69	178											
Mont.	5	20	975	783	8	8	8	10	-	4											
Idaho	16	19	1,064	1,236	3	-	15	26	6	17											
Wyo.	4	1	445	397	-	-	5	49	5	53											
Colo.	197	209	4,364	5,088	6	9	48	41	34	37											
N. Mex.	65	153	2,781	2,282	22	35	6	16	2	14											
Ariz.	518	384	8,066	7,108	9	14	19	27	12	23											
Utah	84	70	1,232	1,448	-	-	24	40	8	18											
Nev.	132	159	1,804	2,142	5	7	11	9	2	12											
PACIFIC	3,748	3,907	54,587	60,378	219	254	168	229	132	244											
Wash.	218	266	7,518	6,949	-	-	56	38	50	71											
Oreg.	118	117	3,632	3,343	79	26	39	68	35	68											
Calif.	3,348	3,411	40,525	47,382	140	228	72	120	40	95											
Alaska	13	17	1,179	1,202	-	-	-	3	-	-											
Hawaii	51	96	1,733	1,502	-	-	1	-	7	10											
Guam	5	-	226	252	-	-	N	N	-	-											
P.R.	821	1,191	U	U	-	-	5	3	U	U											
V.I.	19	19	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


