
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 31, 2008 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	52	99	255	2,730	2,743	15	35	165	806	865											
NEW ENGLAND	-	6	31	184	215	-	2	14	39	73											
Conn.	-	0	28	59	49	-	0	11	-	11											
Maine	-	0	3	13	15	-	0	1	1	1											
Mass.	-	3	7	83	118	-	1	5	30	47											
N.H.	-	0	2	16	18	-	0	1	7	8											
R.I.	-	0	6	5	2	-	0	1	-	4											
Vt.	-	0	2	8	13	-	0	1	1	2											
MID. ATLANTIC	10	16	42	562	577	4	4	38	92	163											
N.J.	-	3	9	80	113	-	1	6	18	34											
N.Y. (Upstate)	7	6	20	201	169	4	2	14	49	54											
N.Y. City	-	3	10	95	142	-	1	35	25	75											
Pa.	3	5	16	186	153	N	0	0	N	N											
E.N. CENTRAL	9	16	59	556	546	2	5	22	164	136											
Ill.	-	4	15	145	191	-	1	6	38	41											
Ind.	-	2	11	75	61	-	0	14	21	7											
Mich.	-	3	8	85	124	-	1	5	39	46											
Ohio	9	4	15	162	144	2	1	5	32	34											
Wis.	-	0	38	89	26	-	0	9	34	8											
W.N. CENTRAL	2	4	39	228	194	2	2	16	69	50											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	33	24	-	0	3	13	1											
Minn.	-	0	35	101	90	-	0	13	24	31											
Mo.	-	2	10	55	52	-	1	2	20	13											
Nebr.	2	0	3	20	14	-	0	3	4	4											
N. Dak.	-	0	5	8	10	2	0	1	3	1											
S. Dak.	-	0	2	11	4	-	0	1	5	-											
S. ATLANTIC	12	22	51	538	592	4	6	13	125	149											
Del.	-	0	2	6	4	-	0	0	-	-											
D.C.	-	0	2	11	13	-	0	1	1	2											
Fla.	2	6	16	130	129	2	1	4	34	31											
Ga.	5	4	10	106	133	-	1	5	6	37											
Md.	2	4	9	96	106	1	1	5	35	38											
N.C.	3	2	22	73	55	N	0	0	N	N											
S.C.	-	1	6	32	58	1	1	4	22	15											
Va.	-	3	12	68	80	-	0	6	23	24											
W. Va.	-	0	3	16	14	-	0	1	4	2											
E.S. CENTRAL	2	4	13	88	102	-	2	11	53	50											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	17	26	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	15	3											
Tenn.	1	3	13	71	76	-	2	9	38	47											
W.S. CENTRAL	8	7	85	215	157	-	5	66	126	118											
Ark.	-	0	2	4	13	-	0	2	5	7											
La.	-	0	1	3	12	-	0	2	1	24											
Okla.	2	1	20	61	40	-	1	7	42	24											
Tex.	6	5	64	147	92	-	3	58	78	63											
MOUNTAIN	8	11	22	301	292	3	5	12	128	117											
Ariz.	1	4	9	104	105	-	2	8	66	60											
Colo.	6	3	8	84	78	3	1	4	40	29											
Idaho	-	0	2	9	6	-	0	1	2	2											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	2	6	3	N	0	0	N	N											
N. Mex.	-	2	7	54	49	-	0	3	11	22											
Utah	1	1	5	39	47	-	0	4	8	4											
Wyo.	-	0	2	5	4	-	0	1	1	-											
PACIFIC	1	2	9	58	68	-	0	2	10	9											
Alaska	1	0	3	16	12	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	9	42	56	-	0	2	10	9											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	19	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


