
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 30, 1999 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	45	90	643	1,255	268	591	-	5	-	-	5	1									
NEW ENGLAND	2	8	9	30	-	5	-	-	-	-	-	1									
Maine	-	-	1	5	-	-	-	-	-	-	-	-									
N.H.	1	1	1	1	-	1	-	-	-	-	-	-									
Vt.	-	-	-	1	-	-	-	-	-	-	-	-									
Mass.	1	7	4	7	-	1	-	-	-	-	-	1									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	3	16	-	3	-	-	-	-	-	-									
MID. ATLANTIC	5	10	13	85	16	89	-	-	-	-	-	-									
Upstate N.Y.	4	3	4	22	6	18	-	-	-	-	-	-									
N.Y. City	-	4	-	31	-	19	-	-	-	-	-	-									
N.J.	1	3	8	16	5	21	U	-	U	-	-	-									
Pa.	-	-	1	16	5	31	-	-	-	-	-	-									
E.N. CENTRAL	7	12	103	274	10	185	-	-	-	-	-	-									
Ohio	6	5	45	42	9	8	-	-	-	-	-	-									
Ind.	-	1	10	34	-	93	-	-	-	-	-	-									
Ill.	1	6	1	78	-	23	-	-	-	-	-	-									
Mich.	-	-	47	105	1	48	-	-	-	-	-	-									
Wis.	-	-	-	15	-	13	-	-	-	-	-	-									
W.N. CENTRAL	3	-	5	125	2	33	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	1	-	1	41	-	6	-	-	-	-	-	-									
Mo.	-	-	-	75	-	24	U	-	U	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	1	-	-	-	-	1	-	-	-	-	-	-									
Nebr.	-	-	3	2	2	-	-	-	-	-	-	-									
Kans.	1	-	1	7	-	2	U	-	U	-	-	-									
S. ATLANTIC	16	16	73	57	38	40	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	10	6	30	25	13	15	-	-	-	-	-	-									
D.C.	1	-	4	2	-	1	-	-	-	-	-	-									
Va.	-	2	3	10	2	3	-	-	-	-	-	-									
W. Va.	-	1	-	-	-	-	-	-	-	-	-	-									
N.C.	2	1	10	6	16	16	-	-	-	-	-	-									
S.C.	-	-	-	4	2	-	-	-	-	-	-	-									
Ga.	-	6	11	10	1	4	U	-	U	-	-	-									
Fla.	3	-	15	-	4	1	-	-	-	-	-	-									
E.S. CENTRAL	2	9	29	42	17	28	-	-	-	-	-	-									
Ky.	-	2	-	2	-	1	U	-	U	-	-	-									
Tenn.	2	2	12	21	10	20	-	-	-	-	-	-									
Ala.	-	5	16	8	7	7	-	-	-	-	-	-									
Miss.	-	-	1	11	-	-	-	-	-	-	-	-									
W.S. CENTRAL	3	4	14	83	4	30	-	-	-	-	-	-									
Ark.	-	-	3	1	4	8	-	-	-	-	-	-									
La.	1	2	1	1	-	-	-	-	-	-	-	-									
Okla.	1	1	2	28	-	-	-	-	-	-	-	-									
Tex.	1	1	8	53	-	22	-	-	-	-	-	-									
MOUNTAIN	4	19	60	240	38	63	-	1	-	-	1	-									
Mont.	-	-	-	4	-	1	-	-	-	-	-	-									
Idaho	-	-	1	10	4	3	-	-	-	-	-	-									
Wyo.	-	-	-	2	-	-	U	-	U	-	-	-									
Colo.	-	1	27	18	11	8	-	1	-	-	1	-									
N. Mex.	3	-	4	14	19	17	-	-	-	-	-	-									
Ariz.	-	10	21	152	1	19	-	-	-	-	-	-									
Utah	1	-	7	14	3	6	-	-	-	-	-	-									
Nev.	-	8	-	26	-	9	U	-	U	-	-	-									
PACIFIC	3	12	337	319	143	118	-	4	-	-	4	-									
Wash.	-	-	4	6	-	1	-	-	-	-	-	-									
Oreg.	2	7	5	19	2	8	-	4	-	-	4	-									
Calif.	-	5	328	289	140	108	-	-	-	-	-	-									
Alaska	1	-	-	-	1	1	-	-	-	-	-	-									
Hawaii	-	-	-	5	-	-	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	2	2	1	27	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	3	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


