
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 5, 2005 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,768	1,680	4	12	94	103	159	154													
NEW ENGLAND	141	159	-	1	10	9	3	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	8	17	-	-	-	2	-	-													
Vt.	10	8	-	-	-	-	-	1													
Mass.	66	74	-	1	3	4	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	44	45	-	-	5	3	1	-													
MID. ATLANTIC	362	349	-	2	-	4	39	36													
Upstate N.Y.	104	110	-	2	-	4	9	5													
N.Y. City	65	78	-	-	-	-	10	15													
N.J.	75	66	-	-	-	-	10	3													
Pa.	118	95	-	-	-	-	10	13													
E.N. CENTRAL	253	316	1	-	4	8	17	46													
Ohio	97	87	-	-	-	2	7	15													
Ind.	56	42	-	-	4	4	-	1													
Ill.	59	114	-	-	-	-	7	21													
Mich.	18	18	1	-	-	2	2	4													
Wis.	23	55	-	-	-	-	1	5													
W.N. CENTRAL	95	92	-	2	3	3	8	11													
Minn.	38	40	-	1	3	3	2	1													
Iowa	1	1	-	1	-	-	-	-													
Mo.	32	36	-	-	-	-	5	7													
N. Dak.	2	4	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	9	5	-	-	-	-	-	2													
Kans.	13	6	-	-	-	-	-	1													
S. ATLANTIC	415	376	1	1	26	24	25	26													
Del.	-	-	-	-	-	-	-	-													
Md.	60	56	-	-	5	5	-	-													
D.C.	-	3	-	-	-	-	-	1													
Va.	40	39	-	-	-	-	-	5													
W. Va.	25	16	-	-	1	4	6	-													
N.C.	69	52	1	1	8	6	-	1													
S.C.	26	12	-	-	-	-	-	1													
Ga.	82	97	-	-	-	-	13	17													
Fla.	113	101	-	-	12	9	6	1													
E.S. CENTRAL	99	63	-	1	1	1	6	8													
Ky.	8	7	-	-	1	1	2	-													
Tenn.	73	41	-	-	-	-	-	6													
Ala.	18	13	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	91	65	1	1	8	8	7	1													
Ark.	5	2	-	-	1	1	-	-													
La.	30	13	1	-	2	-	7	1													
Okla.	54	49	-	-	5	7	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	196	168	-	4	14	25	39	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	4	5	-	-	-	-	1	2													
Wyo.	6	1	-	-	-	1	1	-													
Colo.	39	41	-	-	1	-	9	5													
N. Mex.	18	37	-	1	4	8	2	6													
Ariz.	98	58	-	-	7	11	15	2													
Utah	17	14	-	2	-	2	8	2													
Nev.	14	12	-	1	2	3	3	1													
PACIFIC	116	92	1	-	28	21	15	7													
Wash.	4	1	-	-	-	-	3	1													
Oreg.	29	40	-	-	-	-	5	3													
Calif.	50	38	1	-	28	21	2	1													
Alaska	25	5	-	-	-	-	5	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


