
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending December 22, 2007 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	40	170	1,479	8,570	14,153	9	103	187	5,279	5,435	42	34	211	2,081	2,077						
NEW ENGLAND	-	26	77	1,242	1,898	1	11	22	549	481	-	0	10	6	13						
Conn.	-	1	5	59	124	-	4	10	212	204	-	0	0	-	-						
Maine	-	1	13	77	161	-	1	5	82	125	-	0	1	1	N						
Mass.	-	20	37	956	1,210	-	0	0	-	N	-	0	1	4	11						
N.H.	-	1	5	60	224	-	1	4	53	49	-	0	1	1	1						
R.I.	-	0	31	32	70	-	0	4	40	30	-	0	9	-	1						
Vt.	-	0	9	58	109	1	3	13	162	73	-	0	0	-	-						
MID. ATLANTIC	19	23	155	1,179	1,928	-	25	56	1,343	536	-	1	7	85	88						
N.J.	-	2	10	139	299	N	0	0	N	N	-	0	3	23	40						
N.Y. (Upstate)	7	10	146	536	937	-	10	20	504	N	-	0	1	3	-						
N.Y. City	-	2	6	122	110	-	1	5	42	44	-	0	3	28	23						
Pa.	12	7	21	382	582	-	15	44	797	492	-	0	3	31	25						
E.N. CENTRAL	1	27	79	1,300	2,288	-	4	48	394	162	-	1	4	49	65						
Ill.	-	3	13	165	581	-	1	15	113	46	-	0	3	31	26						
Ind.	-	0	45	55	235	-	0	1	12	11	-	0	2	4	6						
Mich.	1	5	16	276	626	-	1	27	185	47	-	0	1	4	6						
Ohio	-	12	54	605	628	-	1	11	84	58	-	0	2	10	26						
Wis.	-	1	24	199	218	N	0	0	N	N	-	0	0	-	1						
W.N. CENTRAL	3	12	151	764	1,302	-	4	13	255	307	-	5	37	456	198						
Iowa	-	2	14	139	341	-	0	3	32	57	-	0	4	15	5						
Kans.	-	2	8	133	307	-	2	7	101	81	-	0	2	13	1						
Minn.	-	0	119	259	201	-	0	6	39	39	-	0	1	2	4						
Mo.	3	2	9	101	305	-	0	3	38	66	-	5	29	408	163						
Nebr.	-	1	12	65	97	-	0	0	-	-	-	0	2	14	25						
N. Dak.	-	0	18	10	25	-	0	6	22	26	-	0	0	-	-						
S. Dak.	-	0	7	57	26	-	0	2	23	38	-	0	1	4	-						
S. ATLANTIC	3	16	163	881	1,148	4	40	76	2,070	2,271	40	15	112	986	1,178						
Del.	-	0	2	11	3	-	0	0	-	-	-	0	2	15	21						
D.C.	-	0	1	2	6	-	0	0	-	-	-	0	1	1	1						
Fla.	2	4	18	210	210	-	0	29	120	176	3	0	4	25	17						
Ga.	-	0	2	29	102	-	4	34	265	260	-	0	5	38	53						
Md.	1	2	6	113	151	3	7	18	389	411	-	1	4	65	91						
N.C.	-	4	112	292	222	1	9	19	472	513	27	5	96	637	839						
S.C.	-	1	4	71	197	-	0	11	46	179	2	0	7	63	43						
