
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2006 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shiga toxin-producing E. coli(STEC)† cummulative for 2005
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2006
Shigellosis cummulative for 2005
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcal disease, invasive, group A cummulative for 2005

tab delimited data:
test
UNITED STATES	14	48	248	194	323	92	292	604	1,963	2,534	70	81	196	1,398	1,311						
NEW ENGLAND	-	4	13	13	28	2	5	17	56	51	1	4	8	44	50						
Conn.	-	0	4	-	12	-	1	6	6	12	U	0	0	U	U						
Maine	-	0	5	-	2	-	0	3	-	1	-	0	2	3	2						
Mass.	-	2	7	11	11	2	4	11	43	30	-	2	7	28	35						
N.H.	-	0	2	2	1	-	0	4	3	4	-	0	3	8	3						
R.I.	-	0	2	-	1	-	0	6	3	1	-	0	3	3	3						
Vt.	-	0	2	1	1	-	0	4	1	3	1	0	2	2	7						
MID. ATLANTIC	-	6	99	-	33	8	20	69	135	273	19	13	43	222	281						
N.J.	-	1	7	-	10	-	5	18	35	76	-	2	8	9	45						
N.Y. (Upstate)	4	2	96	10	13	7	4	54	58	72	14	4	33	93	103						
N.Y. City	-	0	2	-	1	-	6	22	19	109	-	3	9	14	52						
Pa.	-	2	8	-	9	1	2	48	23	16	5	6	13	106	81						
E.N. CENTRAL	8	7	31	57	64	15	17	78	175	184	7	15	39	270	276						
Ill.	-	1	7	-	18	-	6	25	32	49	-	3	10	56	83						
Ind.	3	1	7	10	6	11	1	56	30	15	2	2	12	42	27						
Mich.	-	0	4	16	-	-	4	10	50	78	2	4	10	70	74						
Ohio	5	2	14	18	25	4	3	11	43	14	3	4	19	86	61						
Wis.	-	2	15	13	15	-	3	9	20	28	-	1	8	16	31						
W.N. CENTRAL	2	7	39	38	44	1	38	64	192	163	1	5	57	117	78						
Iowa	-	1	10	9	9	-	1	7	3	35	N	0	0	N	N						
Kans.	-	1	4	-	6	-	4	20	19	5	-	1	5	30	11						
Minn.	2	3	23	28	7	-	2	6	20	11	-	1	52	52	26						
Mo.	1	2	7	16	12	1	22	45	116	85	-	1	6	19	27						
Nebr.	-	0	4	2	8	-	1	9	18	19	1	0	4	12	7						
N. Dak.	-	0	2	-	-	-	0	2	2	2	-	0	3	3	2						
S. Dak.	-	0	5	1	2	-	1	17	14	6	-	0	2	1	5						
S. ATLANTIC	-	7	41	23	65	28	47	116	542	377	23	19	39	336	249						
