
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending November 1, 1997 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	2,719	2,785	9	474	596	54	4,226	5,271	-	155	220										
NEW ENGLAND	174	120	1	9	1	11	768	1,253	-	1	27										
Maine	17	10	-	-	-	-	6	39	-	-	-										
N.H.	15	7	-	-	-	6	113	122	-	-	-										
Vt.	4	4	-	-	-	1	204	131	-	-	2										
Mass.	83	51	-	2	1	4	403	902	-	1	21										
R.I.	19	13	1	6	-	-	16	30	-	-	-										
Conn.	36	35	-	1	-	-	26	29	-	-	4										
MID. ATLANTIC	270	282	-	45	78	-	305	418	-	30	12										
Upstate N.Y.	56	76	-	9	23	-	109	231	-	3	4										
N.Y. City	42	39	-	3	18	-	59	41	-	27	5										
N.J.	57	57	-	5	4	-	9	28	-	-	2										
Pa.	115	110	-	28	33	-	128	118	-	-	1										
E.N. CENTRAL	390	390	3	56	113	5	372	637	-	5	3										
Ohio	148	137	3	28	40	4	144	237	-	-	-										
Ind.	45	52	-	9	8	1	51	56	-	-	-										
Ill.	121	112	-	10	21	-	64	150	-	2	1										
Mich.	45	40	-	9	41	-	44	40	-	-	2										
Wis.	31	49	-	-	3	-	69	154	-	3	-										
W.N. CENTRAL	204	201	1	15	18	14	368	355	-	-	-										
Minn.	34	25	-	5	6	12	233	279	-	-	-										
Iowa	45	42	1	8	2	1	54	17	-	-	-										
Mo.	88	76	-	-	7	1	54	34	-	-	-										
N. Dak.	2	3	-	-	2	-	2	1	-	-	-										
S. Dak.	5	10	-	-	-	-	4	4	-	-	-										
Nebr.	12	21	-	2	-	-	8	7	-	-	-										
Kans.	18	24	-	-	1	-	13	13	-	-	-										
S. ATLANTIC	492	542	1	64	96	3	390	549	-	82	91										
Del.	5	2	-	-	-	-	1	22	-	-	-										
Md.	41	54	1	5	31	2	108	211	-	-	-										
D.C.	8	5	-	-	-	-	3	1	-	1	1										
Va.	50	54	-	10	14	-	42	76	-	1	2										
W. Va.	16	16	-	-	-	-	6	2	-	-	-										
N.C.	84	67	-	10	20	-	109	97	-	59	77										
S.C.	51	53	-	10	6	-	25	40	-	19	1										
Ga.	95	123	-	10	3	-	13	19	-	-	-										
Fla.	142	168	-	19	22	1	83	81	-	2	10										
E.S. CENTRAL	207	206	2	24	20	1	115	192	-	-	2										
Ky.	42	27	-	3	-	-	46	140	-	-	-										
Tenn.	77	55	-	5	1	1	36	20	-	-	-										
Ala.	70	76	1	9	4	-	25	23	-	-	2										
Miss.	18	48	1	7	15	-	8	9	-	-	N										
W.S. CENTRAL	264	292	-	50	43	5	210	142	-	4	8										
Ark.	31	30	-	1	1	4	49	7	-	-	-										
La.	46	56	-	12	13	-	18	9	-	-	1										
Okla.	37	35	-	-	1	-	27	17	-	-	-										
Tex.	150	171	-	37	28	1	116	109	-	4	7										
MOUNTAIN	162	160	-	54	23	9	1,011	464	-	6	6										
Mont.	9	9	-	-	-	1	18	33	-	-	-										
Idaho	10	22	-	3	-	1	560	100	-	1	2										
Wyo.	4	3	-	1	-	-	7	6	-	-	-										
Colo.	44	36	-	3	4	5	267	180	-	-	2										
N. Mex.	25	24	N	N	N	1	88	61	-	-	-										
Ariz.	41	35	-	32	1	-	35	28	-	5	1										
Utah	12	15	-	8	3	1	18	18	-	-	-										
Nev.	17	16	-	7	15	-	18	38	-	-	1										
PACIFIC	556	592	1	157	204	6	687	1,261	-	27	71										
Wash.	74	88	1	19	20	6	322	541	-	5	15										
Oreg.	112	103	N	N	N	-	17	59	-	-	1										
Calif.	361	388	-	111	153	-	321	625	-	14	52										
Alaska	2	8	-	4	3	-	14	3	-	-	-										
Hawaii	7	5	-	23	28	-	13	33	-	8	3										
Guam	1	4	U	1	10	U	-	-	U	-	-										
P.R.	10	11	-	7	1	-	1	3	-	-	-										
V.I.	-	-	-	-	1	-	-	-	-	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


