
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 14, 2000 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	902	956	9,470	12,970	5,370	5,458	-	54	-	18	72	80									
NEW ENGLAND	77	74	276	260	81	122	-	2	-	4	6	11									
Maine	1	5	15	11	5	1	-	-	-	-	-	-									
N.H.	12	14	18	14	15	13	-	2	-	1	3	1									
Vt.	6	5	8	16	6	3	-	-	-	3	3	-									
Mass.	36	29	107	98	9	40	-	-	-	-	-	8									
R.I.	4	5	22	14	18	27	-	-	-	-	-	-									
Conn.	18	16	106	107	28	38	-	-	-	-	-	2									
MID. ATLANTIC	147	162	922	973	765	694	-	14	-	5	19	5									
Upstate N.Y.	79	65	186	214	114	150	-	9	-	-	9	2									
N.Y. City	30	52	271	325	357	212	-	5	-	4	9	3									
N.J.	29	40	158	123	105	106	-	-	-	-	-	-									
Pa.	9	5	307	311	189	226	-	-	-	1	1	-									
E.N. CENTRAL	117	157	1,110	2,430	556	588	-	8	-	-	8	2									
Ohio	44	51	220	537	88	78	-	2	-	-	2	-									
Ind.	26	20	89	86	41	35	-	-	-	-	-	1									
Ill.	40	65	410	631	100	52	-	4	-	-	4	-									
Mich.	7	16	378	1,109	326	396	-	2	-	-	2	1									
Wis.	-	5	13	67	1	27	-	-	-	-	-	-									
W.N. CENTRAL	59	59	695	635	565	217	-	2	-	1	3	1									
Minn.	32	38	173	63	35	40	-	-	-	1	1	1									
Iowa	1	2	62	115	27	36	-	2	-	-	2	-									
Mo.	17	6	335	381	446	117	-	-	-	-	-	-									
N. Dak.	1	1	3	2	2	-	-	-	-	-	-	-									
S. Dak.	1	2	1	8	1	1	-	-	-	-	-	-									
Nebr.	3	4	30	43	33	16	-	-	-	-	-	-									
Kans.	4	6	91	23	21	7	-	-	-	-	-	-									
S. ATLANTIC	238	204	1,181	1,501	994	903	-	3	-	-	3	14									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	62	53	184	254	92	124	-	-	-	-	-	-									
D.C.	-	4	20	54	27	22	-	-	-	-	-	-									
Va.	35	16	120	138	129	74	-	2	-	-	2	12									
W. Va.	7	7	52	33	10	22	-	-	-	-	-	-									
N.C.	20	29	117	132	188	194	-	-	-	-	-	-									
S.C.	13	5	61	40	13	61	-	-	-	-	-	-									
Ga.	56	55	224	401	162	134	-	-	-	-	-	-									
Fla.	45	35	403	447	373	271	-	1	-	-	1	2									
E.S. CENTRAL	39	53	317	321	360	382	-	-	-	-	-	2									
Ky.	12	6	40	59	60	36	-	-	-	-	-	2									
Tenn.	18	29	118	125	174	187	-	-	-	-	-	-									
Ala.	8	15	47	45	45	72	-	-	-	-	-	-									
Miss.	1	3	112	92	81	87	-	-	-	-	-	-									
W.S. CENTRAL	56	54	1,502	2,546	617	948	-	-	-	-	-	9									
Ark.	2	2	104	42	71	62	-	-	-	-	-	2									
La.	11	12	55	190	87	154	-	-	-	-	-	-									
Okla.	41	36	222	420	125	120	-	-	-	-	-	-									
Tex.	2	4	1,121	1,894	334	612	-	-	-	-	-	7									
MOUNTAIN	83	92	787	1,032	425	469	-	11	-	1	12	1									
Mont.	1	2	6	17	7	17	-	-	-	-	-	-									
Idaho	4	1	22	35	7	25	-	-	-	-	-	-									
Wyo.	1	1	39	8	24	12	-	-	-	-	-	-									
Colo.	12	13	167	191	80	81	-	1	-	1	2	-									
N. Mex.	18	18	61	42	89	149	-	-	-	-	-	-									
Ariz.	37	48	393	574	159	117	-	-	-	-	-	1									
Utah	8	6	45	44	19	26	-	3	-	-	3	-									
Nev.	2	3	54	121	40	42	-	7	-	-	7	-									
PACIFIC	86	101	2,680	3,272	1,007	1,135	-	14	-	7	21	35									
Wash.	5	5	239	272	90	57	-	2	-	1	3	5									
Oreg.	24	33	145	210	84	89	-	-	-	-	-	12									
Calif.	28	50	2,274	2,761	815	961	-	11	-	3	14	17									
Alaska	6	5	9	10	8	15	-	1	-	-	1	-									
Hawaii	23	8	13	19	10	13	-	-	-	3	3	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	4	2	197	260	208	190	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


