
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 3, 2008 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	38	157	965	1,966	3,147	83	100	172	1,242	1,844	4	32	147	71	239						
NEW ENGLAND	3	20	43	258	493	1	9	22	92	168	-	0	1	-	2						
Conn.	-	0	5	-	20	-	4	10	53	72	-	0	0	-	-						
Maine	-	1	5	14	32	-	1	5	12	27	N	0	0	N	N						
Mass.	3	16	33	222	395	N	0	0	N	N	-	0	1	-	2						
N.H.	-	1	5	7	29	1	1	4	11	13	-	0	1	-	-						
R.I.	-	0	7	10	1	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	16	-	2	13	16	56	-	0	0	-	-						
MID. ATLANTIC	9	22	44	252	461	18	19	31	319	300	2	1	5	10	21						
N.J.	-	3	9	3	77	-	0	0	-	-	-	0	3	2	3						
N.Y. (Upstate)	7	7	24	87	224	12	9	20	125	129	2	0	1	2	-						
N.Y. City	-	2	7	26	51	-	0	2	5	24	-	0	2	3	11						
Pa.	2	7	23	136	109	6	9	23	189	147	-	0	2	3	7						
E.N. CENTRAL	7	22	186	503	602	2	3	39	10	8	-	1	4	1	12						
Ill.	-	2	8	27	72	N	0	0	N	N	-	0	3	1	8						
Ind.	-	0	12	15	11	-	0	1	1	1	-	0	2	-	1						
Mich.	-	4	16	50	108	1	1	28	6	4	-	0	1	-	1						
Ohio	7	11	176	411	273	1	1	11	3	3	-	0	2	-	2						
Wis.	-	0	14	-	138	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	2	12	136	167	241	5	4	13	32	68	-	4	33	5	30						
Iowa	-	2	8	26	64	1	0	3	3	7	-	0	4	-	1						
Kans.	-	2	5	21	60	-	0	7	-	41	-	0	2	-	5						
Minn.	-	0	131	5	45	3	0	6	17	4	-	0	4	-	-						
Mo.	2	2	18	93	25	1	0	3	2	4	-	3	25	5	23						
Nebr.	-	1	12	19	9	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	4	-	0	5	8	6	-	0	0	-	-						
S. Dak.	-	0	7	3	34	-	0	2	2	6	-	0	1	-	1						
S. ATLANTIC	4	14	50	194	344	46	40	62	660	783	-	14	111	31	109						
Del.	-	0	2	2	2	-	0	0	-	-	-	0	2	1	5						
D.C.	-	0	2	4	2	-	0	0	-	-	-	0	1	1	1						
Fla.	4	3	9	56	94	-	0	23	42	124	-	0	3	2	2						
Ga.	-	0	3	-	15	17	6	15	110	76	-	0	6	-	11						
Md.	-	2	5	23	49	-	9	18	120	133	-	1	6	8	13						
N.C.	-	3	38	59	109	7	9	19	154	156	-	2	96	11	58						
S.C.	-	1	22	20	30	-	0	11	-	35	-	0	7	2	8						
Va.	-	2	11	29	37	20	12	27	202	235	-	2	11	5	10						
W. Va.	-	0	12	1	6	2	0	11	32	24	-	0	3	1	1						
E.S. CENTRAL	-	6	35	67	95	-	3	7	34	50	-	4	16	9	52						
Ala.	-	1	6	16	27	-	0	0	-	-	-	1	10	4	13						
Ky.	-	0	4	7	9	-	0	3	8	7	-	0	2	-	1						
Miss.	-	3	32	29	16	-	0	1	1	-	-	0	3	1	2						
Tenn.	-	1	4	15	43	-	2	6	25	43	-	1	10	4	36						
W.S. CENTRAL	2	19	144	61	229	9	14	36	35	395	1	2	30	11	7						
