
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 22, 2003 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Congenital) cummulative for 2003
Syphilis (Congenital) cummulative for 2002
Tuberculosis cummulative for 2003
Tuberculosis cummulative for 2002
Typhoid Fever cummulative for 2003
Typhoid Fever cummulative for 2002
Varicella (Chicken Pox) cummulative for 2003
Varicella (Chicken Pox) cummulative for 2002

tab delimited data:
test
UNITED STATES	6,017	6,118	315	392	9,947	11,569	281	301	11,487												
NEW ENGLAND	180	131	1	1	287	386	23	13	1,650												
Maine	7	2	1	-	5	20	-	-	773												
N.H.	14	6	-	-	7	15	2	-	-												
Vt.	1	1	-	-	7	6	-	-	721												
Mass.	121	88	-	1	190	205	12	7	151												
R.I.	16	7	-	-	28	48	2	-	5												
Conn.	21	27	-	-	50	92	7	6	-												
MID. ATLANTIC	758	671	55	63	1,906	1,991	48	75	36												
Upstate N.Y.	43	30	9	4	262	284	10	9	N												
N.Y. City	426	394	31	24	1,002	961	18	40	-												
N.J.	142	152	15	34	359	449	14	18	-												
Pa.	147	95	-	1	283	297	6	8	36												
E.N. CENTRAL	777	1,111	65	61	1,006	1,171	23	32	5,115												
Ohio	190	149	3	3	181	210	2	6	1,053												
Ind.	45	55	10	3	116	112	4	2	-												
Ill.	301	437	19	35	468	549	7	16	-												
Mich.	229	446	33	20	189	239	10	4	3,348												
Wis.	12	24	-	-	52	61	-	4	714												
W.N. CENTRAL	131	116	4	2	427	472	4	9	71												
Minn.	40	56	-	1	173	204	-	3	N												
Iowa	7	3	-	-	25	30	2	-	N												
Mo.	49	32	4	1	99	119	1	2	-												
N. Dak.	2	-	-	-	4	6	-	-	71												
S. Dak.	2	-	-	-	16	11	-	-	-												
Nebr.	8	6	-	-	18	25	1	4	-												
Kans.	23	19	-	-	92	77	-	-	-												
S. ATLANTIC	1,628	1,571	55	84	2,036	2,390	49	41	1,936												
Del.	6	11	-	-	23	19	-	-	28												
Md.	265	192	10	15	214	263	8	8	-												
D.C.	51	52	-	1	-	-	-	-	27												
Va.	71	63	1	1	223	242	12	7	478												
W. Va.	2	2	-	-	20	28	-	-	1,169												
N.C.	140	264	16	18	281	310	9	2	N												
S.C.	87	124	4	12	147	146	-	-	234												
Ga.	421	344	6	13	337	475	7	5	-												
Fla.	585	519	18	24	791	907	13	19	N												
E.S. CENTRAL	290	429	11	29	597	676	5	4	2												
Ky.	31	85	1	3	113	117	1	4	N												
Tenn.	122	156	3	10	191	261	2	-	N												
Ala.	106	144	5	10	205	185	2	-	-												
Miss.	31	44	2	6	88	113	-	-	2												
W.S. CENTRAL	844	769	57	82	1,387	1,681	33	30	2,096												
Ark.	49	31	-	11	86	115	-	-	-												
La.	155	138	-	-	-	-	-	-	11												
Okla.	59	60	1	2	133	151	1	2	N												
Tex.	581	540	56	69	1,168	1,415	32	28	2,085												
MOUNTAIN	267	293	22	16	335	381	5	9	581												
Mont.	-	-	-	-	5	6	-	-	N												
Idaho	11	7	-	-	8	13	-	-	N												
Wyo.	-	-	-	-	4	3	-	-	45												
Colo.	24	61	3	2	62	85	3	4	-												
N. Mex.	57	32	1	-	6	34	-	1	3												
Ariz.	160	172	18	14	193	200	2	-	4												
Utah	5	6	-	-	35	26	-	2	529												
Nev.	10	15	-	-	22	14	-	2	-												
PACIFIC	1,142	1,027	45	54	1,966	2,421	91	88	-												
Wash.	74	57	-	1	218	221	3	6	-												
Oreg.	40	21	-	-	95	102	5	2	-												
Calif.	1,026	941	45	52	1,544	1,923	82	75	-												
Alaska	-	-	-	-	50	45	-	-	-												
Hawaii	2	8	-	1	59	130	1	5	-												
Guam	-	6	-	-	-	64	-	-	-												
P.R.	177	266	1	21	86	90	-	-	402												
V.I.	1	1	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


