
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2001 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	126	175	741	1,672	434	686	1	6	-	2	8	7									
NEW ENGLAND	4	17	36	39	5	14	1	1	-	-	1	-									
Maine	-	-	1	1	1	1	-	-	-	-	-	-									
N.H.	-	2	3	6	2	3	-	-	-	-	-	-									
Vt.	-	2	-	1	1	2	1	1	-	-	1	-									
Mass.	4	13	8	13	1	1	-	-	-	-	-	-									
R.I.	-	-	2	-	-	-	-	-	-	-	-	-									
Conn.	-	-	22	18	-	7	-	-	-	-	-	-									
MID. ATLANTIC	15	25	36	99	37	119	-	-	-	-	-	2									
Upstate N.Y.	5	11	15	27	5	6	-	-	-	-	-	-									
N.Y. City	5	8	18	56	26	70	-	-	-	-	-	2									
N.J.	4	4	-	5	-	6	-	-	-	-	-	-									
Pa.	1	2	3	11	6	37	-	-	-	-	-	-									
E.N. CENTRAL	20	25	120	265	80	77	-	-	-	-	-	1									
Ohio	16	9	35	61	15	16	-	-	-	-	-	-									
Ind.	3	2	4	4	2	1	-	-	-	-	-	-									
Ill.	-	11	19	109	2	1	-	-	-	-	-	-									
Mich.	1	3	62	79	61	58	-	-	-	-	-	1									
Wis.	-	-	-	12	-	1	-	-	-	-	-	-									
W.N. CENTRAL	2	3	62	159	30	47	-	1	-	-	1	-									
Minn.	-	-	1	12	1	-	-	-	-	-	-	-									
Iowa	-	-	5	12	-	8	-	-	-	-	-	-									
Mo.	2	3	12	111	23	33	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	1	-	-	-	-	-	-	-									
Nebr.	-	-	17	4	4	4	-	-	-	-	-	-									
Kans.	-	-	27	20	1	2	-	1	-	-	1	-									
S. ATLANTIC	42	42	105	116	66	83	-	2	-	1	3	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	10	20	39	21	12	25	-	2	-	1	3	-									
D.C.	-	-	3	-	2	-	-	-	-	-	-	-									
Va.	3	10	19	23	9	19	-	-	-	-	-	-									
W. Va.	1	1	-	16	1	-	-	-	-	-	-	-									
N.C.	6	3	5	25	26	21	-	-	-	-	-	-									
S.C.	1	1	9	1	-	1	-	-	-	-	-	-									
Ga.	10	6	1	6	1	-	-	-	-	-	-	-									
Fla.	11	1	29	24	15	17	-	-	-	-	-	-									
E.S. CENTRAL	5	8	33	76	34	59	-	-	-	-	-	-									
Ky.	-	5	6	4	3	8	-	-	-	-	-	-									
Tenn.	3	3	15	23	13	26	-	-	-	-	-	-									
Ala.	2	-	12	11	10	4	-	-	-	-	-	-									
Miss.	-	-	-	38	8	21	-	-	-	-	-	-									
W.S. CENTRAL	1	13	64	336	23	74	-	-	-	-	-	-									
Ark.	-	-	13	16	13	8	-	-	-	-	-	-									
La.	-	5	6	14	2	25	-	-	-	-	-	-									
Okla.	1	8	19	51	7	7	U	-	U	-	-	-									
Tex.	-	-	26	255	1	34	-	-	-	-	-	-									
MOUNTAIN	29	23	92	115	36	53	-	-	-	1	1	-									
Mont.	-	-	2	1	-	1	-	-	-	-	-	-									
Idaho	-	1	-	4	-	3	-	-	-	1	1	-									
Wyo.	-	-	1	-	-	-	-	-	-	-	-	-									
Colo.	1	6	6	31	2	15	-	-	-	-	-	-									
N. Mex.	6	8	4	15	13	11	-	-	-	-	-	-									
Ariz.	21	6	54	48	16	19	-	-	-	-	-	-									
Utah	-	1	8	8	-	2	-	-	-	-	-	-									
Nev.	1	1	17	8	5	2	-	-	-	-	-	-									
PACIFIC	8	19	193	467	123	160	-	2	-	-	2	4									
Wash.	-	2	5	9	5	1	-	-	-	-	-	2									
Oreg.	7	4	16	33	17	14	-	2	-	-	2	-									
Calif.	-	5	165	418	100	141	-	-	-	-	-	2									
Alaska	1	1	7	3	1	2	-	-	-	-	-	-									
Hawaii	-	7	-	4	-	2	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	49	1	22	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


