
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2005 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	62	305	1	6	448	585	-	-	-												
NEW ENGLAND	-	7	-	-	17	42	-	-	-												
Maine	-	-	-	-	16	-	-	-	-												
N.H.	-	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	1	42	-	-	-												
Mass.	-	2	-	-	-	-	-	-	-												
R.I.	-	2	-	-	-	-	-	-	-												
Conn.	-	3	-	-	-	-	-	-	-												
MID. ATLANTIC	29	46	-	1	1	3	-	-	-												
Upstate N.Y.	-	1	-	-	-	-	-	-	-												
N.Y. City	29	44	-	-	-	-	-	-	-												
N.J.	-	-	-	1	-	-	-	-	-												
Pa.	-	1	-	-	1	3	-	-	-												
E.N. CENTRAL	7	5	-	1	188	270	-	-	-												
Ohio	5	1	-	1	51	60	-	-	-												
Ind.	2	2	-	-	-	-	-	-	-												
Ill.	-	-	-	-	-	-	-	-	-												
Mich.	-	-	-	-	137	197	-	-	-												
Wis.	-	2	-	-	-	13	-	-	-												
W.N. CENTRAL	8	-	-	-	3	7	-	-	-												
Minn.	-	-	-	-	-	-	-	-	-												
Iowa	-	-	-	-	N	N	-	-	-												
Mo.	8	-	-	-	-	-	-	-	-												
N. Dak.	-	-	-	-	-	6	-	-	-												
S. Dak.	-	-	-	-	3	1	-	-	-												
Nebr.	-	-	-	-	-	-	-	-	-												
Kans.	-	-	-	-	-	-	-	-	-												
S. ATLANTIC	2	41	1	-	56	92	-	-	-												
Del.	-	1	-	-	-	-	-	-	-												
Md.	-	1	-	-	-	-	-	-	-												
D.C.	-	-	-	-	-	-	-	-	-												
Va.	-	-	-	-	-	-	-	-	-												
W. Va.	2	1	-	-	55	89	-	-	-												
N.C.	-	-	1	-	-	-	-	-	-												
S.C.	-	1	-	-	1	3	-	-	-												
Ga.	-	37	-	-	-	-	-	-	-												
Fla.	-	-	-	-	-	-	-	-	-												
E.S. CENTRAL	-	4	-	-	-	-	-	-	-												
Ky.	-	-	-	-	-	-	-	-	-												
Tenn.	-	-	-	-	-	-	-	-	-												
Ala.	-	4	-	-	-	-	-	-	-												
Miss.	-	-	-	-	-	-	-	-	-												
W.S. CENTRAL	1	86	-	3	41	137	-	-	-												
Ark.	1	1	-	-	-	-	-	-	-												
La.	-	-	-	-	-	-	-	-	-												
Okla.	-	4	-	-	-	-	-	-	-												
Tex.	-	81	-	3	41	137	-	-	-												
MOUNTAIN	-	3	-	-	142	34	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	-	-	-	2	7	-	-	-												
Colo.	-	1	-	-	118	-	-	-	-												
N. Mex.	-	1	-	-	-	2	-	-	-												
Ariz.	-	-	-	-	-	-	-	-	-												
Utah	-	1	-	-	22	25	-	-	-												
Nev.	-	-	-	-	-	-	-	-	-												
PACIFIC	15	113	-	1	-	-	-	-	-												
Wash.	10	6	-	-	-	-	-	-	-												
Oreg.	1	2	-	-	-	-	-	-	-												
Calif.	-	101	-	1	-	-	-	-	-												
Alaska	-	-	-	-	-	-	-	-	-												
Hawaii	4	4	-	-	-	-	-	-	-												
Guam	-	4	-	-	-	9	-	-	-												
P.R.	-	-	-	-	-	14	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


