
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 29, 2003 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	344	490	2	4	54	87	7	6	1,263	2,486											
NEW ENGLAND	27	38	-	-	2	4	1	2	42	101											
Maine	2	1	-	-	1	-	-	-	3	4											
N.H.	5	4	-	-	-	-	-	-	3	5											
Vt.	4	3	-	-	-	-	-	-	1	-											
Mass.	10	20	-	-	1	2	1	2	25	52											
R.I.	-	-	-	-	-	-	-	-	2	4											
Conn.	6	10	-	-	-	2	-	-	8	36											
MID. ATLANTIC	52	92	-	1	9	14	1	-	151	270											
Upstate N.Y.	25	38	-	1	7	7	-	-	24	46											
N.Y. City	7	21	-	-	2	4	-	-	81	112											
N.J.	9	27	-	-	-	3	-	-	27	53											
Pa.	11	6	-	-	-	-	1	-	19	59											
E.N. CENTRAL	30	84	1	1	5	13	-	-	139	307											
Ohio	16	33	-	-	4	3	-	-	34	80											
Ind.	8	13	-	-	1	4	-	-	6	12											
Ill.	1	34	-	-	-	6	-	-	40	112											
Mich.	5	4	1	1	-	-	-	-	50	62											
Wis.	-	-	-	-	-	-	-	-	9	41											
W.N. CENTRAL	26	13	-	-	4	1	2	2	38	97											
Minn.	12	10	-	-	4	1	-	1	4	11											
Iowa	-	1	-	-	-	-	-	-	11	21											
Mo.	8	2	-	-	-	-	2	1	8	20											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	1	-	-	-	-	-	-	-	-	2											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	5	-	-	-	-	-	-	-	11	37											
S. ATLANTIC	85	112	-	-	7	22	-	-	369	675											
Del.	-	-	-	-	-	-	-	-	3	6											
Md.	18	29	-	-	1	-	-	-	44	85											
D.C.	-	-	-	-	-	-	-	-	4	24											
Va.	9	9	-	-	3	2	-	-	21	16											
W. Va.	3	1	-	-	-	-	-	-	4	6											
N.C.	5	11	-	-	-	1	-	-	22	90											
S.C.	1	3	-	-	-	1	-	-	12	13											
Ga.	18	35	-	-	2	12	-	-	141	124											
Fla.	31	24	-	-	1	6	-	-	118	311											
E.S. CENTRAL	31	22	-	1	5	5	-	-	37	91											
Ky.	2	2	-	-	-	-	-	-	7	23											
Tenn.	16	11	-	-	3	3	-	-	17	37											
Ala.	11	5	-	1	1	2	-	-	9	9											
Miss.	2	4	-	-	1	-	-	-	4	22											
W.S. CENTRAL	19	22	-	1	2	4	-	-	58	191											
Ark.	3	1	-	-	-	-	-	-	2	13											
La.	4	2	-	-	-	-	-	-	7	12											
Okla.	12	18	-	-	2	4	-	-	4	11											
Tex.	-	1	-	1	-	-	-	-	45	155											
MOUNTAIN	55	57	1	-	14	11	2	1	97	173											
Mont.	-	-	-	-	-	-	-	-	1	5											
Idaho	-	1	-	-	-	-	-	-	-	12											
Wyo.	-	1	-	-	-	-	-	-	-	2											
Colo.	12	13	-	-	4	2	-	-	8	23											
N. Mex.	7	13	-	-	3	4	1	-	5	4											
Ariz.	29	18	1	-	5	3	-	-	64	90											
Utah	5	8	-	-	2	1	-	-	7	16											
Nev.	2	3	-	-	-	1	1	1	12	21											
PACIFIC	19	50	-	-	6	13	1	1	332	581											
Wash.	3	-	-	-	2	-	1	-	13	37											
Oreg.	12	25	-	-	3	4	-	-	21	31											
Calif.	1	14	-	-	1	7	-	1	292	496											
Alaska	-	1	-	-	-	1	-	-	3	6											
Hawaii	3	10	-	-	-	1	-	-	3	11											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	2	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


