
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 7, 1998 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	521	749	6	61	79	64	566	793	27	55	6										
NEW ENGLAND	35	46	-	-	3	7	119	255	-	9	-										
Maine	3	4	-	-	-	-	4	4	-	-	-										
N.H.	1	4	-	-	-	-	11	31	-	-	-										
Vt.	1	2	-	-	-	1	16	85	-	-	-										
Mass.	14	29	-	-	1	6	85	127	-	-	-										
R.I.	3	1	-	-	1	-	-	7	-	-	-										
Conn.	13	6	-	-	1	-	3	1	-	9	-										
MID. ATLANTIC	38	63	1	2	9	9	47	54	25	37	2										
Upstate N.Y.	16	12	1	2	1	9	47	22	25	37	-										
N.Y. City	7	15	-	-	1	-	-	15	-	-	2										
N.J.	15	10	-	-	2	-	-	5	-	-	-										
Pa.	-	26	-	-	5	-	-	12	-	-	-										
E.N. CENTRAL	67	100	-	9	10	4	58	89	-	-	3										
Ohio	40	39	-	6	3	2	31	40	-	-	-										
Ind.	8	10	-	-	2	-	4	2	-	-	-										
Ill.	-	32	-	-	2	1	1	12	-	-	-										
Mich.	10	7	-	3	2	1	14	18	-	-	-										
Wis.	9	12	-	-	1	-	8	17	-	-	3										
W.N. CENTRAL	41	62	4	5	3	6	43	31	-	-	-										
Minn.	-	2	3	4	1	4	27	18	-	-	-										
Iowa	8	11	1	1	2	1	9	6	-	-	-										
Mo.	21	34	-	-	-	1	5	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	1	-	-	-										
S. Dak.	4	3	-	-	-	-	-	1	-	-	-										
Nebr.	1	3	-	-	-	-	2	2	-	-	-										
Kans.	7	9	-	-	-	-	-	3	-	-	-										
S. ATLANTIC	118	135	-	15	11	7	54	70	-	2	-										
Del.	1	3	-	-	-	-	-	-	-	-	-										
Md.	14	12	-	2	-	1	8	42	-	-	-										
D.C.	-	3	-	-	-	-	-	2	-	-	-										
Va.	11	8	-	2	1	-	-	7	-	-	-										
W. Va.	3	5	-	-	-	-	-	3	-	-	-										
N.C.	18	28	-	5	4	5	30	10	-	1	-										
S.C.	10	28	-	3	1	-	5	3	-	1	-										
Ga.	31	19	-	-	2	-	-	2	-	-	-										
Fla.	30	29	-	3	3	1	11	1	-	-	-										
E.S. CENTRAL	19	63	-	-	7	1	13	21	-	-	-										
Ky.	-	14	-	-	-	-	-	6	-	-	-										
Tenn.	19	22	-	-	2	1	4	4	-	-	-										
Ala.	-	20	-	-	2	-	9	6	-	-	-										
Miss.	-	7	-	-	3	-	-	5	-	-	-										
W.S. CENTRAL	30	50	-	11	7	2	17	11	1	2	-										
Ark.	5	11	-	-	-	-	8	2	-	-	-										
La.	10	13	-	-	-	-	-	1	-	-	-										
Okla.	15	7	-	-	-	-	-	-	-	-	-										
Tex.	-	19	-	11	7	2	9	8	1	2	-										
MOUNTAIN	43	44	-	4	4	10	160	149	1	5	-										
Mont.	2	3	-	-	-	-	1	-	-	-	-										
Idaho	1	3	-	-	-	3	93	88	-	-	-										
Wyo.	3	-	-	1	-	-	-	3	-	-	-										
Colo.	11	4	-	-	1	2	14	44	-	-	-										
N. Mex.	7	10	N	N	N	1	39	8	-	1	-										
Ariz.	16	12	-	1	-	3	6	5	1	1	-										
Utah	2	6	-	-	1	1	5	-	-	2	-										
Nev.	1	6	-	2	2	-	2	1	-	1	-										
PACIFIC	130	186	1	15	25	18	55	113	-	-	1										
Wash.	20	17	1	1	3	18	47	35	-	-	-										
Oreg.	30	47	N	N	N	-	8	4	-	-	-										
Calif.	77	121	-	8	18	-	-	69	-	-	1										
Alaska	1	-	-	2	-	-	-	1	-	-	-										
Hawaii	2	1	-	4	4	-	-	4	-	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	3	-	-	3	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


