
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 6, 2012 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	8	11	66	772	703	3	21	64	602	2,156	1	2	12	108	125						
NEW ENGLAND	-	0	2	20	3	-	5	19	225	384	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	10	73	134	-	0	0	-	-						
Maine	-	0	2	4	1	-	1	4	42	14	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	158	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	45	17	-	0	0	-	1						
R.I.	-	0	2	14	1	-	0	11	55	58	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	10	3	-	0	0	-	-						
MID. ATLANTIC	2	1	5	32	92	2	7	44	269	319	-	0	2	6	19						
N.J.	-	0	2	-	51	-	0	8	-	82	-	0	1	-	6						
N.Y. (Upstate)	2	0	3	16	37	2	4	41	240	201	-	0	2	6	7						
N.Y. City	-	0	3	16	4	-	0	4	29	30	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	24	40	-	0	13	9	634	1	1	8	71	51						
Ill.	-	0	4	21	24	-	0	1	7	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	7	63	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	7	-	0	1	1	1						
Wis.	-	0	1	-	6	-	0	13	1	616	-	0	2	1	27						
W.N. CENTRAL	-	2	32	255	168	-	1	12	33	741	-	0	4	13	24						
