
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 13, 1998 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,346	1,828	10	218	309	78	1,855	2,357	2	226	56										
NEW ENGLAND	66	113	-	-	7	8	307	514	-	32	-										
Maine	4	11	-	-	-	-	5	6	-	-	-										
N.H.	4	11	-	-	-	-	23	61	-	-	-										
Vt.	1	2	-	-	-	-	30	164	-	-	-										
Mass.	31	61	-	-	2	8	240	261	-	6	-										
R.I.	3	7	-	-	4	-	3	12	-	-	-										
Conn.	23	21	-	-	1	-	6	10	-	26	-										
MID. ATLANTIC	136	182	3	14	34	10	246	185	2	108	13										
Upstate N.Y.	34	43	-	3	5	3	117	63	2	103	2										
N.Y. City	15	32	-	4	1	-	4	45	-	2	11										
N.J.	36	35	-	-	6	-	5	11	-	2	-										
Pa.	51	72	3	7	22	7	120	66	-	1	-										
E.N. CENTRAL	197	265	3	39	36	9	174	225	-	-	3										
Ohio	79	100	2	19	13	3	66	65	-	-	-										
Ind.	25	31	-	3	4	1	48	27	-	-	-										
Ill.	47	82	-	1	8	4	14	28	-	-	-										
Mich.	25	27	1	16	10	1	29	30	-	-	-										
Wis.	21	25	-	-	1	-	17	75	-	-	3										
W.N. CENTRAL	106	128	-	19	8	1	141	133	-	3	-										
Minn.	16	17	-	10	3	-	79	84	-	-	-										
Iowa	15	25	-	5	4	1	35	7	-	-	-										
Mo.	46	63	-	3	-	-	12	21	-	2	-										
N. Dak.	-	1	-	1	-	-	-	2	-	-	-										
S. Dak.	6	4	U	-	-	U	4	1	U	-	-										
Nebr.	4	5	-	-	1	-	5	3	-	-	-										
Kans.	19	13	U	-	-	U	6	15	U	1	-										
S. ATLANTIC	237	309	1	31	35	5	117	194	-	5	17										
Del.	1	4	-	-	-	-	1	-	-	-	-										
Md.	22	31	-	-	1	3	25	73	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	21	30	-	4	4	-	6	19	-	-	1										
W. Va.	7	12	-	-	-	-	1	4	-	-	-										
N.C.	31	55	-	7	7	-	42	46	-	3	10										
S.C.	36	37	-	4	9	-	13	9	-	-	6										
Ga.	50	58	-	1	5	1	3	6	-	-	-										
Fla.	69	77	1	15	9	1	25	35	-	2	-										
E.S. CENTRAL	101	130	-	-	18	3	48	42	-	-	-										
Ky.	16	34	-	-	2	-	18	11	-	-	-										
Tenn.	39	41	-	-	3	3	17	13	-	-	-										
Ala.	46	38	-	-	6	-	13	12	-	-	-										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	149	186	1	31	35	8	122	70	-	60	3										
Ark.	22	25	-	-	-	-	15	4	-	-	-										
La.	35	33	-	2	7	1	1	11	-	-	-										
Okla.	26	22	-	-	-	-	13	8	-	-	-										
Tex.	66	106	1	29	28	7	93	47	-	60	3										
MOUNTAIN	78	110	1	21	41	26	415	618	-	5	4										
Mont.	2	8	-	-	-	-	1	7	-	-	-										
Idaho	3	7	-	3	2	13	178	408	-	-	1										
Wyo.	3	-	-	1	1	-	7	4	-	-	-										
Colo.	18	31	1	4	3	7	77	144	-	-	-										
N. Mex.	13	19	N	N	N	-	61	32	-	1	-										
Ariz.	28	23	-	4	25	2	61	11	-	1	3										
Utah	8	11	U	3	5	U	19	4	U	2	-										
Nev.	3	11	-	6	5	4	11	8	-	1	-										
PACIFIC	276	405	1	63	95	8	285	376	-	13	16										
Wash.	35	50	-	5	12	1	131	163	-	9	3										
Oreg.	51	84	N	N	N	1	17	23	-	-	-										
Calif.	185	268	1	43	67	6	132	179	-	2	7										
Alaska	1	1	-	2	5	-	-	2	-	-	-										
Hawaii	4	2	U	13	11	U	5	9	U	2	6										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	4	9	-	1	4	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	4	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


