
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 8, 2005 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	30,659	703,312	707,649	3,489	4,456	5,230	2,810													
NEW ENGLAND	778	974	24,823	23,489	-	-	250	148													
Maine	11	20	1,712	1,584	N	N	18	17													
N.H.	20	36	1,430	1,322	-	-	26	27													
Vt.	4	14	727	863	-	-	32	21													
Mass.	368	337	11,226	10,383	-	-	104	53													
R.I.	68	109	2,526	2,652	-	-	7	4													
Conn.	307	458	7,202	6,685	N	N	63	26													
MID. ATLANTIC	4,352	6,898	88,114	86,924	-	-	2,241	412													
Upstate N.Y.	800	772	17,425	17,519	N	N	1,909	98													
N.Y. City	2,327	3,892	28,047	26,933	-	-	85	109													
N.J.	574	1,143	13,778	13,737	N	N	41	39													
Pa.	651	1,091	28,864	28,735	N	N	206	166													
E.N. CENTRAL	1,938	2,673	113,777	125,433	7	12	1,149	871													
Ohio	312	504	30,978	31,065	N	N	643	187													
Ind.	236	285	15,394	14,285	N	N	55	66													
Ill.	983	1,267	34,011	36,716	-	-	84	137													
Mich.	322	485	18,976	28,764	7	12	75	125													
Wis.	85	132	14,418	14,603	N	N	292	356													
W.N. CENTRAL	463	626	43,601	43,515	5	6	470	322													
Minn.	123	148	8,631	9,113	3	N	101	107													
Iowa	50	50	5,412	5,325	N	N	91	66													
Mo.	198	267	17,222	16,041	1	3	216	59													
N. Dak.	5	15	900	1,403	N	N	1	10													
S. Dak.	10	8	2,148	1,932	-	-	23	33													
Nebr.	18	44	3,943	3,994	1	3	6	24													
Kans.	59	94	5,345	5,707	N	N	32	23													
S. ATLANTIC	6,473	9,345	136,704	132,879	1	-	523	425													
Del.	100	118	2,572	2,222	N	N	3	-													
Md.	812	1,251	14,176	14,618	1	-	30	16													
D.C.	467	621	2,944	2,731	-	-	9	13													
Va.	307	506	16,434	17,241	-	-	48	48													
W. Va.	36	63	2,057	2,189	N	N	12	5													
N.C.	531	471	24,902	22,366	N	N	69	65													
S.C.	386	534	17,055	14,395	-	-	14	20													
Ga.	1,103	1,298	23,530	25,050	-	-	95	150													
Fla.	2,731	4,483	33,034	32,067	N	N	243	108													
E.S. CENTRAL	1,093	1,515	52,051	46,020	-	5	159	114													
Ky.	135	183	6,707	4,384	N	N	111	36													
Tenn.	434	617	18,603	17,222	N	N	29	31													
Ala.	295	350	11,132	10,474	-	-	16	21													
Miss.	229	365	15,609	13,940	-	5	3	26													
W.S. CENTRAL	2,206	3,548	80,523	86,614	1	3	95	93													
Ark.	72	175	6,699	6,194	-	1	4	13													
La.	436	704	12,572	17,370	1	2	3	3													
Okla.	167	147	8,634	8,525	N	N	36	17													
Tex.	1,531	2,522	52,618	54,525	N	N	52	60													
MOUNTAIN	789	1,126	40,834	43,088	2,411	2,767	101	142													
Mont.	4	5	1,488	1,912	N	N	16	34													
Idaho	9	16	1,826	2,138	N	N	9	21													
Wyo.	2	14	873	804	3	2	2	3													
Colo.	163	247	10,553	10,970	N	N	37	49													
N. Mex.	72	148	4,288	6,963	9	20	3	14													
Ariz.	329	403	13,656	12,443	2,363	2,680	10	15													
Utah	33	51	3,249	2,863	5	19	15	4													
Nev.	177	242	4,901	4,995	31	46	9	2													
PACIFIC	2,313	3,954	122,885	119,687	1,064	1,663	242	283													
Wash.	229	309	14,211	13,544	N	N	39	33													
Oreg.	136	236	6,327	6,325	-	-	58	29													
Calif.	1,874	3,283	96,567	92,643	1,064	1,663	141	219													
Alaska	14	32	3,071	2,974	-	-	3	-													
Hawaii	60	94	2,709	4,201	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	594	2,901	2,668	N	N	N	N													
V.I.	10	10	119	274	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


