
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 31, 2005 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	30,568	43,320	906,387	929,462	5,145	6,450	7,595	3,636													
NEW ENGLAND	1,141	1,410	31,051	31,222	-	-	336	171													
Maine	19	60	2,254	2,113	N	N	27	22													
N.H.	26	42	1,847	1,736	-	-	35	30													
Vt.	7	16	939	1,137	-	-	39	25													
Mass.	561	522	14,210	13,242	-	-	144	59													
R.I.	105	132	3,103	3,442	-	-	13	4													
Conn.	423	638	8,698	9,552	N	N	78	31													
MID. ATLANTIC	6,597	11,116	115,286	114,570	-	-	3,529	579													
Upstate N.Y.	891	2,071	23,395	24,719	N	N	3,060	185													
N.Y. City	3,522	5,574	37,282	34,378	-	-	132	138													
N.J.	956	1,847	17,601	17,448	N	N	66	46													
Pa.	1,228	1,624	37,008	38,025	N	N	271	210													
E.N. CENTRAL	2,929	3,484	151,821	165,467	11	15	1,569	1,049													
Ohio	518	649	40,477	39,379	N	N	774	224													
Ind.	348	392	18,976	18,440	N	N	86	79													
Ill.	1,504	1,613	45,784	47,185	-	-	147	161													
Mich.	439	654	28,658	41,246	11	15	109	157													
Wis.	120	176	17,926	19,217	N	N	453	428													
W.N. CENTRAL	690	881	55,664	56,950	5	6	579	431													
Minn.	176	217	10,415	11,602	3	N	148	147													
Iowa	72	63	7,244	6,956	N	N	108	90													
Mo.	299	390	22,245	21,319	1	3	247	78													
N. Dak.	9	17	1,177	1,810	N	N	1	12													
S. Dak.	13	12	2,710	2,532	-	-	30	44													
Nebr.	27	69	4,976	5,238	1	3	9	29													
Kans.	94	113	6,897	7,493	N	N	36	31													
S. ATLANTIC	9,183	12,749	168,156	175,016	2	-	736	540													
Del.	134	157	3,392	2,954	N	N	6	-													
Md.	1,370	1,451	18,145	19,952	2	-	41	26													
D.C.	474	991	3,728	3,493	-	-	18	16													
Va.	441	795	19,501	21,635	-	-	66	66													
W. Va.	51	92	2,716	2,758	N	N	18	6													
N.C.	636	1,129	29,835	28,967	N	N	92	76													
S.C.	413	749	19,661	18,423	-	-	19	24													
Ga.	1,701	1,621	28,479	34,280	-	-	126	177													
Fla.	3,963	5,764	42,699	42,554	N	N	350	149													
E.S. CENTRAL	1,546	1,948	68,020	61,162	-	5	214	151													
Ky.	198	240	8,351	6,470	N	N	146	47													
Tenn.	675	775	23,450	22,515	N	N	40	49													
Ala.	385	465	16,148	13,314	-	-	24	25													
Miss.	288	468	20,071	18,863	-	5	4	30													
W.S. CENTRAL	3,543	4,689	102,370	110,299	2	3	183	150													
Ark.	173	185	8,524	7,864	-	1	6	16													
La.	650	1,005	14,838	21,837	2	2	82	7													
Okla.	229	195	10,201	10,366	N	N	43	22													
Tex.	2,491	3,304	68,807	70,232	N	N	52	105													
MOUNTAIN	1,172	1,489	52,159	56,993	3,539	3,780	135	171													
Mont.	15	7	2,153	2,608	N	N	23	34													
Idaho	15	19	2,757	2,784	N	N	15	28													
Wyo.	3	18	1,148	1,082	5	2	3	4													
Colo.	260	329	13,023	14,151	N	N	49	59													
N. Mex.	115	183	5,502	9,035	14	22	11	21													
Ariz.	473	557	17,562	16,786	3,479	3,668	11	17													
Utah	55	73	4,347	3,857	9	26	14	6													
Nev.	236	303	5,667	6,690	32	62	9	2													
PACIFIC	3,767	5,554	161,860	157,783	1,586	2,641	314	394													
Wash.	352	442	18,137	17,635	N	N	49	63													
Oreg.	193	277	9,032	8,690	-	-	67	32													
Calif.	3,105	4,645	125,663	122,197	1,586	2,641	194	297													
Alaska	25	55	3,790	3,954	-	-	3	-													
Hawaii	92	135	5,238	5,307	-	-	1	2													
Guam	2	1	-	803	-	-	-	-													
P.R.	814	909	3,725	3,618	N	N	N	N													
V.I.	10	20	196	339	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


