
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 28, 2004 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	1,427	1,331	191	154	101	89	10,454	11,149	198,473	210,768											
NEW ENGLAND	88	92	31	29	19	10	850	844	4,521	4,509											
Maine	5	6	-	-	-	-	73	106	154	130											
N.H.	10	13	5	3	-	-	18	26	64	73											
Vt.	8	11	-	-	1	-	99	65	56	54											
Mass.	39	36	6	7	18	10	408	415	2,084	1,759											
R.I.	6	1	1	-	-	-	68	74	562	610											
Conn.	20	25	19	19	-	-	184	158	1,601	1,883											
MID. ATLANTIC	149	156	21	16	17	18	2,265	2,279	22,605	26,405											
Upstate N.Y.	69	55	11	8	7	7	803	600	4,804	4,799											
N.Y. City	26	6	-	-	-	-	605	744	6,892	8,731											
N.J.	22	21	3	2	4	-	231	325	4,031	5,446											
Pa.	32	74	7	6	6	11	626	610	6,878	7,429											
E.N. CENTRAL	269	295	24	24	13	11	1,496	1,954	39,327	44,213											
Ohio	63	51	8	12	11	11	516	529	10,901	14,283											
Ind.	35	53	-	-	-	-	-	-	4,198	4,158											
Ill.	44	56	1	2	-	-	312	601	11,312	13,706											
Mich.	54	46	5	-	2	-	434	448	10,068	8,358											
Wis.	73	89	10	10	-	-	234	376	2,848	3,708											
W.N. CENTRAL	329	220	21	28	16	15	1,195	1,124	10,715	11,124											
Minn.	76	69	10	14	2	1	438	429	2,055	1,876											
Iowa	91	48	-	-	-	-	179	149	649	862											
Mo.	55	52	11	7	6	1	291	310	5,481	5,556											
N. Dak.	12	7	-	3	6	5	18	28	72	51											
S. Dak.	26	13	-	3	-	-	40	28	174	130											
Nebr.	49	15	-	1	-	-	89	74	644	954											
Kans.	20	16	-	-	2	8	140	106	1,640	1,695											
S. ATLANTIC	111	93	22	31	26	21	1,687	1,660	50,586	51,802											
Del.	2	5	N	N	N	N	32	24	586	767											
Md.	20	6	3	2	2	1	76	70	5,276	5,016											
D.C.	1	1	-	-	-	-	37	28	1,587	1,594											
Va.	25	25	9	5	-	-	312	222	5,816	5,846											
W. Va.	2	3	-	-	-	-	22	25	598	558											
N.C.	-	-	-	-	16	17	N	N	9,890	9,717											
S.C.	6	-	-	-	-	-	33	76	6,286	4,989											
Ga.	17	20	6	5	-	-	457	537	8,977	11,307											
Fla.	38	33	4	19	8	3	718	678	11,570	12,008											
E.S. CENTRAL	52	52	1	1	8	5	179	216	15,902	17,790											
Ky.	19	17	1	1	5	5	N	N	1,623	2,314											
Tenn.	15	22	-	-	3	-	82	101	5,402	5,292											
Ala.	11	10	-	-	-	-	97	115	4,810	5,995											
Miss.	7	3	-	-	-	-	-	-	4,067	4,189											
W.S. CENTRAL	67	55	57	4	2	4	179	186	26,701	28,665											
Ark.	10	6	1	-	-	-	73	100	2,433	2,714											
La.	2	3	-	-	-	-	19	8	6,462	7,807											
Okla.	13	16	-	-	-	-	84	78	3,128	2,964											
Tex.	42	30	56	4	2	4	3	-	14,678	15,180											
MOUNTAIN	141	170	13	19	-	5	944	917	6,826	6,794											
Mont.	12	10	-	-	-	-	39	58	41	71											
Idaho	32	37	6	14	-	-	110	110	55	46											
Wyo.	4	2	1	-	-	-	15	14	39	30											
Colo.	37	45	2	3	-	5	335	269	1,735	1,876											
N. Mex.	7	6	1	2	-	-	48	33	435	786											
Ariz.	14	22	N	N	N	N	127	149	2,569	2,523											
Utah	25	31	2	-	-	-	193	202	354	228											
Nev.	10	17	1	-	-	-	77	82	1,598	1,234											
PACIFIC	221	198	1	2	-	-	1,659	1,969	21,290	19,466											
Wash.	80	48	-	1	-	-	216	181	1,705	1,758											
Oreg.	41	49	1	1	-	-	281	254	683	641											
Calif.	91	96	-	-	-	-	1,067	1,425	18,118	15,962											
Alaska	1	1	-	-	-	-	44	53	383	349											
Hawaii	8	4	-	-	-	-	51	56	401	756											
Guam	N	N	-	-	-	-	-	2	-	44											
P.R.	-	1	-	-	-	-	35	163	135	178											
V.I.	-	-	-	-	-	-	-	-	49	58											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


