
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2009 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	59	52	105	362	491	13	8	23	43	51	66	242	433	1,008	1,292						
NEW ENGLAND	-	1	48	3	9	-	0	5	-	1	10	5	14	39	27						
Conn.	-	0	48	-	-	-	0	5	-	-	2	0	4	6	-						
Maine	-	0	2	-	2	-	0	1	-	-	1	0	2	1	-						
Mass.	-	0	0	-	-	-	0	0	-	-	7	4	11	28	24						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	4	1						
R.I.	-	0	2	-	3	-	0	1	-	-	-	0	5	-	2						
Vt.	-	0	2	3	4	-	0	1	-	1	-	0	2	-	-						
MID. ATLANTIC	-	4	13	11	41	-	0	2	1	2	6	33	52	173	200						
N.J.	-	0	0	-	-	-	0	0	-	-	3	4	10	19	33						
N.Y. (Upstate)	-	1	6	3	6	-	0	1	1	-	3	2	7	7	6						
N.Y. City	-	1	5	-	15	-	0	0	-	-	-	21	36	124	120						
Pa.	-	1	9	8	20	-	0	2	-	2	-	5	12	23	41						
E.N. CENTRAL	14	11	41	63	128	3	2	7	8	18	16	16	239	116	91						
Ill.	-	0	7	-	44	-	0	2	-	9	-	1	230	18	21						
Ind.	-	2	31	-	20	-	0	5	-	1	5	3	10	17	12						
Mich.	-	0	3	3	4	-	0	1	-	1	6	3	18	31	13						
Ohio	14	7	18	60	60	3	1	4	8	7	5	6	14	45	39						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	3	5	6						
W.N. CENTRAL	1	2	9	10	40	1	0	2	4	1	-	7	14	28	55						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	-	-						
Kans.	1	1	5	3	16	1	0	1	3	1	-	0	5	1	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	6	14						
Mo.	-	1	4	7	24	-	0	1	1	-	-	4	10	19	40						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
S. ATLANTIC	41	22	53	228	190	8	4	14	23	19	19	55	139	236	200						
Del.	1	0	1	2	-	-	0	0	-	-	-	0	4	6	-						
D.C.	-	0	3	-	4	-	0	1	-	-	-	2	9	24	14						
Fla.	31	14	30	141	114	6	2	13	13	15	-	19	37	82	89						
Ga.	9	7	23	72	62	2	1	5	10	3	5	13	117	20	6						
Md.	-	0	2	1	2	-	0	0	-	1	-	7	14	10	23						
N.C.	N	0	0	N	N	N	0	0	N	N	14	5	19	64	30						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	9	14						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	21	24						
W. Va.	-	1	9	12	8	-	0	2	-	-	-	0	1	-	-						
E.S. CENTRAL	2	5	20	30	56	-	1	4	4	3	6	21	37	107	120						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	31	56						
