
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 21, 2002 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	961	597	13	21	3	3	40,516	39,175													
NEW ENGLAND	10	3	-	-	-	-	2,135	2,291													
Maine	-	-	-	-	-	-	146	165													
N.H.	-	1	-	-	-	-	137	163													
Vt.	-	-	-	-	-	-	75	81													
Mass.	6	2	-	-	-	-	1,168	1,314													
R.I.	4	-	-	-	-	-	171	139													
Conn.	-	-	-	-	-	-	438	429													
MID. ATLANTIC	40	32	1	8	-	-	5,122	5,146													
Upstate N.Y.	9	2	1	1	-	-	1,539	1,230													
N.Y. City	9	2	-	6	-	-	1,439	1,303													
N.J.	2	9	-	1	-	-	757	1,163													
Pa.	20	19	-	-	-	-	1,387	1,450													
E.N. CENTRAL	19	16	1	2	-	1	5,158	4,927													
Ohio	13	2	-	-	-	1	1,371	1,343													
Ind.	3	1	-	-	-	-	508	520													
Ill.	-	12	-	2	-	-	1,556	1,366													
Mich.	3	1	1	-	-	-	866	876													
Wis.	-	-	-	-	-	-	857	822													
W.N. CENTRAL	100	68	-	3	-	-	2,617	2,290													
Minn.	-	-	-	-	-	-	599	637													
Iowa	3	2	-	1	-	-	516	334													
Mo.	92	62	-	1	-	-	865	634													
N. Dak.	-	1	-	-	-	-	43	62													
S. Dak.	1	2	-	-	-	-	108	147													
Nebr.	4	1	-	-	-	-	150	164													
Kans.	-	-	-	1	-	-	336	312													
S. ATLANTIC	494	305	6	5	-	1	11,111	9,402													
Del.	4	12	1	-	-	-	95	94													
Md.	56	39	-	1	-	-	939	793													
D.C.	2	1	-	-	-	-	76	81													
Va.	42	31	-	-	-	1	1,228	1,301													
W. Va.	2	1	-	-	-	-	152	141													
N.C.	285	177	-	-	-	-	1,574	1,368													
S.C.	69	31	-	2	-	-	809	876													
Ga.	19	9	-	-	-	-	1,694	1,696													
Fla.	15	4	5	2	-	-	4,544	3,052													
E.S. CENTRAL	113	119	-	-	1	-	3,247	2,690													
Ky.	5	2	-	-	-	-	396	372													
Tenn.	84	83	-	-	1	-	839	661													
Ala.	20	18	-	-	-	-	872	746													
Miss.	4	16	-	-	-	-	1,140	911													
W.S. CENTRAL	163	42	1	1	1	-	3,554	4,972													
Ark.	97	9	-	-	-	-	1,047	908													
La.	-	2	-	-	1	-	805	823													
Okla.	61	31	-	-	-	-	505	475													
Tex.	5	-	1	1	-	-	1,197	2,766													
MOUNTAIN	14	11	1	-	-	-	2,344	2,198													
Mont.	1	1	-	-	-	-	89	78													
Idaho	-	1	-	-	-	-	169	143													
Wyo.	5	2	-	-	-	-	105	61													
Colo.	2	2	-	-	-	-	598	586													
N. Mex.	1	1	-	-	-	-	320	279													
Ariz.	-	-	-	-	-	-	681	637													
Utah	-	3	1	-	-	-	199	218													
Nev.	5	1	-	-	-	-	183	196													
PACIFIC	8	1	3	2	1	1	5,228	5,259													
Wash.	-	-	-	-	-	-	493	545													
Oreg.	3	1	-	-	-	-	344	274													
Calif.	5	-	3	1	-	-	4,041	4,039													
Alaska	-	-	-	-	-	-	79	49													
Hawaii	-	-	-	1	1	1	271	352													
Guam	-	-	-	-	-	-	-	24													
P.R.	-	-	-	3	-	-	201	914													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


