
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2000 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	47,528	62,629	301	590	92	153	476	746													
NEW ENGLAND	1,132	1,301	-	2	5	11	60	153													
Maine	12	9	-	-	2	2	-	1													
N.H.	13	15	-	-	1	1	15	-													
Vt.	4	11	-	1	-	3	-	-													
Mass.	431	514	-	1	1	2	38	72													
R.I.	87	98	-	-	-	1	-	-													
Conn.	585	654	-	-	1	2	7	80													
MID. ATLANTIC	1,212	7,561	3	21	15	40	335	429													
Upstate N.Y.	648	806	3	11	6	8	115	85													
N.Y. City	-	3,216	-	-	-	7	2	15													
N.J.	302	1,280	-	-	-	5	-	100													
Pa.	262	2,259	-	10	9	20	218	229													
E.N. CENTRAL	8,749	10,859	48	316	27	47	2	25													
Ohio	1,837	2,881	-	-	16	14	2	8													
Ind.	931	1,173	-	-	3	1	-	-													
Ill.	2,179	3,343	3	6	1	10	-	1													
Mich.	2,987	2,519	45	91	6	13	-	1													
Wis.	815	943	-	219	1	9	U	15													
W.N. CENTRAL	1,455	3,499	43	39	4	4	13	9													
Minn.	404	520	-	-	1	-	2	1													
Iowa	121	144	-	-	1	2	-	2													
Mo.	367	2,112	38	34	2	1	3	2													
N. Dak.	-	9	-	-	-	-	-	1													
S. Dak.	45	30	-	-	-	-	-	-													
Nebr.	141	301	1	1	-	1	-	-													
Kans.	377	383	4	4	-	-	8	3													
S. ATLANTIC	10,795	19,133	11	36	21	18	48	91													
Del.	260	302	-	-	1	2	1	4													
Md.	455	2,839	2	18	6	2	37	74													
D.C.	427	1,310	-	-	-	-	-	1													
Va.	1,446	2,009	-	6	3	2	1	-													
W. Va.	50	115	1	2	N	N	3	1													
N.C.	3,097	3,540	5	8	2	4	4	11													
S.C.	574	2,150	-	1	2	4	-	-													
Ga.	1,810	3,171	-	1	-	-	-	-													
Fla.	2,676	3,697	3	-	7	4	2	-													
E.S. CENTRAL	5,277	6,121	51	41	2	9	-	11													
Ky.	611	667	5	5	-	5	-	-													
Tenn.	1,469	2,016	15	22	1	4	-	3													
Ala.	1,817	2,267	3	1	1	-	-	5													
Miss.	1,380	1,171	28	13	-	-	-	3													
W.S. CENTRAL	14,591	8,163	68	62	-	1	-	-													
Ark.	319	408	1	2	-	-	-	-													
La.	9,531	1,453	31	47	-	1	-	-													
Okla.	594	785	-	1	-	-	-	-													
Tex.	4,147	5,517	36	12	-	-	-	-													
MOUNTAIN	1,420	1,706	46	46	8	12	1	1													
Mont.	-	3	-	4	-	-	-	-													
Idaho	4	23	-	4	1	-	-	-													
Wyo.	12	6	31	17	-	-	-	-													
Colo.	648	372	7	4	4	1	-	-													
N. Mex.	62	180	4	6	-	1	-	1													
Ariz.	440	853	4	10	-	1	1	-													
Utah	52	34	-	1	3	5	-	-													
Nev.	202	235	-	-	-	4	-	-													
PACIFIC	2,897	4,286	31	27	10	11	17	27													
Wash.	411	367	3	2	2	2	-	-													
Oreg.	56	141	7	3	N	N	1	1													
Calif.	2,401	3,620	21	22	8	9	16	26													
Alaska	29	62	-	-	-	-	-	-													
Hawaii	-	96	-	-	-	-	N	N													
Guam	-	15	-	-	-	-	-	-													
P.R.	30	54	1	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


