
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 20, 1998 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1998*
AIDS § cummulative for 1997
Chlamydia† cummulative for 1998
Chlamydia† cummulative for 1997
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1998
Gonorrhea cummulative for 1998
Gonorrhea cummulative for 1997
Hepatitis C/NA,NB cummulative for 1998
Hepatitis C/NA,NB cummulative for 1997

tab delimited data:
test
UNITED STATES	20,034	25,974	236,084	225,050	606	305	138,335	128,357	1,827	1,589											
NEW ENGLAND	640	897	8,701	7,943	84	60	2,297	2,678	19	30											
Maine	13	25	419	427	5	-	25	25	-	-											
N.H.	21	14	424	355	12	16	42	56	-	-											
Vt.	10	18	179	186	1	3	13	24	-	1											
Mass.	275	416	3,874	3,279	47	30	920	1,012	18	26											
R.I.	58	70	1,153	948	3	1	172	216	1	3											
Conn.	263	354	2,652	2,748	16	10	1,125	1,345	-	-											
MID. ATLANTIC	5,695	8,265	28,966	26,631	61	10	16,020	16,156	186	158											
Upstate N.Y.	710	1,336	N	N	39	-	2,781	2,797	140	123											
N.Y. City	3,153	4,136	15,749	13,890	3	5	6,757	6,149	-	-											
N.J.	993	1,783	4,626	4,706	19	4	2,631	3,336	-	-											
Pa.	839	1,010	8,591	8,035	N	1	3,851	3,874	46	35											
E.N. CENTRAL	1,518	1,809	40,052	33,354	106	60	26,758	19,779	239	305											
Ohio	281	394	11,395	10,171	26	11	6,752	6,255	6	7											
Ind.	293	328	3,288	3,991	25	20	2,083	2,717	3	9											
Ill.	610	602	11,444	6,018	29	-	8,995	2,940	11	50											
Mich.	252	394	9,898	8,235	26	13	7,324	5,816	219	221											
Wis.	82	91	4,027	4,939	N	16	1,604	2,051	-	18											
W.N. CENTRAL	351	520	13,981	14,494	75	36	6,805	6,372	108	32											
Minn.	56	83	2,016	3,019	30	20	708	1,050	5	2											
Iowa	20	66	2,010	2,149	17	-	638	580	11	15											
Mo.	176	254	5,375	5,353	10	12	3,928	3,418	88	4											
N. Dak.	4	4	290	392	1	1	29	24	-	2											
S. Dak.	9	2	765	563	1	1	125	57	-	-											
Nebr.	36	48	1,020	902	7	-	346	324	2	2											
Kans.	50	63	2,505	2,116	9	2	1,031	919	2	7											
S. ATLANTIC	5,037	6,477	49,873	40,021	41	16	39,972	38,291	94	104											
Del.	57	111	1,172	612	-	1	637	524	-	-											
Md.	571	742	3,794	3,366	11	4	4,194	5,397	5	3											
D.C.	413	469	N	N	1	-	1,629	1,886	-	-											
Va.	368	552	4,623	5,205	N	7	2,759	3,607	5	10											
W. Va.	47	38	1,298	1,400	N	1	370	440	4	8											
N.C.	335	363	10,324	7,722	11	3	8,622	7,512	12	28											
S.C.	318	295	8,650	5,657	1	-	5,586	5,115	1	24											
Ga.	608	856	11,394	4,426	4	-	9,341	5,728	9	-											
Fla.	2,320	3,051	8,618	11,633	12	-	6,834	8,082	58	31											
E.S. CENTRAL	788	807	16,992	15,572	39	11	16,040	15,348	70	172											
Ky.	101	112	2,834	3,016	10	-	1,610	1,912	11	7											
Tenn.	272	354	5,934	5,823	20	10	5,024	4,792	56	105											
Ala.	233	196	4,564	3,716	9	-	5,718	5,210	3	6											
Miss.	182	145	3,660	3,017	U	1	3,688	3,434	U	54											
W.S. CENTRAL	2,473	2,590	35,058	22,058	42	5	19,926	15,094	507	186											
Ark.	81	96	1,442	1,297	1	1	1,128	2,113	3	5											
La.	415	493	5,872	3,671	-	1	4,800	3,444	9	96											
Okla.	134	138	4,646	3,349	6	3	2,530	2,115	2	4											
Tex.	1,843	1,863	23,098	13,741	35	-	11,468	7,422	493	81											
MOUNTAIN	725	751	8,007	13,358	59	41	2,953	3,500	226	145											
Mont.	13	18	556	470	4	-	23	20	4	10											
Idaho	14	22	874	658	6	1	78	47	86	23											
Wyo.	2	13	301	255	1	-	15	25	37	36											
Colo.	127	194	-	2,770	19	11	1,054	823	13	19											
N. Mex.	111	66	1,772	1,865	9	6	329	418	51	30											
Ariz.	286	188	3,534	5,180	N	9	1,296	1,654	3	17											
Utah	57	60	717	785	13	8	66	110	19	3											
Nev.	115	190	253	1,375	7	6	92	403	13	7											
PACIFIC	2,807	3,858	34,454	51,619	99	66	7,564	11,139	378	457											
Wash.	203	287	4,967	4,197	23	22	858	896	10	14											
Oreg.	88	144	2,584	2,154	27	23	349	320	2	2											
Calif.	2,463	3,377	25,060	43,858	47	18	6,010	9,510	311	359											
Alaska	12	22	875	635	2	-	152	185	1	-											
Hawaii	41	28	968	775	N	3	195	228	54	82											
Guam	-	2	8	193	N	-	2	27	-	-											
P.R.	834	760	U	U	-	U	187	298	-	61											
V.I.	17	35	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	1	N	N	N	U	7	16	-	2											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


