
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 27, 2002 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	405	265	5	15	2	-	17,346	19,149													
NEW ENGLAND	-	2	-	-	-	-	1,047	1,360													
Maine	-	-	-	-	-	-	76	116													
N.H.	-	-	-	-	-	-	66	111													
Vt.	-	-	-	-	-	-	39	40													
Mass.	-	2	-	-	-	-	585	783													
R.I.	-	-	-	-	-	-	72	64													
Conn.	-	-	-	-	-	-	209	246													
MID. ATLANTIC	24	13	3	6	-	-	2,265	2,574													
Upstate N.Y.	7	-	2	1	-	-	764	595													
N.Y. City	2	1	-	4	-	-	668	690													
N.J.	5	3	1	1	-	-	329	620													
Pa.	10	9	-	-	-	-	504	669													
E.N. CENTRAL	9	14	-	2	-	-	2,781	2,695													
Ohio	7	1	-	-	-	-	751	742													
Ind.	1	1	-	-	-	-	250	265													
Ill.	-	12	-	2	-	-	843	759													
Mich.	1	-	-	-	-	-	501	481													
Wis.	-	-	-	-	-	-	436	448													
W.N. CENTRAL	61	38	-	3	-	-	1,277	1,100													
Minn.	-	-	-	-	-	-	297	341													
Iowa	1	1	-	1	-	-	222	168													
Mo.	56	35	-	1	-	-	456	279													
N. Dak.	-	-	-	-	-	-	25	15													
S. Dak.	-	2	-	-	-	-	46	74													
Nebr.	4	-	-	-	-	-	70	82													
Kans.	-	-	-	1	-	-	161	141													
S. ATLANTIC	213	121	-	3	-	-	4,213	4,243													
Del.	2	-	-	-	-	-	31	45													
Md.	27	22	-	-	-	-	444	424													
D.C.	-	-	-	-	-	-	41	39													
Va.	13	13	-	-	-	-	501	773													
W. Va.	1	-	-	-	-	-	60	56													
N.C.	117	63	-	-	-	-	595	588													
S.C.	32	13	-	2	-	-	245	398													
Ga.	18	7	-	-	-	-	916	779													
Fla.	3	3	-	1	-	-	1,380	1,141													
E.S. CENTRAL	39	49	-	-	1	-	1,214	1,082													
Ky.	3	1	-	-	-	-	180	182													
Tenn.	26	36	-	-	1	-	324	284													
Ala.	10	6	-	-	-	-	351	315													
Miss.	-	6	-	-	-	-	359	301													
W.S. CENTRAL	47	21	1	-	-	-	717	2,259													
Ark.	12	4	-	-	-	-	375	311													
La.	-	2	-	-	-	-	138	393													
Okla.	35	15	-	-	-	-	202	175													
Tex.	-	-	1	-	-	-	2	1,380													
MOUNTAIN	9	7	-	-	-	-	1,126	1,136													
Mont.	1	1	-	-	-	-	59	44													
Idaho	-	1	-	-	-	-	68	76													
Wyo.	2	2	-	-	-	-	32	37													
Colo.	1	-	-	-	-	-	284	310													
N. Mex.	-	1	-	-	-	-	150	132													
Ariz.	-	-	-	-	-	-	313	318													
Utah	-	2	-	-	-	-	105	123													
Nev.	5	-	-	-	-	-	115	96													
PACIFIC	3	-	1	1	1	-	2,706	2,700													
Wash.	-	-	-	-	-	-	244	256													
Oreg.	1	-	-	-	-	-	213	165													
Calif.	2	-	1	-	-	-	2,047	2,054													
Alaska	-	-	-	-	-	-	39	27													
Hawaii	-	-	-	1	1	-	163	198													
Guam	-	-	-	-	-	-	-	18													
P.R.	-	-	-	3	-	-	106	512													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	23	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


