
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 24, 2002 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	577	349	9	16	2	-	22,304	23,797													
NEW ENGLAND	-	3	-	-	-	-	1,289	1,614													
Maine	-	-	-	-	-	-	91	135													
N.H.	-	1	-	-	-	-	79	126													
Vt.	-	-	-	-	-	-	44	47													
Mass.	-	2	-	-	-	-	711	940													
R.I.	-	-	-	-	-	-	104	80													
Conn.	-	-	-	-	-	-	260	286													
MID. ATLANTIC	34	15	4	7	-	-	2,621	3,172													
Upstate N.Y.	8	-	2	1	-	-	881	736													
N.Y. City	7	1	-	5	-	-	761	800													
N.J.	8	4	2	1	-	-	343	800													
Pa.	11	10	-	-	-	-	636	836													
E.N. CENTRAL	14	14	-	2	-	-	3,367	3,319													
Ohio	10	1	-	-	-	-	869	888													
Ind.	2	1	-	-	-	-	295	330													
Ill.	-	12	-	2	-	-	1,070	968													
Mich.	2	-	-	-	-	-	594	578													
Wis.	-	-	-	-	-	-	539	555													
W.N. CENTRAL	77	53	-	3	-	-	1,506	1,404													
Minn.	-	-	-	-	-	-	359	410													
Iowa	1	2	-	1	-	-	248	209													
Mo.	70	49	-	1	-	-	554	361													
N. Dak.	-	-	-	-	-	-	25	37													
S. Dak.	-	2	-	-	-	-	59	106													
Nebr.	4	-	-	-	-	-	70	103													
Kans.	2	-	-	1	-	-	191	178													
S. ATLANTIC	297	161	-	3	-	-	5,871	5,357													
Del.	2	1	-	-	-	-	44	57													
Md.	38	32	-	-	-	-	595	511													
D.C.	-	-	-	-	-	-	50	55													
Va.	21	16	-	-	-	-	568	896													
W. Va.	1	-	-	-	-	-	88	79													
N.C.	168	85	-	-	-	-	796	744													
S.C.	42	16	-	2	-	-	358	539													
Ga.	18	8	-	-	-	-	1,071	997													
Fla.	7	3	-	1	-	-	2,301	1,479													
E.S. CENTRAL	56	71	-	-	1	-	1,625	1,433													
Ky.	3	2	-	-	-	-	216	223													
Tenn.	39	48	-	-	1	-	415	351													
Ala.	14	11	-	-	-	-	470	392													
Miss.	-	10	-	-	-	-	524	467													
W.S. CENTRAL	82	23	2	-	-	-	1,635	2,869													
Ark.	21	5	-	-	-	-	536	439													
La.	-	2	-	-	-	-	196	500													
Okla.	61	16	-	-	-	-	268	260													
Tex.	-	-	2	-	-	-	635	1,670													
MOUNTAIN	12	9	-	-	-	-	1,316	1,394													
Mont.	1	1	-	-	-	-	64	49													
Idaho	-	1	-	-	-	-	89	92													
Wyo.	3	2	-	-	-	-	39	48													
Colo.	2	1	-	-	-	-	309	383													
N. Mex.	1	1	-	-	-	-	175	167													
Ariz.	-	-	-	-	-	-	385	393													
Utah	-	3	-	-	-	-	124	143													
Nev.	5	-	-	-	-	-	131	119													
PACIFIC	5	-	3	1	1	-	3,074	3,235													
Wash.	-	-	-	-	-	-	307	314													
Oreg.	2	-	-	-	-	-	235	189													
Calif.	3	-	3	-	-	-	2,305	2,473													
Alaska	-	-	-	-	-	-	42	27													
Hawaii	-	-	-	1	1	-	185	232													
Guam	-	-	-	-	-	-	-	19													
P.R.	-	-	-	3	-	-	120	627													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


