
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 18, 2006 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shiga toxin-producing E. coli(STEC)† cummulative for 2005
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2006
Shigellosis cummulative for 2005
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcal disease, invasive, group A cummulative for 2005

tab delimited data:
test
UNITED STATES	23	53	297	2,451	2,933	217	256	1,013	11,761	13,620	39	92	282	4,234	4,010						
NEW ENGLAND	1	3	70	238	204	1	3	65	217	296	1	4	15	183	259						
Conn.	-	0	69	69	53	-	0	59	59	52	U	0	2	U	92						
Maine	-	0	8	37	28	-	0	2	3	14	-	0	2	17	14						
Mass.	-	1	9	82	83	-	2	11	128	180	-	2	6	101	117						
N.H.	1	0	3	25	16	1	0	4	8	13	-	0	9	44	17						
R.I.	-	0	2	8	7	-	0	3	13	20	-	0	3	7	9						
Vt.	-	0	2	2	17	-	0	2	6	17	1	0	2	14	10						
MID. ATLANTIC	1	4	107	186	330	2	16	72	747	1,137	7	18	43	807	790						
N.J.	-	0	3	3	70	-	4	34	241	288	-	2	8	122	166						
N.Y. (Upstate)	-	0	103	12	125	2	4	60	207	241	7	4	32	275	220						
N.Y. City	-	0	4	32	17	-	5	13	222	378	-	3	8	133	156						
Pa.	-	0	4	8	118	-	1	6	77	230	-	6	13	277	248						
E.N. CENTRAL	12	10	54	570	591	8	20	37	898	1,062	2	14	44	711	816						
Ill.	-	1	7	64	128	-	7	18	307	363	-	3	11	144	272						
Ind.	1	1	8	77	68	6	2	18	148	167	2	2	11	104	93						
Mich.	-	2	7	84	84	-	3	8	137	216	-	3	12	196	190						
Ohio	11	3	18	173	160	2	3	14	174	106	-	4	19	215	176						
Wis.	-	2	39	172	151	-	3	9	132	210	-	1	4	52	85						
W.N. CENTRAL	-	8	32	481	490	6	34	77	1,490	1,514	1	5	57	312	251						
Iowa	-	2	8	116	94	-	2	10	98	92	N	0	0	N	N						
Kans.	-	0	4	23	52	2	3	20	132	214	-	1	5	53	37						
Minn.	-	3	27	218	160	-	3	23	201	83	-	0	52	143	96						
Mo.	-	1	10	82	89	4	11	69	613	902	1	1	5	70	62						
Nebr.	-	1	8	55	58	-	2	14	119	131	-	0	4	27	22						
N. Dak.	-	0	15	-	7	-	0	18	103	4	-	0	5	11	10						
S. Dak.	-	0	5	40	30	-	4	22	224	88	-	0	3	8	24						
S. ATLANTIC	6	8	39	417	374	109	57	135	2,908	2,170	19	21	44	1,032	836						
Del.	-	0	2	7	9	-	0	2	9	11	-	0	2	10	6						
D.C.	-	0	1	2	1	-	0	2	15	13	-	0	2	15	10						
Fla.	1	2	29	83	84	56	27	77	1,399	1,060	8	5	16	272	227						
Ga.	-	2	6	82	49	49	19	73	1,062	598	5	5	12	212	181						
Md.	5	1	8	90	71	4	2	10	117	94	3	4	12	182	160						
N.C.	3	2	7	104	59	-	1	21	143	184	3	0	26	148	115						
S.C.	-	0	2	8	11	-	1	9	72	93	-	1	6	54	33						
Va.	-	0	8	-	87	-	1	9	87	116	-	2	11	113	82						
W. Va.	-	0	5	12	3	-	0	2	4	1	-	0	6	26	22						
E.S. CENTRAL	1	1	12	90	172	21	13	78	800	1,113	-	3	11	178	161						
Ala.	-	0	5	39	29	16	3	71	352	208	N	0	0	N	N						
Ky.	1	1	12	90	74	3	4	15	221	293	-	0	5	35	31						
Miss.	-	0	0	-	8	-	1	9	83	91	-	0	0	-	-						
Tenn.	-	0	4	24	61	2	3	12	144	521	-	3	9	143	130						
W.S. CENTRAL	-	1	52	68	102	25	37	596	1,587	3,272	2	7	58	331	279						
Ark.	-	0	7	33	12	8	2	9	110	57	-	0	5	25	19						
La.	-	0	1	-	21	-	1	25	127	132	-	0	2	8	-						
