
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 2008 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	54	43	97	724	812	6	8	23	107	158	100	221	286	2,155	2,197						
NEW ENGLAND	1	1	6	9	48	-	0	2	2	3	3	6	14	53	45						
Conn.	-	0	4	-	30	-	0	1	-	2	-	0	6	3	5						
Maine	1	0	1	4	3	-	0	1	1	-	-	0	2	1	-						
Mass.	-	0	0	-	-	-	0	0	-	-	3	3	9	45	30						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	2	4						
R.I.	-	0	2	2	7	-	0	1	-	1	-	0	5	2	5						
Vt.	-	0	2	3	8	-	0	1	1	-	-	0	5	-	1						
MID. ATLANTIC	8	2	6	42	54	-	0	2	5	14	18	32	45	382	359						
N.J.	-	0	0	-	-	-	0	0	-	-	1	5	10	56	46						
N.Y. (Upstate)	1	1	4	10	20	-	0	1	1	7	-	3	10	23	27						
N.Y. City	-	0	0	-	-	-	0	0	-	-	15	18	30	243	228						
Pa.	7	1	6	32	34	-	0	2	4	7	2	5	11	60	58						
E.N. CENTRAL	15	12	40	211	224	1	2	12	30	35	8	15	26	155	204						
Ill.	-	2	13	39	51	-	0	6	9	16	-	6	14	18	96						
Ind.	-	3	22	46	35	-	0	9	5	3	1	1	6	25	14						
Mich.	-	0	1	3	-	-	0	1	1	-	2	2	12	27	31						
Ohio	15	6	17	123	138	1	1	3	15	16	5	3	14	74	54						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	11	9						
W.N. CENTRAL	-	2	49	40	61	-	0	2	1	9	-	7	14	81	54						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	-	1						
Kans.	-	0	7	2	35	-	0	1	-	2	-	0	5	6	5						
Minn.	-	0	46	-	-	-	0	1	-	5	-	1	4	21	12						
Mo.	-	1	8	38	24	-	0	1	1	-	-	5	10	52	36						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	1	2	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	2	-	0	1	-	2	-	0	3	-	-						
S. ATLANTIC	25	18	43	310	345	4	4	11	49	80	22	50	152	429	411						
Del.	-	0	1	-	2	-	0	1	-	1	-	0	3	1	2						
D.C.	-	0	2	4	4	-	0	0	-	-	-	2	12	20	37						
Fla.	14	11	27	185	177	2	2	7	29	42	11	17	35	178	125						
Ga.	9	5	16	106	147	2	1	5	16	32	-	8	131	11	51						
Md.	2	0	1	3	-	-	0	1	1	-	3	6	15	70	60						
N.C.	N	0	0	N	N	N	0	0	N	N	8	5	23	77	68						
S.C.	-	0	0	-	-	-	0	0	-	-	-	1	11	18	19						
Va.	N	0	0	N	N	N	0	0	N	N	-	4	16	54	47						
W. Va.	-	1	12	12	15	-	0	1	3	5	-	0	1	-	2						
E.S. CENTRAL	5	4	12	92	46	1	1	4	13	9	14	20	31	225	159						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	95	52						
Ky.	1	0	3	16	10	-	0	2	4	-	-	1	4	12	20						
Miss.	-	0	0	-	-	-	0	0	-	-	3	2	15	25	25						
Tenn.	4	3	12	76	36	1	0	3	9	9	11	8	15	93	62						
W.S. CENTRAL	-	1	5	17	26	-	0	2	4	2	27	40	56	449	354						
