
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 18, 1999 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,746	1,969	3	232	512	88	3,859	4,210	-	178	332										
NEW ENGLAND	87	84	-	4	6	10	444	726	-	7	38										
Maine	5	5	-	-	-	-	-	5	-	-	-										
N.H.	12	11	-	1	-	-	73	68	-	-	-										
Vt.	4	1	-	1	-	6	46	66	-	-	-										
Mass.	50	39	-	2	4	-	290	545	-	7	8										
R.I.	4	3	-	-	-	4	24	7	-	-	1										
Conn.	12	25	-	-	2	-	11	35	-	-	29										
MID. ATLANTIC	160	202	-	27	172	20	644	434	-	22	144										
Upstate N.Y.	45	52	-	8	3	20	558	222	-	18	114										
N.Y. City	43	24	-	3	153	-	10	27	-	-	16										
N.J.	39	48	-	-	6	-	12	14	-	1	13										
Pa.	33	78	-	16	10	-	64	171	-	3	1										
E.N. CENTRAL	290	309	-	30	61	1	336	526	-	2	-										
Ohio	114	112	U	11	23	U	156	191	U	-	-										
Ind.	40	52	-	4	5	-	49	85	-	1	-										
Ill.	76	84	-	8	9	-	49	53	-	1	-										
Mich.	36	37	-	7	22	1	39	49	-	-	-										
Wis.	24	24	-	-	2	-	43	148	-	-	-										
W.N. CENTRAL	190	170	-	10	26	12	263	324	-	84	32										
Minn.	40	29	-	1	12	6	132	184	-	5	-										
Iowa	36	28	-	4	9	1	45	58	-	29	-										
Mo.	72	65	-	2	3	5	41	25	-	2	2										
N. Dak.	3	3	-	-	1	-	4	3	-	-	-										
S. Dak.	11	6	-	-	-	-	5	8	-	-	-										
Nebr.	10	12	-	-	-	-	1	13	-	48	-										
Kans.	18	27	-	3	1	-	35	33	-	-	30										
S. ATLANTIC	310	328	1	40	40	12	294	220	-	35	15										
Del.	7	2	-	-	-	-	4	3	-	-	-										
Md.	44	24	-	3	-	-	77	38	-	1	1										
D.C.	1	-	-	2	-	-	-	1	-	-	-										
Va.	36	28	-	8	6	-	13	19	-	-	-										
W. Va.	5	12	-	-	-	-	2	1	-	-	-										
N.C.	35	46	-	8	10	-	73	76	-	34	11										
S.C.	38	48	-	3	6	-	14	22	-	-	-										
Ga.	49	75	-	4	1	4	30	18	-	-	-										
Fla.	95	93	1	12	17	8	81	42	-	-	3										
E.S. CENTRAL	115	148	-	9	13	-	64	95	-	1	1										
Ky.	24	25	-	-	-	-	16	39	-	-	-										
Tenn.	45	53	-	-	1	-	28	30	-	-	1										
Ala.	27	41	-	8	7	-	16	22	-	1	-										
Miss.	19	29	-	1	5	-	4	4	-	-	-										
W.S. CENTRAL	148	231	-	29	49	4	134	269	-	7	87										
Ark.	31	26	-	-	7	-	17	52	-	-	-										
La.	34	47	U	3	6	U	3	6	U	-	-										
Okla.	25	31	-	1	-	-	12	21	-	-	-										
Tex.	58	127	-	25	36	4	102	190	-	7	87										
MOUNTAIN	103	111	1	13	34	15	441	733	-	16	5										
Mont.	2	4	-	-	-	-	2	7	-	-	-										
Idaho	8	9	-	1	4	13	127	197	-	-	-										
Wyo.	4	5	-	-	1	-	2	8	-	-	-										
Colo.	27	21	1	4	6	-	129	184	-	1	-										
N. Mex.	13	20	N	N	N	2	94	78	-	-	1										
Ariz.	29	36	-	-	6	-	30	149	-	13	1										
Utah	13	10	-	5	5	-	53	75	-	1	2										
Nev.	7	6	-	3	12	-	4	35	-	1	1										
PACIFIC	343	386	1	70	111	14	1,239	883	-	4	10										
Wash.	55	54	-	2	7	12	557	236	-	-	5										
Oreg.	59	65	N	N	N	1	33	68	-	-	-										
Calif.	220	260	1	56	79	1	620	552	-	4	3										
Alaska	5	3	-	1	2	-	4	14	-	-	-										
Hawaii	4	4	-	11	23	-	25	13	-	-	2										
Guam	1	2	U	1	2	U	1	1	U	-	-										
P.R.	5	9	-	-	2	-	16	4	-	-	8										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


