
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending June 9, 2012 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	101	271	765	6,929	9,719	12	20	56	470	654	85	269	323	5,171	5,971						
NEW ENGLAND	2	12	27	320	487	-	1	4	23	30	12	7	23	184	177						
Conn.	-	6	13	160	219	-	0	2	8	6	7	0	13	10	24						
Maine	1	2	7	60	71	-	0	1	1	3	-	0	2	7	9						
Mass.	-	0	4	18	19	-	0	3	9	10	2	5	10	121	111						
N.H.	-	1	6	42	66	-	0	1	4	4	-	0	2	15	11						
R.I.	-	0	5	14	68	-	0	1	1	2	3	1	6	28	18						
Vt.	1	1	4	26	44	-	0	1	-	5	-	0	2	3	4						
MID. ATLANTIC	16	44	157	1,116	1,464	2	2	11	50	74	8	32	49	605	764						
N.J.	-	10	26	236	411	-	0	2	11	30	-	3	8	56	112						
N.Y. (Upstate)	12	19	108	515	633	2	1	10	28	25	6	4	12	87	71						
N.Y. City	4	13	23	365	420	-	0	3	11	19	-	16	27	287	417						
Pa.	N	0	0	N	N	N	0	0	N	N	2	8	17	175	164						
E.N. CENTRAL	22	60	101	1,501	1,903	2	3	10	94	109	9	29	62	500	818						
Ill.	N	0	0	N	N	-	0	0	-	-	8	11	54	179	376						
Ind.	-	12	33	287	466	-	1	2	12	20	1	3	9	83	77						
Mich.	-	12	25	296	412	-	0	3	21	24	-	4	13	81	137						
Ohio	20	23	46	671	739	2	1	6	44	51	-	7	15	131	205						
Wis.	2	9	26	247	286	-	0	2	17	14	-	1	6	26	23						
W.N. CENTRAL	4	12	35	249	358	-	1	3	15	27	-	4	13	29	141						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	4	11						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	7						
Minn.	-	9	26	169	273	-	1	3	10	23	-	2	8	23	61						
Mo.	N	0	0	N	N	-	0	0	-	-	-	1	8	-	57						
Nebr.	4	2	8	80	67	-	0	2	5	4	-	0	2	1	5						
N. Dak.	-	0	26	-	18	-	0	1	-	-	-	0	1	1	-						
S. Dak.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	30	59	193	1,582	2,395	3	4	21	117	171	32	68	98	1,398	1,462						
Del.	-	1	5	21	31	-	0	0	-	-	-	0	6	20	6						
D.C.	-	1	5	30	27	-	0	1	1	4	2	3	9	87	93						
Fla.	18	20	48	535	816	1	2	8	46	74	4	26	36	544	522						
Ga.	3	17	48	459	760	-	1	6	36	47	7	12	59	250	255						
Md.	4	8	22	183	340	2	1	5	17	21	2	8	15	158	197						
N.C.	N	0	0	N	N	N	0	0	N	N	6	7	21	150	195						
S.C.	5	6	16	196	296	-	0	2	9	20	9	4	11	98	92						
Va.	N	0	0	N	N	-	0	0	-	-	2	3	13	89	100						
W. Va.	-	2	83	158	125	-	0	8	8	5	-	0	2	2	2						
E.S. CENTRAL	10	18	50	505	697	2	2	5	31	45	2	15	32	257	330						
Ala.	N	0	0	N	N	N	0	0	N	N	-	3	10	33	98						
Ky.	2	4	9	109	138	-	0	1	4	13	1	2	9	48	49						
Miss.	N	0	0	N	N	-	0	0	-	-	-	3	21	75	59						
Tenn.	8	15	47	396	559	2	1	4	27	32	1	5	14	101	124						
W.S. CENTRAL	12	31	188	823	1,142	3	3	12	73	103	3	39	51	816	790						
Ark.	-	4	14	94	136	-	0	3	10	10	3	4	15	94	83						
La.	-	3	18	82	133	-	0	2	6	13	-	7	19	115	192						
Okla.	N	0	0	N	N	-	0	0	-	-	-	1	7	18	24						
Tex.	12	23	156	647	873	3	2	11	57	80	-	25	41	589	491						
MOUNTAIN	5	28	48	776	1,172	-	2	7	55	90	4	11	21	192	270						
Ariz.	4	12	27	398	508	-	1	4	29	37	1	4	11	72	105						
Colo.	-	8	17	205	313	-	0	3	12	22	-	2	6	44	55						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	3	8	3						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	5						
Nev.	N	0	0	N	N	N	0	0	N	N	3	2	7	39	65						
N. Mex.	1	5	15	144	209	-	0	4	12	14	-	1	4	24	30						
Utah	-	1	9	16	125	-	0	2	1	17	-	0	2	5	7						
Wyo.	-	0	3	13	17	-	0	1	1	-	-	0	0	-	-						
PACIFIC	-	2	8	57	101	-	0	2	12	5	15	57	77	1,190	1,219						
Alaska	-	2	8	55	100	-	0	2	12	5	-	0	2	5	-						
Calif.	N	0	0	N	N	N	0	0	N	N	11	48	68	999	1,018						
Hawaii	-	0	1	2	1	-	0	1	-	-	-	0	3	4	6						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	2	12	74	37						
Wash.	N	0	0	N	N	N	0	0	N	N	3	5	12	108	158						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	7	5	15	112	99						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


