
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 8, 1997 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	371	480	12	30	58	56	404	216	-	-	10										
NEW ENGLAND	26	22	-	-	-	13	110	65	-	-	-										
Maine	2	5	-	-	-	-	4	2	-	-	-										
N.H.	3	1	-	-	-	5	23	3	-	-	-										
Vt.	-	1	-	-	-	8	54	6	-	-	-										
Mass.	15	4	-	-	-	-	29	54	-	-	-										
R.I.	2	4	-	-	-	-	-	-	-	-	-										
Conn.	4	7	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	23	39	-	2	8	2	11	24	-	-	1										
Upstate N.Y.	3	2	-	-	2	2	8	15	-	-	-										
N.Y. City	4	9	-	-	2	-	-	6	-	-	-										
N.J.	6	11	-	-	2	-	-	2	-	-	1										
Pa.	10	17	-	2	2	-	3	1	-	-	-										
E.N. CENTRAL	39	65	4	6	14	7	40	48	-	-	-										
Ohio	30	29	-	2	8	5	30	21	-	-	-										
Ind.	6	6	2	2	-	-	-	2	-	-	-										
Ill.	-	18	1	1	1	-	3	3	-	-	-										
Mich.	3	3	1	1	5	2	7	5	-	-	-										
Wis.	-	9	-	-	-	-	-	17	-	-	-										
W.N. CENTRAL	33	47	2	2	2	4	12	4	-	-	-										
Minn.	2	-	-	-	-	2	3	-	-	-	-										
Iowa	10	8	2	2	-	1	6	-	-	-	-										
Mo.	12	27	-	-	-	-	-	3	-	-	-										
N. Dak.	-	1	-	-	2	1	1	-	-	-	-										
S. Dak.	1	2	-	-	-	-	1	-	-	-	-										
Nebr.	3	4	-	-	-	-	1	1	-	-	-										
Kans.	5	5	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	83	67	-	-	5	4	25	11	-	-	-										
Del.	2	1	U	-	-	U	-	-	U	-	-										
Md.	9	9	-	-	2	1	22	8	-	-	-										
D.C.	1	2	-	-	-	2	2	-	-	-	-										
Va.	4	4	-	-	1	-	-	-	-	-	-										
W. Va.	1	3	-	-	-	-	-	-	-	-	-										
N.C.	16	10	-	-	-	-	-	-	-	-	-										
S.C.	18	13	-	-	1	1	1	-	-	-	-										
Ga.	16	20	-	-	1	-	-	1	-	-	-										
Fla.	16	5	-	-	-	-	-	2	-	-	-										
E.S. CENTRAL	36	39	2	6	3	2	12	7	-	-	-										
Ky.	5	6	-	-	-	-	-	5	-	-	-										
Tenn.	16	9	1	2	-	-	3	1	-	-	-										
Ala.	10	15	1	2	3	1	5	1	-	-	-										
Miss.	5	9	-	2	-	1	4	-	-	-	N										
W.S. CENTRAL	16	54	-	3	3	1	4	2	-	-	-										
Ark.	5	6	-	-	-	1	3	1	-	-	-										
La.	1	10	-	-	3	-	-	1	-	-	-										
Okla.	2	3	-	-	-	-	-	-	-	-	-										
Tex.	8	35	-	3	-	-	1	-	-	-	-										
MOUNTAIN	23	38	-	2	2	8	113	22	-	-	-										
Mont.	1	1	-	-	-	-	-	-	-	-	-										
Idaho	2	3	-	-	-	2	74	-	-	-	-										
Wyo.	-	-	-	-	-	-	3	-	-	-	-										
Colo.	2	4	-	1	-	5	26	-	-	-	-										
N. Mex.	6	9	N	N	N	1	6	8	-	-	-										
Ariz.	8	13	-	-	-	-	4	3	-	-	-										
Utah	2	3	-	1	-	-	-	-	-	-	-										
Nev.	2	5	-	-	2	-	-	11	-	-	-										
PACIFIC	92	109	4	9	21	15	77	33	-	-	9										
Wash.	9	6	2	2	2	9	13	5	-	-	-										
Oreg.	27	20	-	-	-	-	3	13	-	-	-										
Calif.	56	79	2	3	13	5	59	13	-	-	9										
Alaska	-	2	-	-	1	-	1	-	-	-	-										
Hawaii	-	2	-	4	5	1	1	2	-	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


