
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2007 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	100	83	214	838	1,210	30	24	84	264	257											
NEW ENGLAND	1	2	15	16	51	2	1	4	8	11											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	5	5	-	0	2	-	-											
Mass.	-	0	5	-	35	-	0	4	-	9											
N.H.	-	0	9	4	8	2	0	4	4	2											
R.I.	-	0	4	-	2	-	0	3	3	-											
Vt.	1	0	2	7	1	-	0	1	1	-											
MID. ATLANTIC	18	15	40	152	235	2	3	17	28	40											
N.J.	1	2	8	17	51	-	1	4	-	12											
N.Y. (Upstate)	14	5	26	60	50	2	2	14	28	25											
N.Y. City	-	3	8	19	47	-	0	2	-	3											
Pa.	3	6	13	56	87	N	0	0	N	N											
E.N. CENTRAL	8	16	46	149	277	1	6	14	45	79											
Ill.	-	4	11	31	104	-	1	6	4	18											
Ind.	1	2	13	18	28	-	0	10	4	8											
Mich.	3	3	11	34	54	-	1	5	18	21											
Ohio	4	4	19	66	59	1	1	7	18	17											
Wis.	-	1	7	-	32	-	1	2	1	15											
W.N. CENTRAL	29	5	57	73	53	5	2	10	17	13											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	3	10	23	-	0	3	2	4											
Minn.	29	0	52	29	-	5	1	7	5	-											
Mo.	-	2	6	28	16	-	0	2	7	5											
Nebr.	-	0	2	1	10	-	0	2	2	3											
N. Dak.	-	0	2	3	4	-	0	1	1	1											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	20	20	45	201	270	5	2	11	59	16											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	1	4	-	0	1	-	-											
Fla.	6	5	16	47	64	-	0	5	12	-											
Ga.	9	5	11	68	69	5	0	5	23	-											
Md.	-	4	12	34	57	-	1	5	19	12											
N.C.	-	0	26	14	28	-	0	0	-	-											
S.C.	1	1	6	12	19	-	0	2	4	-											
Va.	4	2	9	22	22	-	0	1	1	-											
W. Va.	-	0	6	3	6	-	0	2	-	4											
E.S. CENTRAL	3	4	11	37	52	-	0	6	17	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	5	8	13	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	5											
Tenn.	3	3	9	29	39	-	0	6	15	-											
W.S. CENTRAL	9	6	50	50	80	10	3	39	37	35											
Ark.	1	0	5	5	2	1	0	2	5	7											
La.	-	0	2	3	1	-	0	1	3	-											
Okla.	2	2	6	21	32	1	1	12	13	12											
Tex.	6	3	45	21	45	8	1	24	16	16											
MOUNTAIN	12	11	42	140	171	5	4	12	44	56											
Ariz.	5	5	34	57	97	2	2	9	26	35											
Colo.	3	3	8	39	31	3	1	4	12	14											
Idaho	1	0	1	4	3	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	3	3	-	-	0	0	-	-											
N. Mex.	1	1	5	9	20	-	0	3	6	6											
Utah	2	1	7	27	18	-	0	0	-	-											
Wyo.	-	0	1	1	2	-	0	0	-	-											
PACIFIC	-	2	9	20	21	-	0	4	9	2											
Alaska	-	0	2	5	N	-	0	2	7	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	15	21	-	0	2	2	2											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


