
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 15, 2003 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	-	3,410	78,829	101,312	473	332	135	272	-	-											
NEW ENGLAND	-	111	2,660	3,472	-	-	10	7	-	-											
Maine	-	1	138	181	N	N	1	-	-	-											
N.H.	-	2	182	224	-	-	-	2	-	-											
Vt.	-	3	160	92	-	-	1	-	-	-											
Mass.	-	76	958	1,319	-	-	5	2	-	-											
R.I.	-	5	350	358	-	-	1	3	-	-											
Conn.	-	24	872	1,298	-	-	2	-	-	-											
MID. ATLANTIC	-	835	5,340	10,831	-	-	30	22	-	-											
Upstate N.Y.	-	46	1,495	1,079	-	-	4	3	-	-											
N.Y. City	-	587	645	3,913	-	-	24	13	-	-											
N.J.	-	145	1,187	1,835	-	-	1	1	-	-											
Pa.	-	57	2,013	4,004	N	N	1	5	-	-											
E.N. CENTRAL	-	370	14,820	18,556	1	2	21	88	-	-											
Ohio	-	103	5,665	4,822	-	-	7	18	-	-											
Ind.	-	52	1,763	2,156	N	N	2	8	-	-											
Ill.	-	176	2,502	5,398	-	-	2	18	-	-											
Mich.	-	31	3,520	3,880	1	2	9	14	-	-											
Wis.	-	8	1,370	2,300	-	-	1	30	-	-											
W.N. CENTRAL	-	48	4,220	5,483	-	-	14	19	-	-											
Minn.	-	9	911	1,446	-	-	6	8	-	-											
Iowa	-	15	174	408	N	N	3	2	-	-											
Mo.	-	22	1,500	1,876	-	-	2	4	-	-											
N. Dak.	-	-	41	143	N	N	-	-	-	-											
S. Dak.	-	-	340	285	-	-	3	-	-	-											
Nebr.	-	-	293	399	-	-	-	3	-	-											
Kans.	-	2	961	926	N	N	-	2	-	-											
S. ATLANTIC	-	1,093	17,993	18,007	-	-	26	56	-	-											
Del.	-	21	422	345	N	N	1	-	-	-											
Md.	-	140	2,012	1,924	-	-	5	-	-	-											
D.C.	-	19	394	460	-	-	-	1	-	-											
Va.	-	107	1,824	1,958	-	-	-	-	-	-											
W. Va.	-	6	299	321	N	N	-	-	-	-											
N.C.	-	45	3,507	2,558	-	-	3	7	-	-											
S.C.	-	102	1,414	1,852	-	-	1	-	-	-											
Ga.	-	375	3,400	3,386	-	-	12	39	-	-											
Fla.	-	278	4,721	5,203	N	N	4	9	-	-											
E.S. CENTRAL	-	136	6,198	6,877	-	-	11	11	-	-											
Ky.	-	16	857	1,143	-	-	-	1	-	-											
Tenn.	-	66	2,046	2,241	-	-	5	1	-	-											
Ala.	-	20	1,736	2,255	-	-	5	8	-	-											
Miss.	-	34	1,559	1,238	N	N	1	1	-	-											
W.S. CENTRAL	-	379	12,070	14,167	-	-	2	8	-	-											
Ark.	-	15	657	852	-	-	1	2	-	-											
La.	-	65	2,067	2,329	N	N	-	1	-	-											
Okla.	-	7	894	1,162	N	N	1	1	-	-											
Tex.	-	292	8,452	9,824	-	-	-	4	-	-											
MOUNTAIN	-	106	4,287	6,308	406	236	10	8	-	-											
Mont.	-	3	238	362	-	-	-	-	-	-											
Idaho	-	1	355	235	-	-	5	2	-	-											
Wyo.	-	1	157	98	-	-	-	-	-	-											
Colo.	-	20	1,100	1,854	N	N	2	2	-	-											
N. Mex.	-	6	43	1,065	-	1	-	-	-	-											
Ariz.	-	39	1,878	1,852	404	229	2	1	-	-											
Utah	-	7	196	51	1	2	1	2	-	-											
Nev.	-	29	320	791	1	4	-	1	-	-											
PACIFIC	-	332	11,241	17,611	66	94	11	53	-	-											
Wash.	-	39	2,018	1,846	N	N	-	10	-	-											
Oreg.	-	75	776	772	-	-	3	7	-	-											
Calif.	-	215	7,426	14,025	66	94	8	36	-	-											
Alaska	-	-	458	431	-	-	-	-	-	-											
Hawaii	-	3	563	537	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	68	104	253	N	N	-	-	-	-											
V.I.	-	33	-	28	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


