
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 2004 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type B cummulative for 2004
Hepatitis (Viral, Acute), Type B cummulative for 2003
Hepatitis (Viral, Acute), Type C cummulative for 2004
Hepatitis (Viral, Acute), Type c cummulative for 2003
Legionellosis cummulative for 2004
Legionellosis cummulative for 2003
Listeriosis cummulative for 2004
Listeriosis cummulative for 2003
Lyme Disease cummulative for 2004
Lyme Disease cummulative for 2003

tab delimited data:
test
UNITED STATES	138	389	23	137	59	57	16	23	231	315											
NEW ENGLAND	5	19	-	-	-	3	-	2	1	19											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	1	-	-											
Vt.	-	1	-	-	-	-	-	-	-	1											
Mass.	5	13	-	-	-	2	-	1	1	18											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	5	U	U	-	1	-	-	-	-											
MID. ATLANTIC	6	52	6	6	9	17	2	8	192	238											
Upstate N.Y.	1	-	1	-	3	2	-	-	84	28											
N.Y. City	-	23	-	-	-	4	-	4	-	-											
N.J.	3	13	-	-	1	1	1	1	9	68											
Pa.	2	16	5	6	5	10	1	3	99	142											
E.N. CENTRAL	11	34	4	9	23	16	2	1	11	7											
Ohio	7	10	-	-	16	9	2	1	11	1											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	-	-	2	-	-	-	-	-	-											
Mich.	4	14	4	7	7	7	-	-	-	-											
Wis.	-	10	-	-	-	-	-	-	U	6											
W.N. CENTRAL	1	19	-	10	1	1	-	2	3	1											
Minn.	-	-	-	-	-	-	-	1	-	-											
Iowa	-	-	-	-	-	-	-	-	1	-											
Mo.	-	17	-	10	-	-	-	-	-	1											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	1	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	1	-	-											
Kans.	1	1	-	-	-	1	-	-	2	-											
S. ATLANTIC	72	151	10	7	16	7	6	2	20	32											
Del.	-	-	-	-	-	-	N	N	-	8											
Md.	6	4	1	2	2	4	2	-	17	17											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	1	1	-	1	3	2	2	1	-	5											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	33	131	2	2	-	1	1	1	-	-											
Fla.	32	15	7	2	11	-	1	-	3	2											
E.S. CENTRAL	7	18	-	5	-	1	1	2	-	4											
Ky.	1	1	-	-	-	-	1	-	-	-											
Tenn.	-	3	-	2	-	1	-	-	-	-											
Ala.	-	7	-	-	-	-	-	2	-	-											
Miss.	6	7	-	3	-	-	-	-	-	4											
W.S. CENTRAL	-	26	-	91	-	7	-	1	-	5											
Ark.	-	1	-	1	-	-	-	-	-	-											
La.	-	5	-	9	-	-	-	-	-	-											
Okla.	-	1	-	-	-	-	-	-	-	-											
Tex.	-	19	-	81	-	7	-	1	-	5											
MOUNTAIN	3	30	-	2	3	1	-	1	-	1											
Mont.	-	1	-	-	-	-	-	-	-	-											
Idaho	1	-	-	-	1	-	-	-	-	-											
Wyo.	1	1	-	-	2	-	-	-	-	-											
Colo.	-	3	-	2	-	-	-	-	-	-											
N. Mex.	-	2	-	-	-	-	-	-	-	-											
Ariz.	-	16	-	-	-	1	-	1	-	-											
Utah	1	2	-	-	-	-	-	-	-	-											
Nev.	-	5	-	-	-	-	-	-	-	1											
PACIFIC	33	40	3	7	7	4	5	4	4	8											
Wash.	-	-	-	-	1	-	1	-	-	-											
Oreg.	6	9	1	1	N	N	-	-	-	2											
Calif.	27	29	1	5	6	4	4	4	4	6											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	2	1	1	-	-	-	-	N	N											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	-	-	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


